Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,156.97,157.47,155.64,155.91,155.91,454800,0,0
2015-04-28,155.5,156.96,154.25,154.47,154.47,759100,0,0
2015-04-29,154.29,154.63,151.39,151.83,151.83,555900,0,0
2015-04-30,151.22,153.61,150.3,151.09,151.09,642000,0,0
2015-05-01,150.41,154.32,150.0,154.27,154.27,475800,0,0
2015-05-04,154.52,154.95,153.03,153.85,153.85,506000,0,0
2015-05-05,154.25,154.54,152.11,153.47,153.47,578800,0,0
2015-05-06,153.33,153.85,151.17,152.04,152.04,626800,0,0
2015-05-07,151.37,154.87,151.01,153.84,153.84,503000,0,0
2015-05-08,155.0,156.22,154.18,154.29,154.29,487700,0,0
2015-05-11,154.0,155.22,154.0,154.27,154.27,478400,0,0
2015-05-12,153.26,154.38,152.12,153.19,153.19,374200,0,0
2015-05-13,152.99,154.11,151.16,152.13,152.13,521800,0,0
2015-05-14,152.69,152.69,149.53,149.83,149.83,1027500,0,0
2015-05-15,149.41,152.06,149.12,151.0,151.0,723100,0,0
2015-05-18,150.4,152.11,149.85,151.51,151.51,567700,0,0
2015-05-19,151.36,153.51,150.75,152.14,152.14,697200,0,0
2015-05-20,151.68,152.09,149.53,150.83,150.83,615900,0,0
2015-05-21,151.2,153.19,151.05,152.25,152.25,451300,0,0
2015-05-22,152.07,152.97,151.11,151.24,151.24,401700,0,0
2015-05-26,150.9,152.38,150.14,150.16,150.16,861500,0,0
2015-05-27,151.88,155.48,151.72,154.78,154.78,1377500,0,0
2015-05-28,155.18,156.49,152.8,156.27,156.27,2504500,0,0
2015-05-29,159.27,159.85,152.25,152.62,152.62,3788700,0,0
2015-06-01,153.05,154.17,151.0,153.87,153.87,1207000,0,0
2015-06-02,154.3,156.15,154.0,154.35,154.35,973700,0,0
2015-06-03,154.51,157.0,153.67,156.26,156.26,905300,0,0
2015-06-04,154.72,157.5,154.26,155.9,155.9,816500,0,0
2015-06-05,156.11,157.18,154.6,156.28,156.28,682600,0,0
2015-06-08,156.46,156.51,153.54,153.69,153.69,723700,0,0
2015-06-09,153.73,154.49,152.22,153.77,153.77,538800,0,0
2015-06-10,154.49,155.69,153.85,154.98,154.98,571100,0,0
2015-06-11,155.01,156.46,155.01,155.37,155.37,412600,0,0
2015-06-12,154.71,156.29,154.28,155.32,155.32,341700,0,0
2015-06-15,154.47,155.32,153.57,154.57,154.57,433000,0,0
2015-06-16,154.45,156.1,154.1,155.5,155.5,386800,0,0
2015-06-17,155.68,156.39,154.59,155.62,155.62,473900,0,0
2015-06-18,156.0,158.75,155.62,156.48,156.48,878000,0,0
2015-06-19,156.24,156.71,154.69,154.73,154.73,570600,0,0
2015-06-22,155.79,156.47,154.83,155.69,155.69,540500,0,0
2015-06-23,155.88,157.15,155.22,156.36,156.36,572600,0,0
2015-06-24,156.44,157.13,154.86,155.59,155.59,442700,0,0
2015-06-25,155.6,155.8,153.89,154.84,154.84,933600,0,0
2015-06-26,155.4,158.1,155.01,157.98,157.98,1160700,0,0
2015-06-29,156.26,156.95,153.24,153.68,153.68,634600,0,0
2015-06-30,154.69,154.94,152.78,154.45,154.45,618500,0,0
2015-07-01,155.94,156.48,154.3,155.42,155.42,701300,0,0
2015-07-02,155.23,156.26,154.28,156.23,156.23,801500,0,0
2015-07-06,154.79,157.34,154.25,157.23,157.23,733900,0,0
2015-07-07,157.18,159.72,156.07,159.42,159.42,984000,0,0
2015-07-08,158.01,160.0,157.78,158.55,158.55,1218900,0,0
2015-07-09,160.0,162.59,159.78,159.91,159.91,1430400,0,0
2015-07-10,162.5,163.7,160.78,163.11,163.11,876500,0,0
2015-07-13,164.45,167.13,164.02,166.95,166.95,983300,0,0
2015-07-14,167.72,167.72,165.52,167.0,167.0,665800,0,0
2015-07-15,167.52,168.33,166.11,168.25,168.25,731400,0,0
2015-07-16,169.0,169.31,166.23,167.32,167.32,1213200,0,0
2015-07-17,167.92,168.48,166.6,166.91,166.91,566700,0,0
2015-07-20,167.85,168.53,167.44,167.94,167.94,447000,0,0
2015-07-21,167.97,168.65,166.25,166.79,166.79,511200,0,0
2015-07-22,166.44,170.75,166.37,170.52,170.52,598000,0,0
2015-07-23,170.43,171.21,168.91,169.22,169.22,601500,0,0
2015-07-24,169.35,170.36,168.83,169.54,169.54,501000,0,0
2015-07-27,168.45,168.87,165.67,166.39,166.39,730100,0,0
2015-07-28,167.05,167.86,164.54,166.01,166.01,652000,0,0
2015-07-29,166.25,167.28,165.26,166.49,166.49,569800,0,0
2015-07-30,166.3,167.0,165.01,166.82,166.82,447400,0,0
2015-07-31,167.0,167.86,165.63,166.03,166.03,543200,0,0
2015-08-03,167.23,167.99,163.26,165.27,165.27,674900,0,0
2015-08-04,164.83,166.92,163.98,165.07,165.07,441500,0,0
2015-08-05,166.52,167.77,165.54,167.01,167.01,507200,0,0
2015-08-06,167.27,167.96,163.4,164.8,164.8,629600,0,0
2015-08-07,164.7,165.97,163.39,165.61,165.61,621500,0,0
2015-08-10,167.66,169.13,167.07,168.36,168.36,573400,0,0
2015-08-11,166.96,168.51,166.0,168.51,168.51,559700,0,0
2015-08-12,166.6,167.58,164.09,166.94,166.94,675500,0,0
2015-08-13,167.24,170.94,167.13,169.28,169.28,571600,0,0
2015-08-14,168.73,171.1,168.55,171.04,171.04,478900,0,0
2015-08-17,171.12,171.61,168.77,171.39,171.39,545500,0,0
2015-08-18,170.76,176.77,170.76,173.32,173.32,1023700,0,0
2015-08-19,173.65,173.93,172.0,172.62,172.62,739700,0,0
2015-08-20,171.67,172.91,168.75,171.3,171.3,840600,0,0
2015-08-21,167.77,168.46,162.17,162.57,162.57,1809900,0,0
2015-08-24,143.0,163.6,120.38,158.72,158.72,2734400,0,0
2015-08-25,164.11,164.43,152.52,153.26,153.26,1752900,0,0
2015-08-26,154.3,158.87,154.04,158.05,158.05,1791600,0,0
2015-08-27,160.87,162.99,159.31,160.24,160.24,2454700,0,0
2015-08-28,164.78,169.29,158.13,159.0,159.0,2919600,0,0
2015-08-31,157.28,160.66,157.23,158.09,158.09,1115200,0,0
2015-09-01,155.35,156.98,153.02,153.76,153.76,1284000,0,0
2015-09-02,155.55,158.89,153.84,158.51,158.51,1041400,0,0
2015-09-03,158.6,160.87,158.26,158.93,158.93,948700,0,0
2015-09-04,157.22,158.99,156.04,157.7,157.7,601200,0,0
2015-09-08,160.72,164.68,158.02,164.61,164.61,1156300,0,0
2015-09-09,169.0,169.14,163.32,163.4,163.4,1416300,0,0
2015-09-10,162.0,165.29,161.4,164.83,164.83,1369600,0,0
2015-09-11,164.81,165.55,162.68,165.06,165.06,632000,0,0
2015-09-14,164.77,165.72,162.03,163.0,163.0,658700,0,0
2015-09-15,163.09,165.13,160.77,164.06,164.06,767300,0,0
2015-09-16,164.53,164.92,162.94,164.72,164.72,501200,0,0
2015-09-17,164.49,169.25,163.92,168.14,168.14,1040500,0,0
2015-09-18,167.98,170.0,166.91,167.23,167.23,1583900,0,0
2015-09-21,168.46,170.02,167.53,168.69,168.69,789700,0,0
2015-09-22,166.42,167.66,164.42,165.78,165.78,593600,0,0
2015-09-23,165.56,168.26,165.55,168.1,168.1,557600,0,0
