Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,33.74,33.84,33.35,33.42,29.09,1414100,0.0,0
2015-04-28,33.4,33.91,33.35,33.79,29.41,1228400,0.0,0
2015-04-29,33.97,34.44,33.7,34.06,29.65,1877600,0.0,0
2015-04-30,34.31,34.9,34.03,34.16,29.73,2477800,0.0,0
2015-05-01,34.41,34.65,34.23,34.35,29.9,1897200,0.0,0
2015-05-04,34.44,34.82,34.42,34.78,30.27,1420900,0.0,0
2015-05-05,34.71,35.03,34.56,34.69,30.19,1159900,0.0,0
2015-05-06,34.87,34.99,34.39,34.6,30.12,1639900,0.0,0
2015-05-07,34.57,34.83,34.41,34.63,30.14,2096400,0.0,0
2015-05-08,34.78,34.94,34.4,34.65,30.16,1639400,0.0,0
2015-05-11,34.68,35.02,34.66,34.85,30.33,954900,0.0,0
2015-05-12,34.71,34.89,34.47,34.56,30.08,1713100,0.0,0
2015-05-13,34.48,34.83,34.43,34.74,30.24,1356800,0.0,0
2015-05-14,34.9,34.97,34.67,34.87,30.35,1030700,0.0,0
2015-05-15,34.89,35.05,34.37,34.51,30.04,1355000,0.0,0
2015-05-18,34.51,35.07,34.51,35.0,30.46,2381700,0.0,0
2015-05-19,35.22,35.28,34.82,34.99,30.46,1062200,0.0,0
2015-05-20,35.0,35.16,34.67,34.96,30.43,1250400,0.0,0
2015-05-21,34.87,36.0,34.82,34.95,30.42,2194200,0.0,0
2015-05-22,35.01,35.14,34.91,34.94,30.41,857600,0.0,0
2015-05-26,34.88,34.9,34.5,34.55,30.07,1023500,0.0,0
2015-05-27,34.61,35.31,34.56,35.22,30.66,2040300,0.0,0
2015-05-28,35.17,35.27,34.99,35.24,30.67,1153900,0.0,0
2015-05-29,35.2,35.25,34.82,34.96,30.43,1982900,0.0,0
2015-06-01,35.07,35.18,34.83,34.97,30.44,1524500,0.0,0
2015-06-02,35.0,35.71,34.85,35.56,30.95,1557500,0.0,0
2015-06-03,35.78,36.2,35.68,36.01,31.34,1832800,0.0,0
2015-06-04,35.78,36.03,35.66,35.72,31.09,1468700,0.0,0
2015-06-05,36.06,36.37,35.89,36.09,31.41,1514800,0.0,0
2015-06-08,36.02,36.35,35.89,35.92,31.26,1148000,0.0,0
2015-06-09,35.92,36.3,35.85,36.07,31.4,1065700,0.0,0
2015-06-10,36.25,36.81,36.08,36.79,32.02,2210600,0.0,0
2015-06-11,36.78,37.08,36.68,36.91,32.13,1309500,0.0,0
2015-06-12,36.71,36.98,36.65,36.92,32.14,1397400,0.0,0
2015-06-15,36.42,36.95,36.38,36.64,31.89,1095000,0.0,0
2015-06-16,36.54,36.99,36.44,36.85,32.07,1062700,0.0,0
2015-06-17,37.0,37.07,36.54,36.57,31.83,1219700,0.0,0
2015-06-18,36.77,36.88,36.51,36.75,31.99,1885600,0.0,0
2015-06-19,36.6,36.76,36.45,36.54,31.8,1792200,0.0,0
2015-06-22,36.87,37.0,36.76,36.9,32.12,858700,0.0,0
2015-06-23,37.02,37.17,36.58,37.15,32.34,1654100,0.0,0
2015-06-24,36.98,37.11,36.77,36.77,32.0,689700,0.0,0
2015-06-25,36.84,36.89,36.33,36.39,31.67,1385300,0.0,0
2015-06-26,36.58,36.9,36.36,36.77,32.0,1747800,0.0,0
2015-06-29,36.27,36.37,35.59,35.63,31.01,2025500,0.0,0
2015-06-30,36.01,36.25,35.58,35.75,31.12,1942000,0.0,0
2015-07-01,36.34,36.34,35.82,36.09,31.41,1195400,0.0,0
2015-07-02,36.05,36.19,35.87,36.02,31.35,1295400,0.0,0
2015-07-06,35.63,36.04,35.51,35.82,31.18,1706600,0.0,0
2015-07-07,35.8,35.95,35.28,35.94,31.28,1617400,0.0,0
2015-07-08,35.5,35.59,34.82,34.91,30.39,991100,0.0,0
2015-07-09,35.49,35.58,35.21,35.38,30.79,1438100,0.0,0
2015-07-10,35.81,35.95,35.5,35.86,31.21,961600,0.0,0
2015-07-13,36.14,36.3,36.01,36.22,31.53,1093600,0.0,0
2015-07-14,36.04,36.27,35.93,36.2,31.51,768600,0.0,0
2015-07-15,36.17,36.42,36.04,36.35,31.64,860000,0.0,0
2015-07-16,36.64,36.71,36.46,36.62,31.87,730400,0.0,0
2015-07-17,36.5,36.64,36.0,36.37,31.66,1046900,0.0,0
2015-07-20,36.48,36.78,36.19,36.28,31.58,1469000,0.0,0
2015-07-21,36.29,36.58,36.17,36.31,31.6,1052800,0.0,0
2015-07-22,36.29,36.99,36.18,36.31,31.6,1434700,0.0,0
2015-07-23,36.31,36.44,36.09,36.2,31.51,1459900,0.0,0
2015-07-24,36.7,38.15,36.35,37.61,32.74,3311400,0.0,0
2015-07-27,37.08,37.25,36.77,36.95,32.16,1749600,0.0,0
2015-07-28,37.17,37.26,36.66,36.85,32.07,1409600,0.0,0
2015-07-29,36.73,37.54,36.57,37.46,32.77,1752500,0.185,0
2015-07-30,37.03,37.46,35.78,36.1,31.58,2513400,0.0,0
2015-07-31,36.07,36.18,35.68,35.84,31.35,1741300,0.0,0
2015-08-03,35.85,36.0,35.37,35.66,31.2,1498000,0.0,0
2015-08-04,35.59,35.91,35.48,35.59,31.13,1110900,0.0,0
2015-08-05,35.7,35.88,35.39,35.52,31.07,947500,0.0,0
2015-08-06,35.46,35.58,35.07,35.3,30.88,893800,0.0,0
2015-08-07,35.18,35.34,34.8,35.09,30.7,1084300,0.0,0
2015-08-10,35.57,36.41,35.51,36.26,31.72,1599200,0.0,0
2015-08-11,35.76,36.09,35.58,35.71,31.24,1534100,0.0,0
2015-08-12,35.34,35.69,34.74,35.65,31.19,2199800,0.0,0
2015-08-13,35.71,36.2,35.71,36.01,31.5,1326400,0.0,0
2015-08-14,36.09,36.55,35.91,36.15,31.62,1645300,0.0,0
2015-08-17,35.89,36.18,35.79,36.18,31.65,1035300,0.0,0
2015-08-18,36.16,36.36,36.1,36.22,31.69,717300,0.0,0
2015-08-19,36.04,36.12,35.45,35.55,31.1,1562300,0.0,0
2015-08-20,35.19,35.24,34.67,34.67,30.33,1852700,0.0,0
2015-08-21,34.23,34.37,33.48,33.49,29.3,1969200,0.0,0
2015-08-24,32.16,33.07,29.81,31.85,27.86,3361300,0.0,0
2015-08-25,32.93,32.99,31.81,31.82,27.84,4377600,0.0,0
2015-08-26,32.71,32.94,32.27,32.85,28.74,5331800,0.0,0
2015-08-27,33.24,33.84,32.98,33.81,29.58,2919900,0.0,0
2015-08-28,33.63,34.0,33.35,33.58,29.38,1467100,0.0,0
2015-08-31,33.26,33.83,33.15,33.54,29.34,1999000,0.0,0
2015-09-01,32.31,32.9,32.17,32.32,28.27,1899000,0.0,0
2015-09-02,32.9,32.91,32.25,32.72,28.62,988800,0.0,0
2015-09-03,32.8,33.34,32.78,32.91,28.79,1376500,0.0,0
2015-09-04,32.43,32.63,32.11,32.25,28.21,1552400,0.0,0
2015-09-08,32.97,33.21,32.64,33.16,29.01,1712900,0.0,0
2015-09-09,33.61,33.73,32.62,32.68,28.59,1368900,0.0,0
2015-09-10,32.55,33.08,32.45,32.78,28.68,1391000,0.0,0
2015-09-11,32.48,32.81,32.41,32.79,28.68,946500,0.0,0
2015-09-14,32.71,32.83,32.39,32.46,28.4,812000,0.0,0
2015-09-15,32.66,33.07,32.5,32.99,28.86,977800,0.0,0
2015-09-16,32.97,33.1,32.75,32.97,28.84,1702400,0.0,0
2015-09-17,32.98,33.14,32.1,32.19,28.16,1937500,0.0,0
2015-09-18,31.66,32.0,31.44,31.63,27.67,3110000,0.0,0
2015-09-21,31.74,32.19,31.68,31.86,27.87,1476200,0.0,0
2015-09-22,31.39,31.6,31.16,31.41,27.48,1423500,0.0,0
2015-09-23,31.48,31.68,31.3,31.43,27.49,1000400,0.0,0
2015-09-24,31.06,31.5,30.91,31.42,27.49,1073800,0.0,0
2015-09-25,32.06,32.3,31.79,32.01,28.0,1859600,0.0,0
2015-09-28,31.66,31.83,31.19,31.28,27.36,1453200,0.0,0
2015-09-29,31.33,31.58,31.12,31.53,27.58,879300,0.0,0
2015-09-30,31.94,32.09,31.69,32.08,28.06,1469900,0.0,0
2015-10-01,32.07,32.46,31.95,32.41,28.35,1703200,0.0,0
2015-10-02,31.67,32.09,31.22,31.95,27.95,2018500,0.0,0
2015-10-05,32.17,32.78,32.02,32.73,28.63,1257100,0.0,0
2015-10-06,32.66,32.89,32.5,32.59,28.51,1086300,0.0,0
2015-10-07,32.91,33.17,32.68,33.02,28.89,1082200,0.0,0
2015-10-08,32.87,33.19,32.76,33.13,28.98,1030000,0.0,0
2015-10-09,33.1,33.35,32.72,32.97,28.84,889300,0.0,0
2015-10-12,32.96,33.17,32.84,33.11,28.96,464300,0.0,0
2015-10-13,32.91,33.09,32.73,32.77,28.67,667700,0.0,0
2015-10-14,32.71,32.93,32.33,32.42,28.36,1042600,0.0,0
2015-10-15,32.62,32.99,32.44,32.97,28.84,818700,0.0,0
2015-10-16,33.14,33.22,32.69,33.06,28.92,975000,0.0,0
2015-10-19,32.88,33.0,32.68,32.78,28.68,1001900,0.0,0
2015-10-20,32.79,33.33,32.62,33.21,29.05,1336700,0.0,0
2015-10-21,33.29,33.49,32.84,32.88,28.76,1055900,0.0,0
2015-10-22,33.05,33.47,33.04,33.24,29.08,1348700,0.0,0
2015-10-23,33.53,33.7,33.26,33.54,29.34,1566000,0.0,0
2015-10-26,33.47,33.61,33.17,33.34,29.17,833100,0.0,0
2015-10-27,33.05,33.15,32.78,32.96,28.83,1204000,0.0,0
2015-10-28,32.93,34.14,32.59,34.13,30.03,1810100,0.185,0
2015-10-29,34.39,35.0,34.28,34.61,30.45,2200600,0.0,0
2015-10-30,34.66,35.16,34.48,34.65,30.48,1906600,0.0,0
2015-11-02,34.7,35.33,34.5,35.26,31.02,1517800,0.0,0
2015-11-03,35.18,35.32,34.78,34.9,30.7,1281600,0.0,0
2015-11-04,34.94,35.0,34.5,34.58,30.42,934700,0.0,0
2015-11-05,34.55,34.63,34.34,34.49,30.34,911300,0.0,0
2015-11-06,35.55,36.19,35.16,36.09,31.75,1850200,0.0,0
2015-11-09,36.08,36.08,35.52,35.95,31.63,2249200,0.0,0
2015-11-10,35.82,36.77,35.74,36.7,32.29,2300600,0.0,0
2015-11-11,36.8,36.92,36.39,36.59,32.19,1608100,0.0,0
2015-11-12,36.16,36.38,35.91,35.95,31.63,1578700,0.0,0
2015-11-13,35.86,36.24,35.77,35.84,31.53,1283900,0.0,0
2015-11-16,35.75,36.59,35.62,36.59,32.19,1104600,0.0,0
2015-11-17,36.72,36.93,36.42,36.49,32.1,1221400,0.0,0
2015-11-18,36.59,36.81,36.47,36.76,32.34,1582000,0.0,0
2015-11-19,36.65,36.89,36.32,36.67,32.26,1123100,0.0,0
2015-11-20,36.71,37.18,36.62,37.12,32.66,1968800,0.0,0
2015-11-23,37.04,37.26,36.73,36.78,32.36,1414800,0.0,0
2015-11-24,36.48,36.78,36.35,36.69,32.28,1256600,0.0,0
2015-11-25,36.75,36.83,36.48,36.66,32.25,874200,0.0,0
2015-11-27,36.72,36.96,36.62,36.89,32.45,382100,0.0,0
2015-11-30,36.94,37.05,36.66,36.68,32.27,1683300,0.0,0
2015-12-01,36.9,37.15,36.43,37.13,32.66,1625900,0.0,0
2015-12-02,37.2,37.26,36.66,36.76,32.34,1374900,0.0,0
2015-12-03,36.29,36.57,35.97,36.15,31.8,2127300,0.0,0
2015-12-04,36.32,36.89,36.16,36.81,32.38,1685300,0.0,0
2015-12-07,36.7,36.87,36.03,36.31,31.94,1019200,0.0,0
2015-12-08,35.95,36.02,35.52,35.76,31.46,999000,0.0,0
2015-12-09,35.65,36.01,34.96,35.14,30.91,865400,0.0,0
2015-12-10,35.11,35.48,35.03,35.12,30.9,958500,0.0,0
2015-12-11,34.46,34.74,33.76,33.95,29.87,1289200,0.0,0
2015-12-14,34.0,34.16,33.1,33.3,29.3,2169400,0.0,0
2015-12-15,33.7,34.02,33.51,33.89,29.81,2176900,0.0,0
2015-12-16,34.12,34.38,33.39,33.82,29.75,2064600,0.0,0
2015-12-17,33.94,34.08,33.05,33.07,29.09,2386800,0.0,0
2015-12-18,32.79,32.85,32.09,32.1,28.24,3465600,0.0,0
2015-12-21,32.39,32.56,31.91,32.28,28.4,1678400,0.0,0
2015-12-22,32.5,32.79,32.13,32.67,28.74,1036000,0.0,0
2015-12-23,32.93,33.45,32.72,33.4,29.38,1275900,0.0,0
2015-12-24,33.33,33.65,33.22,33.43,29.41,450000,0.0,0
2015-12-28,33.27,33.52,33.13,33.42,29.4,743300,0.0,0
2015-12-29,33.7,33.92,33.51,33.71,29.66,619500,0.0,0
2015-12-30,33.67,33.82,33.49,33.52,29.49,642300,0.0,0
2015-12-31,33.26,33.7,32.61,33.29,29.29,850300,0.0,0
2016-01-04,32.36,32.75,32.24,32.75,28.81,1295300,0.0,0
2016-01-05,32.52,32.83,32.38,32.58,28.66,1020500,0.0,0
2016-01-06,32.0,32.1,31.48,31.69,27.88,1234900,0.0,0
2016-01-07,30.92,31.35,30.68,30.81,27.1,1412500,0.0,0
2016-01-08,31.1,31.23,30.35,30.42,26.76,1991200,0.0,0
2016-01-11,30.59,30.91,29.92,30.24,26.6,2388300,0.0,0
2016-01-12,30.6,30.66,29.68,30.19,26.56,2064600,0.0,0
2016-01-13,30.51,30.61,29.15,29.27,25.75,1756400,0.0,0
2016-01-14,29.44,29.66,28.74,29.48,25.93,2182500,0.0,0
2016-01-15,28.62,28.85,27.89,28.42,25.0,2532800,0.0,0
2016-01-19,28.78,28.94,27.91,28.17,24.78,2606500,0.0,0
2016-01-20,27.54,27.68,26.42,27.4,24.1,2895600,0.0,0
