Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,98.04,98.36,97.24,97.43,83.19,3906300,0.0,0
2015-04-28,99.2,101.77,98.71,100.77,86.05,8282700,0.0,0
2015-04-29,101.41,101.98,100.8,101.25,86.46,5454500,0.0,0
2015-04-30,100.94,101.3,100.08,100.53,85.84,4045700,0.0,0
2015-05-01,100.95,101.42,100.29,101.38,86.57,2846100,0.0,0
2015-05-04,101.32,101.96,101.13,101.43,86.61,2993000,0.0,0
2015-05-05,101.01,101.34,99.92,100.11,85.48,2845200,0.0,0
2015-05-06,100.4,100.66,98.58,99.22,84.72,3403200,0.0,0
2015-05-07,99.3,100.23,99.28,99.64,85.08,3151700,0.0,0
2015-05-08,100.42,101.35,100.27,100.36,85.7,2964400,0.0,0
2015-05-11,100.36,100.87,100.23,100.53,85.84,4080400,0.0,0
2015-05-12,100.23,100.37,99.68,99.97,85.36,2438400,0.0,0
2015-05-13,99.63,100.14,99.16,99.43,84.9,3205100,0.0,0
2015-05-14,99.41,101.32,99.4,100.67,86.6,5966400,0.73,0
2015-05-15,102.03,102.57,101.68,102.13,87.85,5347800,0.0,0
2015-05-18,101.75,102.24,101.33,101.91,87.66,2769300,0.0,0
2015-05-19,102.15,102.84,101.7,102.08,87.81,3198300,0.0,0
2015-05-20,102.2,102.5,101.64,101.96,87.71,2627600,0.0,0
2015-05-21,101.92,102.45,101.62,102.05,87.78,2159500,0.0,0
2015-05-22,102.27,102.27,101.18,101.43,87.25,2200500,0.0,0
2015-05-26,101.4,101.42,100.19,100.52,86.47,2364900,0.0,0
2015-05-27,100.52,101.14,99.98,100.92,86.81,2068600,0.0,0
2015-05-28,100.6,100.93,99.76,99.87,85.91,2722100,0.0,0
2015-05-29,99.75,99.76,98.78,99.22,85.35,4231800,0.0,0
2015-06-01,99.77,100.12,98.89,99.48,85.57,2857600,0.0,0
2015-06-02,98.94,100.0,98.57,99.43,85.53,2324900,0.0,0
2015-06-03,99.85,101.4,99.5,100.6,86.54,3611600,0.0,0
2015-06-04,100.05,100.68,99.9,100.1,86.11,3125800,0.0,0
2015-06-05,100.15,100.7,99.77,100.51,86.46,2692100,0.0,0
2015-06-08,100.52,100.58,99.21,99.27,85.39,2819900,0.0,0
2015-06-09,99.16,100.19,99.02,99.62,85.69,2348300,0.0,0
2015-06-10,99.94,100.82,99.6,100.46,86.42,2682400,0.0,0
2015-06-11,100.81,101.16,100.46,101.0,86.88,1899000,0.0,0
2015-06-12,100.49,100.97,99.69,100.06,86.07,2420400,0.0,0
2015-06-15,99.62,100.17,99.0,99.96,85.99,2152500,0.0,0
2015-06-16,99.93,100.47,98.82,100.35,86.32,3061900,0.0,0
2015-06-17,99.91,100.7,99.5,100.42,86.38,2846600,0.0,0
2015-06-18,100.49,101.68,100.49,101.4,87.22,2948900,0.0,0
2015-06-19,101.08,101.36,100.46,100.84,86.74,3600600,0.0,0
2015-06-22,101.16,101.68,101.03,101.39,87.22,3236200,0.0,0
2015-06-23,101.29,101.68,100.59,100.75,86.67,1493300,0.0,0
2015-06-24,100.7,100.8,99.01,99.39,85.5,2565500,0.0,0
2015-06-25,99.37,99.76,98.86,98.94,85.11,2227900,0.0,0
2015-06-26,99.43,99.71,99.03,99.35,85.46,2782500,0.0,0
2015-06-29,98.71,99.0,97.24,97.31,83.71,3507600,0.0,0
2015-06-30,98.26,98.26,96.81,96.91,83.36,3059400,0.0,0
2015-07-01,97.52,97.94,96.52,96.94,83.39,2893300,0.0,0
2015-07-02,97.22,97.36,96.8,97.2,83.61,1836000,0.0,0
2015-07-06,96.58,97.42,96.15,96.66,83.15,2721000,0.0,0
2015-07-07,96.96,97.53,96.1,97.5,83.87,3755900,0.0,0
2015-07-08,96.82,96.91,95.28,95.49,82.14,2782300,0.0,0
2015-07-09,96.58,96.82,95.72,95.75,82.36,2042100,0.0,0
2015-07-10,97.01,97.32,96.63,96.96,83.4,1951700,0.0,0
2015-07-13,97.62,97.94,97.06,97.76,84.09,2489900,0.0,0
2015-07-14,97.9,98.11,97.27,97.87,84.19,2419200,0.0,0
2015-07-15,97.91,97.96,96.99,97.18,83.59,2092900,0.0,0
2015-07-16,97.87,97.98,97.37,97.48,83.85,1548400,0.0,0
2015-07-17,97.17,98.12,97.06,97.6,83.96,2653400,0.0,0
2015-07-20,97.6,97.87,97.3,97.59,83.95,1777000,0.0,0
2015-07-21,97.63,98.64,97.57,97.96,84.27,2178900,0.0,0
2015-07-22,98.43,98.63,96.83,97.23,83.64,2691000,0.0,0
2015-07-23,97.65,97.65,95.82,96.11,82.67,1940400,0.0,0
2015-07-24,96.07,96.07,94.52,94.75,81.5,2959700,0.0,0
2015-07-27,94.5,95.23,94.15,95.12,81.82,3628300,0.0,0
2015-07-28,97.89,100.47,97.83,99.94,85.97,7592900,0.0,0
2015-07-29,100.36,101.95,100.21,100.89,86.79,5563700,0.0,0
2015-07-30,100.4,101.54,100.27,101.4,87.22,2871000,0.0,0
2015-07-31,101.91,102.76,101.57,102.36,88.05,4222900,0.0,0
2015-08-03,102.49,103.15,101.9,102.75,88.39,2756900,0.0,0
2015-08-04,102.92,103.12,102.23,102.64,88.29,2431500,0.0,0
2015-08-05,103.05,104.07,102.94,102.94,88.55,3196700,0.0,0
2015-08-06,103.12,103.22,102.2,102.43,88.11,2043100,0.0,0
2015-08-07,102.33,102.4,101.5,102.14,87.86,2982900,0.0,0
2015-08-10,102.77,103.48,102.77,103.43,88.97,2690800,0.0,0
2015-08-11,102.63,103.47,102.53,102.99,88.59,3465200,0.0,0
2015-08-12,102.56,103.12,101.55,102.82,88.45,3762500,0.0,0
2015-08-13,101.95,102.39,101.5,101.84,88.23,1829900,0.73,0
2015-08-14,101.74,102.76,101.38,102.73,89.0,2278800,0.0,0
2015-08-17,102.24,102.92,101.54,102.9,89.15,2181600,0.0,0
2015-08-18,102.98,102.98,102.34,102.76,89.03,2080900,0.0,0
2015-08-19,102.36,103.0,101.7,102.31,88.64,2119900,0.0,0
2015-08-20,101.38,101.96,101.05,101.05,87.54,3779400,0.0,0
2015-08-21,100.16,100.88,98.72,99.14,85.89,6566500,0.0,0
2015-08-24,94.72,97.45,94.0,95.51,82.75,7929500,0.0,0
2015-08-25,97.55,97.91,94.41,94.46,81.84,6023000,0.0,0
2015-08-26,95.61,96.77,93.64,96.63,83.72,5886900,0.0,0
2015-08-27,97.49,99.24,97.4,99.15,85.9,4739800,0.0,0
2015-08-28,98.63,99.09,97.89,98.64,85.46,2778400,0.0,0
2015-08-31,98.28,98.3,97.5,97.65,84.6,2892700,0.0,0
2015-09-01,95.81,96.76,94.8,95.2,82.48,5168600,0.0,0
2015-09-02,96.29,96.73,95.18,96.71,83.78,3578900,0.0,0
2015-09-03,97.19,97.45,96.42,96.77,83.84,3320200,0.0,0
2015-09-04,95.19,95.91,94.65,95.3,82.56,3334000,0.0,0
2015-09-08,96.83,97.98,96.34,97.93,84.84,2857800,0.0,0
2015-09-09,98.65,98.86,96.89,97.05,84.08,2773200,0.0,0
2015-09-10,97.05,97.54,96.48,96.82,83.88,2928200,0.0,0
2015-09-11,96.47,97.19,96.19,97.18,84.19,2129000,0.0,0
