Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,96.98,97.88,96.03,96.52,96.52,1778300,0,0
2015-04-28,96.57,96.96,95.2,96.24,96.24,1533300,0,0
2015-04-29,96.03,98.49,95.92,97.76,97.76,1956800,0,0
2015-04-30,97.21,98.64,96.15,96.58,96.58,1424100,0,0
2015-05-01,96.88,99.54,96.88,99.27,99.27,1352600,0,0
2015-05-04,99.45,99.99,98.5,99.02,99.02,897700,0,0
2015-05-05,99.22,102.94,99.1,100.53,100.53,2860800,0,0
2015-05-06,100.99,101.59,99.34,99.85,99.85,1873500,0,0
2015-05-07,99.51,100.05,98.0,99.3,99.3,1511000,0,0
2015-05-08,100.46,101.5,99.98,101.41,101.41,954400,0,0
2015-05-11,101.18,101.99,99.56,101.65,101.65,2077300,0,0
2015-05-12,100.69,103.4,100.17,102.98,102.98,2715300,0,0
2015-05-13,103.0,104.68,102.91,103.48,103.48,2138700,0,0
2015-05-14,103.83,104.24,102.47,103.05,103.05,981800,0,0
2015-05-15,102.91,103.48,100.9,103.17,103.17,1635800,0,0
2015-05-18,103.21,103.79,102.45,103.61,103.61,1055600,0,0
2015-05-19,104.16,104.27,101.64,102.01,102.01,1454000,0,0
2015-05-20,101.96,103.4,101.09,103.25,103.25,1249500,0,0
2015-05-21,103.01,105.83,103.01,105.13,105.13,2316100,0,0
2015-05-22,104.99,105.36,103.64,104.89,104.89,1159500,0,0
2015-05-26,104.7,105.12,103.89,104.36,104.36,1413900,0,0
2015-05-27,104.45,105.44,104.09,104.5,104.5,1154400,0,0
2015-05-28,101.0,101.0,94.27,94.95,94.95,8954200,0,0
2015-05-29,92.67,93.32,87.9,88.91,88.91,10706500,0,0
2015-06-01,89.68,90.81,88.52,90.38,90.38,3950600,0,0
2015-06-02,90.2,92.88,90.18,92.06,92.06,2883000,0,0
2015-06-03,92.28,92.94,91.18,91.63,91.63,2239000,0,0
2015-06-04,90.85,91.85,90.7,91.19,91.19,2116500,0,0
2015-06-05,91.51,92.27,90.85,91.86,91.86,1307400,0,0
2015-06-08,91.87,92.32,90.17,90.34,90.34,1635700,0,0
2015-06-09,90.23,90.58,88.46,88.88,88.88,2340900,0,0
2015-06-10,89.57,90.34,89.07,89.68,89.68,1889100,0,0
