Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.84,43.04,42.54,42.56,37.26,5703900,0.0,0
2015-04-28,42.56,42.96,42.4,42.87,37.53,5804400,0.0,0
2015-04-29,42.7,43.22,42.69,42.98,37.63,5639500,0.0,0
2015-04-30,42.94,43.18,42.59,42.87,37.53,6455300,0.0,0
2015-05-01,43.0,43.19,42.76,42.91,37.57,3736600,0.0,0
2015-05-04,43.07,43.59,42.97,43.54,38.12,5120000,0.0,0
2015-05-05,43.35,43.79,43.24,43.25,37.86,5444900,0.0,0
2015-05-06,43.65,43.65,42.83,43.1,37.73,4800200,0.0,0
2015-05-07,43.09,43.23,42.81,43.1,37.73,4677400,0.0,0
2015-05-08,43.35,43.88,43.18,43.86,38.4,5162100,0.0,0
2015-05-11,43.77,43.98,43.71,43.75,38.3,3953800,0.0,0
2015-05-12,43.5,43.95,43.23,43.9,38.43,6714700,0.0,0
2015-05-13,43.85,44.24,43.72,44.14,38.64,5966400,0.0,0
2015-05-14,44.36,44.45,44.07,44.38,38.85,4147400,0.0,0
2015-05-15,44.4,44.47,43.73,43.93,38.46,4966300,0.0,0
2015-05-18,43.97,44.28,43.92,44.2,38.7,5101200,0.0,0
2015-05-19,44.41,44.73,44.28,44.69,39.12,4555700,0.0,0
2015-05-20,44.6,44.65,44.0,44.09,38.6,8055700,0.0,0
2015-05-21,44.01,44.11,43.83,43.86,38.4,5960000,0.0,0
2015-05-22,43.86,43.96,43.54,43.57,38.14,6133800,0.0,0
2015-05-26,43.54,43.6,43.23,43.37,37.97,7536400,0.0,0
2015-05-27,43.58,44.06,43.46,43.86,38.4,5808500,0.0,0
2015-05-28,43.75,43.82,43.46,43.7,38.26,4846200,0.0,0
2015-05-29,43.76,43.78,43.06,43.11,37.74,7785600,0.0,0
2015-06-01,43.25,43.39,42.77,42.97,37.62,5242000,0.0,0
2015-06-02,42.87,43.29,42.7,43.13,37.76,4290600,0.0,0
2015-06-03,43.32,44.04,43.2,43.97,38.49,8312800,0.0,0
2015-06-04,43.79,43.93,43.41,43.49,38.07,6980900,0.0,0
2015-06-05,43.87,44.49,43.83,43.99,38.51,7470100,0.0,0
2015-06-08,43.88,44.16,43.64,43.66,38.22,5831400,0.0,0
2015-06-09,43.77,44.37,43.59,44.07,38.58,6495900,0.0,0
2015-06-10,44.28,45.04,44.27,44.81,39.23,7944500,0.0,0
2015-06-11,44.85,45.11,44.68,44.85,39.26,7059500,0.0,0
2015-06-12,44.75,44.88,44.5,44.78,39.2,4763500,0.0,0
2015-06-15,44.32,44.6,44.13,44.4,38.87,6290000,0.0,0
2015-06-16,44.28,44.64,44.27,44.59,39.04,5831700,0.0,0
2015-06-17,44.76,45.07,44.56,44.64,39.08,8008000,0.0,0
2015-06-18,44.71,45.06,44.41,44.78,39.2,8892500,0.0,0
2015-06-19,44.59,44.82,44.33,44.64,39.08,14699700,0.0,0
2015-06-22,44.96,45.2,44.83,44.98,39.38,5213600,0.0,0
2015-06-23,45.18,45.29,44.96,45.1,39.48,4544600,0.0,0
