Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,68.39,68.61,66.93,67.1,64.7,7122400,0.0,0
2015-04-28,67.31,67.5,66.41,66.77,64.39,6297500,0.0,0
2015-04-29,66.86,68.46,66.78,67.34,64.94,9812400,0.0,0
2015-04-30,67.18,67.5,65.42,66.05,63.69,11780600,0.0,0
2015-05-01,65.22,66.66,65.15,65.77,63.42,10142800,0.0,0
2015-05-04,66.05,66.14,65.47,65.58,63.24,7426400,0.0,0
2015-05-05,65.77,66.39,65.6,65.96,63.61,8099800,0.0,0
2015-05-06,66.15,66.65,65.23,65.67,63.33,7084600,0.0,0
2015-05-07,65.58,66.78,65.54,66.58,64.2,6660300,0.0,0
2015-05-08,67.14,70.16,67.01,69.47,66.99,18359000,0.0,0
2015-05-11,69.3,69.7,68.79,69.02,66.56,10998500,0.0,0
2015-05-12,68.55,69.0,67.97,68.69,66.24,7438200,0.0,0
2015-05-13,68.75,68.88,68.19,68.65,66.32,5129800,0.12,0
2015-05-14,68.96,70.03,68.85,70.0,67.62,6491100,0.0,0
2015-05-15,70.1,70.69,69.31,69.57,67.2,7121000,0.0,0
2015-05-18,69.74,70.24,69.13,70.0,67.62,5553800,0.0,0
2015-05-19,70.14,70.56,70.0,70.16,67.77,4351000,0.0,0
2015-05-20,70.25,70.32,69.48,69.78,67.41,4870100,0.0,0
2015-05-21,69.55,69.87,69.28,69.37,67.01,6483800,0.0,0
2015-05-22,69.3,69.85,69.3,69.62,67.25,4511700,0.0,0
2015-05-26,69.31,69.5,68.31,68.54,66.21,6228100,0.0,0
2015-05-27,68.85,69.74,68.5,69.49,67.13,7064800,0.0,0
2015-05-28,69.48,69.78,68.8,69.56,67.19,3893900,0.0,0
2015-05-29,69.33,69.6,68.52,68.68,66.34,6678100,0.0,0
2015-06-01,69.13,69.45,68.43,69.11,66.76,6309400,0.0,0
2015-06-02,68.73,69.46,68.01,69.04,66.69,4457400,0.0,0
2015-06-03,69.26,69.5,68.89,68.95,66.61,4906400,0.0,0
2015-06-04,68.63,69.15,68.03,68.21,65.89,6460000,0.0,0
2015-06-05,68.29,68.7,68.0,68.37,66.04,4413100,0.0,0
2015-06-08,68.19,68.29,67.62,67.68,65.38,4864300,0.0,0
2015-06-09,67.67,68.09,67.53,67.95,65.64,4439700,0.0,0
2015-06-10,68.22,69.67,68.11,69.63,67.26,6807800,0.0,0
2015-06-11,69.7,70.02,69.42,69.64,67.27,5238700,0.0,0
2015-06-12,69.43,69.74,69.02,69.33,66.97,4900700,0.0,0
2015-06-15,68.72,68.99,68.17,68.57,66.24,5995100,0.0,0
2015-06-16,68.45,69.17,68.29,69.01,66.66,5937400,0.0,0
2015-06-17,69.11,69.41,68.51,68.75,66.41,7818300,0.0,0
2015-06-18,68.9,69.84,68.88,69.5,67.14,7596800,0.0,0
2015-06-19,69.27,69.33,68.48,68.69,66.35,8728800,0.0,0
2015-06-22,69.32,69.44,68.9,69.09,66.74,5511700,0.0,0
