Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,83.82,84.15,82.97,83.21,83.21,963100,0.0,0.0
2015-04-28,83.1,83.38,81.85,83.13,83.13,897500,0.0,0.0
2015-04-29,82.81,83.48,82.57,83.15,83.15,1150800,0.0,0.0
2015-04-30,78.83,78.9,76.43,77.91,77.91,3105800,0.0,0.0
2015-05-01,77.95,78.57,77.31,77.68,77.68,1344900,0.0,0.0
2015-05-04,78.01,78.26,77.22,77.51,77.51,1068000,0.0,0.0
2015-05-05,77.47,77.54,75.95,75.97,75.97,837900,0.0,0.0
2015-05-06,76.11,76.38,75.54,76.03,76.03,706100,0.0,0.0
2015-05-07,76.37,76.93,76.15,76.46,76.46,967400,0.0,0.0
2015-05-08,77.19,77.72,76.91,77.11,77.11,770600,0.0,0.0
2015-05-11,76.91,77.18,76.68,76.85,76.85,523300,0.0,0.0
2015-05-12,76.43,76.82,76.02,76.2,76.2,577600,0.0,0.0
2015-05-13,76.17,76.17,75.16,75.47,75.47,1207500,0.0,0.0
2015-05-14,76.14,76.9,76.09,76.81,76.81,1148200,0.0,0.0
2015-05-15,76.97,77.38,76.19,76.51,76.51,1245200,0.0,0.0
2015-05-18,76.63,77.07,76.18,76.87,76.87,1027100,0.0,0.0
2015-05-19,77.06,77.16,76.52,76.68,76.68,1099700,0.0,0.0
2015-05-20,76.6,77.29,76.49,76.77,76.77,854000,0.0,0.0
2015-05-21,76.65,76.84,76.35,76.74,76.74,945200,0.0,0.0
2015-05-22,76.55,76.93,76.26,76.79,76.79,807600,0.0,0.0
2015-05-26,76.47,76.79,75.39,75.74,75.74,736600,0.0,0.0
2015-05-27,76.04,76.6,75.52,76.39,76.39,920100,0.0,0.0
2015-05-28,76.33,76.83,75.93,76.64,76.64,865300,0.0,0.0
2015-05-29,76.87,77.13,75.76,75.94,75.94,1886300,0.0,0.0
2015-06-01,75.88,76.08,75.06,75.33,75.33,1296600,0.0,0.0
2015-06-02,75.29,76.24,75.02,75.82,75.82,742600,0.0,0.0
2015-06-03,76.08,76.91,75.98,76.76,76.76,803600,0.0,0.0
2015-06-04,76.54,76.98,75.93,76.02,76.02,1035200,0.0,0.0
2015-06-05,75.76,76.22,75.26,76.13,76.13,754900,0.0,0.0
2015-06-08,75.91,76.33,75.52,75.54,75.54,977300,0.0,0.0
2015-06-09,75.42,75.72,75.22,75.36,75.36,520800,0.0,0.0
2015-06-10,75.41,75.76,75.04,75.64,75.64,1588600,0.0,0.0
2015-06-11,75.83,76.19,75.54,75.97,75.97,693400,0.0,0.0
2015-06-12,75.77,75.95,75.16,75.22,75.22,731000,0.0,0.0
2015-06-15,74.99,75.07,74.41,74.81,74.81,725900,0.0,0.0
2015-06-16,74.86,75.68,74.6,75.48,75.48,1073400,0.0,0.0
2015-06-17,75.71,75.84,74.89,75.39,75.39,729600,0.0,0.0
2015-06-18,76.05,77.24,75.66,76.91,76.91,923500,0.0,0.0
2015-06-19,76.86,77.4,76.78,77.17,77.17,1865400,0.0,0.0
2015-06-22,77.68,77.68,77.06,77.2,77.2,651700,0.0,0.0
2015-06-23,77.33,77.34,76.57,76.6,76.6,628400,0.0,0.0
2015-06-24,76.31,76.68,75.4,75.43,75.43,654100,0.0,0.0
2015-06-25,75.43,75.91,74.71,74.82,74.82,815700,0.0,0.0
2015-06-26,75.01,75.24,74.44,74.79,74.79,962500,0.0,0.0
2015-06-29,74.2,74.54,73.27,73.31,73.31,981600,0.0,0.0
2015-06-30,74.19,74.44,73.61,73.95,73.95,676500,0.0,0.0
2015-07-01,74.43,74.48,73.52,73.99,73.99,859200,0.0,0.0
2015-07-02,74.11,75.48,74.11,75.33,75.33,1575400,0.0,0.0
2015-07-06,74.69,75.85,74.69,75.49,75.49,1566400,0.0,0.0
2015-07-07,75.5,75.89,74.53,75.81,75.81,731400,0.0,0.0
2015-07-08,75.38,76.19,74.34,74.36,74.36,789000,0.0,0.0
2015-07-09,75.18,75.52,74.51,74.52,74.52,773700,0.0,0.0
2015-07-10,75.35,76.44,75.35,76.11,76.11,646800,0.0,0.0
2015-07-13,76.45,77.04,76.11,76.98,76.98,547300,0.0,0.0
2015-07-14,77.06,77.34,76.83,77.05,77.05,601700,0.0,0.0
2015-07-15,76.98,77.15,76.47,76.61,76.61,435000,0.0,0.0
2015-07-16,76.9,77.6,76.6,77.04,77.04,529800,0.0,0.0
2015-07-17,76.91,76.97,76.41,76.9,76.9,481100,0.0,0.0
2015-07-20,77.01,77.18,76.57,76.92,76.92,388700,0.0,0.0
2015-07-21,76.96,77.57,76.38,76.52,76.52,810900,0.0,0.0
2015-07-22,76.68,77.27,76.43,76.98,76.98,563200,0.0,0.0
2015-07-23,77.12,77.33,76.62,76.8,76.8,403800,0.0,0.0
2015-07-24,76.7,77.23,76.28,76.41,76.41,473900,0.0,0.0
2015-07-27,76.24,76.61,76.0,76.56,76.56,820500,0.0,0.0
2015-07-28,76.8,78.53,76.8,78.33,78.33,1201500,0.0,0.0
2015-07-29,78.56,79.6,78.43,79.26,79.26,1650700,0.0,0.0
2015-07-30,77.07,78.11,73.73,75.41,75.41,2791700,0.0,0.0
2015-07-31,75.49,76.4,75.15,75.47,75.47,1288400,0.0,0.0
2015-08-03,75.48,75.62,74.58,75.19,75.19,1435000,0.0,0.0
2015-08-04,75.41,76.04,75.18,75.58,75.58,918400,0.0,0.0
2015-08-05,76.11,77.17,75.9,76.59,76.59,808300,0.0,0.0
2015-08-06,76.83,76.93,75.48,75.9,75.9,500900,0.0,0.0
2015-08-07,75.74,75.99,75.06,75.51,75.51,700900,0.0,0.0
2015-08-10,76.18,76.52,76.03,76.47,76.47,582500,0.0,0.0
2015-08-11,75.95,76.13,75.35,75.58,75.58,870300,0.0,0.0
2015-08-12,75.19,76.28,74.78,76.13,76.13,710700,0.0,0.0
2015-08-13,76.11,76.73,75.49,76.3,76.3,543800,0.0,0.0
2015-08-14,76.04,76.45,75.93,76.21,76.21,479000,0.0,0.0
2015-08-17,75.9,76.78,75.71,76.55,76.55,505300,0.0,0.0
2015-08-18,76.65,77.41,76.41,76.69,76.69,542500,0.0,0.0
2015-08-19,76.23,76.4,75.8,75.98,75.98,656500,0.0,0.0
2015-08-20,75.22,75.76,74.57,74.61,74.61,660300,0.0,0.0
2015-08-21,73.94,74.64,72.79,72.84,72.84,1493500,0.0,0.0
2015-08-24,69.12,71.03,68.36,69.26,69.26,1367700,0.0,0.0
2015-08-25,70.45,71.0,67.57,67.61,67.61,2180000,0.0,0.0
2015-08-26,68.92,70.1,67.98,69.95,69.95,1245500,0.0,0.0
2015-08-27,70.94,71.84,69.77,71.75,71.75,1133900,0.0,0.0
2015-08-28,71.32,72.37,71.27,72.32,72.32,837600,0.0,0.0
2015-08-31,72.12,72.68,71.17,71.25,71.25,1118300,0.0,0.0
2015-09-01,69.61,70.54,68.74,69.06,69.06,952100,0.0,0.0
2015-09-02,69.8,70.72,69.12,70.72,70.72,783300,0.0,0.0
2015-09-03,71.03,71.67,70.64,70.81,70.81,520800,0.0,0.0
2015-09-04,69.89,70.38,69.15,69.45,69.45,585900,0.0,0.0
2015-09-08,70.2,70.81,69.78,70.7,70.7,870600,0.0,0.0
2015-09-09,71.29,71.47,69.51,69.65,69.65,737200,0.0,0.0
2015-09-10,69.56,70.27,69.43,69.78,69.78,788600,0.0,0.0
2015-09-11,69.52,70.18,69.33,69.49,69.49,965900,0.0,0.0
2015-09-14,69.71,69.93,68.94,69.2,69.2,670800,0.0,0.0
2015-09-15,69.28,69.58,68.85,69.14,69.14,1662900,0.0,0.0
2015-09-16,69.28,69.28,68.8,69.04,69.04,1251500,0.0,0.0
2015-09-17,69.18,69.71,68.63,68.96,68.96,1370200,0.0,0.0
2015-09-18,68.11,68.75,67.92,68.06,68.06,2396100,0.0,0.0
2015-09-21,68.28,69.29,68.14,68.86,68.86,1273300,0.0,0.0
2015-09-22,68.2,68.34,67.15,67.74,67.74,899800,0.0,0.0
2015-09-23,67.63,68.37,67.28,67.34,67.34,982000,0.0,0.0
2015-09-24,66.77,67.03,65.79,66.43,66.43,1323600,0.0,0.0
2015-09-25,66.85,67.27,65.54,66.0,66.0,988300,0.0,0.0
2015-09-28,64.86,64.89,62.32,62.65,62.65,1634600,0.0,0.0
2015-09-29,62.65,64.74,62.59,64.23,64.23,1504100,0.0,0.0
2015-09-30,64.81,65.88,64.15,64.7,64.7,1150600,0.0,0.0
2015-10-01,64.86,64.87,64.07,64.65,64.65,857500,0.0,0.0
2015-10-02,64.0,65.98,63.79,65.93,65.93,903400,0.0,0.0
2015-10-05,66.3,66.94,65.67,66.71,66.71,720900,0.0,0.0
2015-10-06,66.47,66.81,65.69,66.14,66.14,884100,0.0,0.0
2015-10-07,66.65,67.54,66.03,67.25,67.25,697500,0.0,0.0
2015-10-08,67.0,68.06,66.81,67.89,67.89,910500,0.0,0.0
2015-10-09,67.85,68.44,67.55,68.37,68.37,559800,0.0,0.0
2015-10-12,68.53,68.54,67.32,67.36,67.36,1382100,0.0,0.0
2015-10-13,67.0,67.52,66.36,66.6,66.6,1201900,0.0,0.0
2015-10-14,66.78,66.94,65.96,66.14,66.14,1341400,0.0,0.0
2015-10-15,66.45,67.5,66.24,67.49,67.49,1033800,0.0,0.0
2015-10-16,67.83,67.97,67.13,67.59,67.59,1231100,0.0,0.0
2015-10-19,67.51,68.95,67.38,68.81,68.81,1071000,0.0,0.0
2015-10-20,64.41,66.39,64.41,66.03,66.03,2799700,0.0,0.0
2015-10-21,66.38,66.45,65.32,65.93,65.93,878700,0.0,0.0
2015-10-22,66.22,66.97,65.73,66.56,66.56,1202000,0.0,0.0
2015-10-23,67.01,67.89,66.91,67.75,67.75,1102700,0.0,0.0
2015-10-26,67.63,68.1,67.17,67.54,67.54,848600,0.0,0.0
2015-10-27,67.36,67.62,66.5,66.79,66.79,861700,0.0,0.0
2015-10-28,67.0,68.22,66.57,67.65,67.65,1431500,0.0,0.0
2015-10-29,66.02,69.01,65.75,68.88,68.88,1185000,0.0,0.0
2015-10-30,68.98,69.4,68.56,68.86,68.86,869100,0.0,0.0
2015-11-02,69.09,69.52,68.77,68.94,68.94,1239300,0.0,0.0
2015-11-03,68.84,69.77,68.49,69.3,69.3,1899100,0.0,0.0
2015-11-04,69.55,69.93,69.42,69.64,69.64,871900,0.0,0.0
2015-11-05,69.92,70.57,69.52,70.45,70.45,913400,0.0,0.0
2015-11-06,70.11,70.93,70.11,70.92,70.92,840900,0.0,0.0
2015-11-09,70.7,70.94,70.22,70.76,70.76,1075700,0.0,0.0
2015-11-10,70.59,71.18,70.47,70.84,70.84,909700,0.0,0.0
2015-11-11,71.03,71.42,70.7,70.78,70.78,1064400,0.0,0.0
2015-11-12,69.7,70.22,68.75,68.84,68.84,1209800,0.0,0.0
2015-11-13,68.79,69.07,68.56,68.81,68.81,994000,0.0,0.0
2015-11-16,68.7,69.42,68.51,69.4,69.4,554700,0.0,0.0
2015-11-17,69.4,69.5,68.59,68.85,68.85,879300,0.0,0.0
2015-11-18,69.0,69.83,68.68,69.71,69.71,865400,0.0,0.0
2015-11-19,69.49,69.89,69.4,69.61,69.61,470200,0.0,0.0
2015-11-20,70.03,70.84,69.91,70.7,70.7,667300,0.0,0.0
2015-11-23,70.68,71.5,70.65,70.86,70.86,792100,0.0,0.0
2015-11-24,70.62,71.17,70.15,70.95,70.95,674100,0.0,0.0
2015-11-25,71.0,71.06,70.56,70.77,70.77,326900,0.0,0.0
2015-11-27,70.7,71.04,70.19,70.85,70.85,263500,0.0,0.0
2015-11-30,71.03,71.13,70.64,70.84,70.84,895300,0.0,0.0
2015-12-01,71.13,71.64,70.35,71.57,71.57,1062000,0.0,0.0
2015-12-02,71.62,71.9,71.13,71.25,71.25,845400,0.0,0.0
2015-12-03,71.3,71.61,69.63,69.83,69.83,698400,0.0,0.0
2015-12-04,69.97,70.59,69.49,70.35,70.35,995200,0.0,0.0
2015-12-07,70.15,70.75,69.79,70.64,70.64,768600,0.0,0.0
2015-12-08,70.15,70.18,69.28,69.74,69.74,969500,0.0,0.0
2015-12-09,69.17,70.16,68.96,69.11,69.11,924300,0.0,0.0
2015-12-10,69.04,69.36,68.69,68.93,68.93,546000,0.0,0.0
2015-12-11,68.22,68.38,67.73,68.1,68.1,783700,0.0,0.0
2015-12-14,68.2,68.92,67.91,68.31,68.31,733900,0.0,0.0
2015-12-15,68.86,69.14,68.63,68.94,68.94,673800,0.0,0.0
2015-12-16,69.44,69.94,68.42,69.83,69.83,655600,0.0,0.0
2015-12-17,69.93,69.93,68.63,68.79,68.79,869100,0.0,0.0
2015-12-18,68.49,69.88,68.23,69.19,69.19,2028900,0.0,0.0
2015-12-21,69.52,69.75,69.01,69.63,69.63,1007800,0.0,0.0
2015-12-22,69.88,70.51,69.6,70.32,70.32,841100,0.0,0.0
2015-12-23,70.63,71.03,70.18,70.84,70.84,488900,0.0,0.0
2015-12-24,70.78,71.41,70.78,71.13,71.13,161700,0.0,0.0
2015-12-28,70.77,71.25,70.5,71.11,71.11,463900,0.0,0.0
2015-12-29,71.59,72.05,71.37,71.75,71.75,449500,0.0,0.0
2015-12-30,71.77,72.0,71.09,71.34,71.34,382000,0.0,0.0
2015-12-31,70.96,71.45,70.85,70.85,70.85,471600,0.0,0.0
2016-01-04,69.92,70.37,68.47,68.97,68.97,1375000,0.0,0.0
2016-01-05,68.99,69.32,68.62,69.13,69.13,668600,0.0,0.0
2016-01-06,68.43,68.92,68.08,68.78,68.78,1275200,0.0,0.0
2016-01-07,67.69,68.12,66.88,67.35,67.35,1207200,0.0,0.0
2016-01-08,67.5,67.92,66.89,67.13,67.13,1040400,0.0,0.0
2016-01-11,67.28,67.63,66.15,66.75,66.75,958200,0.0,0.0
2016-01-12,67.34,68.21,66.38,66.96,66.96,704000,0.0,0.0
2016-01-13,67.3,67.88,65.73,66.04,66.04,963000,0.0,0.0
2016-01-14,66.18,67.12,65.34,66.7,66.7,720400,0.0,0.0
2016-01-15,65.49,66.95,65.31,66.71,66.71,1155200,0.0,0.0
2016-01-19,67.48,67.95,66.0,66.59,66.59,789200,0.0,0.0
2016-01-20,65.66,66.41,64.31,65.99,65.99,1643900,0.0,0.0
2016-01-21,66.34,66.38,65.03,65.6,65.6,929900,0.0,0.0
2016-01-22,66.28,67.02,65.69,66.93,66.93,957500,0.0,0.0
2016-01-25,66.6,67.17,66.14,66.25,66.25,875800,0.0,0.0
2016-01-26,66.45,67.91,66.22,67.57,67.57,987100,0.0,0.0
2016-01-27,67.57,69.53,67.57,68.14,68.14,1833500,0.0,0.0
2016-01-28,66.21,66.66,65.38,65.88,65.88,3018700,0.0,0.0
2016-01-29,65.41,67.68,65.41,67.64,67.64,1631000,0.0,0.0
2016-02-01,67.09,68.05,66.64,67.7,67.7,863200,0.0,0.0
2016-02-02,66.99,67.46,66.29,66.59,66.59,996800,0.0,0.0
2016-02-03,67.23,67.31,65.27,66.2,66.2,1350200,0.0,0.0
2016-02-04,66.12,67.13,65.85,66.56,66.56,1175000,0.0,0.0
2016-02-05,66.46,66.71,65.22,65.5,65.5,1146000,0.0,0.0
2016-02-08,65.08,65.2,64.28,64.91,64.91,1175500,0.0,0.0
2016-02-09,64.22,66.0,64.17,65.65,65.65,1173100,0.0,0.0
2016-02-10,65.81,68.87,65.81,67.64,67.64,1421500,0.0,0.0
2016-02-11,66.5,67.42,65.38,65.93,65.93,1024100,0.0,0.0
2016-02-12,66.34,66.92,65.79,66.52,66.52,587900,0.0,0.0
2016-02-16,67.26,68.82,67.11,68.42,68.42,878400,0.0,0.0
2016-02-17,68.71,69.25,68.32,69.2,69.2,782500,0.0,0.0
2016-02-18,69.02,69.59,68.55,68.6,68.6,708400,0.0,0.0
2016-02-19,68.58,68.97,67.93,68.21,68.21,1964500,0.0,0.0
2016-02-22,68.65,69.27,68.44,69.05,69.05,902200,0.0,0.0
2016-02-23,68.67,69.14,67.66,67.88,67.88,844600,0.0,0.0
2016-02-24,67.55,68.12,66.76,68.04,68.04,680400,0.0,0.0
2016-02-25,68.32,69.34,67.99,69.32,69.32,639900,0.0,0.0
2016-02-26,69.5,69.65,68.85,69.24,69.24,599300,0.0,0.0
2016-02-29,69.1,69.71,68.59,68.59,68.59,792400,0.0,0.0
2016-03-01,68.89,69.9,68.52,69.81,69.81,804500,0.0,0.0
2016-03-02,69.33,69.6,68.75,69.2,69.2,946400,0.0,0.0
2016-03-03,69.06,69.41,68.54,69.34,69.34,609900,0.0,0.0
2016-03-04,69.32,69.96,69.17,69.46,69.46,384100,0.0,0.0
