Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,69.63,69.87,69.02,69.17,60.47,1267400,0.0,0.0
2015-04-28,69.06,69.27,68.47,69.15,60.45,1060800,0.0,0.0
2015-04-29,69.05,69.11,68.35,68.91,60.24,1576400,0.0,0.0
2015-04-30,68.74,69.17,67.98,68.2,59.62,2794200,0.0,0.0
2015-05-01,68.47,68.72,65.26,67.84,59.31,4536400,0.0,0.0
2015-05-04,68.12,68.25,66.87,67.1,58.66,2842000,0.0,0.0
2015-05-05,67.12,67.88,67.04,67.33,58.86,2106600,0.0,0.0
2015-05-06,67.28,67.56,66.31,66.64,58.26,2046600,0.0,0.0
2015-05-07,66.47,67.03,66.47,66.83,58.42,2101200,0.0,0.0
2015-05-08,67.43,68.1,67.41,67.7,59.19,1533400,0.0,0.0
2015-05-11,67.74,68.03,67.46,67.62,59.11,1908800,0.0,0.0
2015-05-12,67.14,67.36,66.54,67.15,58.7,1416600,0.0,0.0
2015-05-13,67.05,67.41,65.71,66.15,57.83,2690200,0.0,0.0
2015-05-14,66.55,66.79,65.87,66.46,58.1,2399000,0.0,0.0
2015-05-15,66.72,67.14,66.38,67.1,58.66,2669800,0.0,0.0
2015-05-18,67.19,67.7,67.17,67.58,59.08,1196700,0.0,0.0
2015-05-19,67.73,67.8,67.14,67.28,58.82,1429500,0.0,0.0
2015-05-20,67.5,67.51,67.0,67.03,58.6,1704600,0.0,0.0
2015-05-21,66.86,67.24,66.61,67.12,58.68,1478700,0.0,0.0
2015-05-22,67.18,67.34,66.75,67.19,58.74,1287000,0.0,0.0
2015-05-26,66.6,66.95,65.34,65.49,57.25,2671200,0.0,0.0
2015-05-27,65.21,65.44,64.44,65.37,57.15,3004000,0.0,0.0
2015-05-28,65.39,67.59,65.31,66.93,58.51,3428900,0.0,0.0
2015-05-29,66.92,66.92,66.16,66.32,57.98,2612400,0.0,0.0
2015-06-01,66.53,66.56,65.87,66.11,57.8,1355500,0.0,0.0
2015-06-02,66.38,66.83,65.93,66.49,58.13,1546600,0.0,0.0
2015-06-03,66.52,67.12,66.19,66.99,58.56,1350800,0.0,0.0
2015-06-04,66.51,67.04,66.33,66.41,58.06,1481400,0.0,0.0
2015-06-05,66.04,66.46,65.72,66.12,58.08,1440600,0.32,0.0
2015-06-08,65.91,66.07,65.48,65.49,57.53,1201500,0.0,0.0
2015-06-09,65.64,65.91,64.97,65.38,57.43,1290800,0.0,0.0
2015-06-10,65.74,66.44,65.56,65.94,57.93,1903900,0.0,0.0
2015-06-11,65.96,66.25,65.47,65.53,57.56,1512100,0.0,0.0
2015-06-12,65.25,65.5,64.94,65.15,57.23,1672300,0.0,0.0
2015-06-15,64.14,65.14,64.14,64.83,56.95,1931000,0.0,0.0
2015-06-16,64.92,65.44,64.65,65.35,57.41,1629400,0.0,0.0
2015-06-17,65.44,65.6,64.79,65.42,57.47,1832500,0.0,0.0
2015-06-18,65.51,66.45,65.49,66.18,58.13,1612900,0.0,0.0
2015-06-19,66.01,66.39,65.99,65.99,57.97,2396700,0.0,0.0
2015-06-22,66.42,66.42,65.86,66.04,58.01,1364500,0.0,0.0
2015-06-23,66.46,67.54,66.38,67.11,58.95,2463500,0.0,0.0
2015-06-24,66.97,67.11,66.13,66.16,58.12,1765200,0.0,0.0
2015-06-25,65.57,66.54,65.57,66.39,58.32,2230500,0.0,0.0
2015-06-26,66.62,67.16,66.61,66.65,58.55,5544300,0.0,0.0
2015-06-29,65.89,66.24,64.77,64.82,56.94,2041300,0.0,0.0
2015-06-30,65.52,66.25,65.39,65.67,57.69,3053100,0.0,0.0
2015-07-01,65.99,67.5,65.84,67.41,59.22,2701500,0.0,0.0
2015-07-02,67.6,68.06,67.32,67.85,59.61,2531800,0.0,0.0
2015-07-06,67.3,67.7,66.45,66.84,58.71,2196600,0.0,0.0
2015-07-07,66.94,67.53,66.13,67.42,59.23,1404000,0.0,0.0
2015-07-08,66.94,67.23,65.78,65.9,57.89,1574200,0.0,0.0
2015-07-09,66.53,66.86,65.79,65.82,57.82,1278700,0.0,0.0
2015-07-10,66.66,67.34,66.21,67.1,58.94,1482700,0.0,0.0
2015-07-13,67.59,68.79,67.59,68.66,60.32,2136600,0.0,0.0
2015-07-14,68.72,68.78,68.22,68.5,60.18,1191600,0.0,0.0
2015-07-15,68.45,68.96,68.09,68.46,60.14,1755800,0.0,0.0
2015-07-16,68.9,68.9,68.06,68.78,60.42,1485600,0.0,0.0
2015-07-17,68.46,68.52,67.82,68.26,59.96,1580700,0.0,0.0
2015-07-20,68.32,68.77,68.23,68.62,60.28,1345900,0.0,0.0
2015-07-21,68.77,69.83,68.4,69.76,61.28,2498100,0.0,0.0
2015-07-22,69.7,70.02,69.48,69.84,61.35,1582800,0.0,0.0
2015-07-23,70.53,71.17,70.1,70.31,61.77,3137900,0.0,0.0
2015-07-24,71.53,72.14,69.14,70.15,61.62,3053700,0.0,0.0
2015-07-27,70.58,70.83,68.9,69.6,61.14,2278900,0.0,0.0
2015-07-28,69.94,71.31,69.26,71.23,62.58,2343900,0.0,0.0
2015-07-29,71.19,71.69,70.58,71.56,62.87,1891100,0.0,0.0
2015-07-30,71.48,72.25,71.24,72.18,63.41,1821400,0.0,0.0
2015-07-31,72.27,72.88,71.79,72.59,63.77,2840700,0.0,0.0
2015-08-03,71.98,72.33,70.34,71.47,62.78,2067600,0.0,0.0
2015-08-04,71.81,72.28,71.44,71.78,63.06,1529000,0.0,0.0
2015-08-05,72.54,72.84,71.99,72.24,63.46,1624400,0.0,0.0
2015-08-06,72.19,72.42,71.06,71.61,62.91,1373100,0.0,0.0
2015-08-07,71.44,71.75,70.79,71.37,62.69,1232900,0.0,0.0
2015-08-10,71.99,72.48,71.54,72.07,63.31,2360600,0.0,0.0
2015-08-11,71.24,72.25,71.1,71.63,62.92,2014700,0.0,0.0
2015-08-12,71.05,71.37,69.85,70.85,62.24,1746500,0.0,0.0
2015-08-13,70.84,71.69,70.75,71.02,62.39,1460300,0.0,0.0
2015-08-14,70.9,71.55,70.76,71.51,62.82,1144800,0.0,0.0
2015-08-17,71.05,71.79,70.69,71.7,62.99,1777800,0.0,0.0
2015-08-18,71.91,72.17,71.52,71.74,63.02,1154600,0.0,0.0
2015-08-19,71.24,71.86,70.82,71.17,62.52,1101800,0.0,0.0
2015-08-20,70.33,70.61,69.81,69.84,61.35,1547900,0.0,0.0
2015-08-21,69.2,69.36,67.77,67.92,59.66,3212300,0.0,0.0
2015-08-24,65.25,67.54,63.26,65.38,57.43,3286500,0.0,0.0
2015-08-25,66.85,67.49,64.99,65.09,57.18,2563400,0.0,0.0
2015-08-26,66.29,67.86,65.58,67.72,59.49,2521800,0.0,0.0
