Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,60.31,60.44,59.2,59.4,49.27,8056400,0.0,0
2015-04-28,59.82,60.65,58.12,58.7,48.68,7905400,0.0,0
2015-04-29,58.79,59.16,57.55,57.92,48.04,6002600,0.0,0
2015-04-30,58.05,58.12,56.09,56.9,47.19,8067500,0.0,0
2015-05-01,57.05,59.14,56.96,58.9,48.85,6905700,0.0,0
2015-05-04,59.01,59.11,57.61,58.11,48.2,6709600,0.0,0
2015-05-05,58.3,58.3,57.45,58.02,48.12,4179100,0.0,0
2015-05-06,58.4,58.58,57.04,57.52,47.71,4727000,0.0,0
2015-05-07,57.43,58.08,57.12,57.79,47.93,5762500,0.0,0
2015-05-08,58.16,59.22,57.47,59.09,49.01,5542700,0.0,0
2015-05-11,58.67,58.8,57.4,58.27,48.66,5689900,0.4,0
2015-05-12,58.26,58.27,57.29,57.53,48.04,4417500,0.0,0
2015-05-13,58.15,58.67,57.73,58.28,48.67,4495200,0.0,0
2015-05-14,58.57,59.92,58.48,59.79,49.93,5104600,0.0,0
2015-05-15,59.68,60.14,59.02,59.62,49.78,4768500,0.0,0
2015-05-18,59.56,60.56,59.26,60.41,50.44,3805600,0.0,0
2015-05-19,60.2,60.72,59.77,59.88,50.0,4911600,0.0,0
2015-05-20,59.93,60.57,59.63,60.23,50.29,4324100,0.0,0
2015-05-21,60.2,60.74,59.85,60.61,50.61,3711500,0.0,0
2015-05-22,60.2,61.25,60.2,60.99,50.93,3562500,0.0,0
2015-05-26,60.5,60.6,59.11,59.53,49.71,7054400,0.0,0
2015-05-27,59.84,60.0,58.89,59.15,49.39,6799900,0.0,0
2015-05-28,59.05,59.79,58.6,58.92,49.2,4678700,0.0,0
2015-05-29,58.8,60.48,58.18,59.24,49.47,7824500,0.0,0
2015-06-01,59.21,59.94,58.7,58.78,49.08,5574200,0.0,0
2015-06-02,58.73,58.85,57.84,58.51,48.86,5107900,0.0,0
2015-06-03,58.15,58.28,57.43,57.76,48.23,5002600,0.0,0
2015-06-04,57.35,57.82,56.76,56.88,47.5,5025600,0.0,0
2015-06-05,56.87,58.24,56.86,57.74,48.21,5390400,0.0,0
2015-06-08,57.63,58.09,57.3,57.62,48.11,3787200,0.0,0
2015-06-09,57.84,58.14,57.15,57.15,47.72,4248300,0.0,0
2015-06-10,57.56,58.68,57.43,58.21,48.61,5756900,0.0,0
2015-06-11,58.45,60.19,58.26,59.65,49.81,6697400,0.0,0
2015-06-12,59.3,59.36,58.52,58.85,49.14,4692500,0.0,0
2015-06-15,58.37,58.78,57.95,58.47,48.82,4832400,0.0,0
2015-06-16,58.36,58.95,58.27,58.92,49.2,2900400,0.0,0
2015-06-17,59.52,60.61,59.07,59.61,49.78,6264500,0.0,0
2015-06-18,59.68,60.41,59.62,60.27,50.33,5864400,0.0,0
2015-06-19,60.0,60.79,59.97,60.33,50.38,6110000,0.0,0
2015-06-22,60.65,60.7,59.61,59.92,50.04,5859300,0.0,0
2015-06-23,60.35,61.34,59.9,61.15,51.06,7956500,0.0,0
2015-06-24,60.9,61.36,60.25,60.61,50.61,6005300,0.0,0
2015-06-25,60.57,60.81,60.03,60.31,50.36,3915100,0.0,0
2015-06-26,60.3,61.43,60.13,60.9,50.85,7884600,0.0,0
2015-06-29,60.28,61.18,60.12,60.56,50.57,5457400,0.0,0
2015-06-30,61.12,63.17,61.06,62.6,52.27,10430300,0.0,0
2015-07-01,63.09,64.97,62.8,64.47,53.83,9035100,0.0,0
2015-07-02,64.68,65.68,64.28,64.72,54.04,6007700,0.0,0
2015-07-06,64.14,65.7,63.6,65.34,54.56,7291300,0.0,0
2015-07-07,65.37,66.14,63.85,64.65,53.99,11268900,0.0,0
2015-07-08,64.06,65.48,63.36,63.98,53.43,7221100,0.0,0
2015-07-09,64.55,64.8,63.85,64.11,53.53,5979400,0.0,0
2015-07-10,64.5,66.08,64.47,65.85,54.99,6043500,0.0,0
2015-07-13,66.61,67.85,65.73,66.87,55.84,9443800,0.0,0
2015-07-14,67.87,68.27,66.11,66.31,55.37,8369600,0.0,0
2015-07-15,66.01,66.45,64.77,65.19,54.44,6265400,0.0,0
2015-07-16,65.7,68.15,65.66,67.46,56.33,7226400,0.0,0
2015-07-17,67.26,67.99,66.74,67.94,56.73,5326200,0.0,0
2015-07-20,67.72,68.13,66.51,66.57,55.59,5613200,0.0,0
2015-07-21,66.55,67.33,66.02,66.32,55.38,4126700,0.0,0
2015-07-22,66.3,68.16,65.79,66.67,55.67,6134500,0.0,0
2015-07-23,66.78,66.98,65.45,65.72,54.88,5477600,0.0,0
2015-07-24,66.13,66.48,65.15,65.7,54.86,5714600,0.0,0
2015-07-27,65.23,65.23,63.76,64.38,53.76,5845200,0.0,0
2015-07-28,64.42,65.24,63.51,65.07,54.34,4990500,0.0,0
2015-07-29,64.97,66.16,63.8,66.04,55.15,7179000,0.0,0
2015-07-30,64.85,64.85,62.79,64.23,53.63,9201500,0.0,0
2015-07-31,64.16,66.24,63.97,65.6,55.12,7003300,0.4,0
2015-08-03,65.55,66.33,64.5,64.66,54.33,5330700,0.0,0
2015-08-04,64.74,65.12,63.67,64.43,54.14,5994600,0.0,0
2015-08-05,65.37,66.0,64.14,64.82,54.47,7818700,0.0,0
2015-08-06,64.51,65.93,64.0,65.68,55.19,5103000,0.0,0
2015-08-07,65.12,65.7,64.45,65.42,54.97,3951100,0.0,0
2015-08-10,65.97,69.04,65.77,69.0,57.98,8464200,0.0,0
2015-08-11,68.12,70.63,67.6,70.43,59.18,7584800,0.0,0
2015-08-12,70.01,70.78,68.56,70.19,58.98,8399900,0.0,0
2015-08-13,70.29,71.5,69.17,69.68,58.55,8978500,0.0,0
2015-08-14,69.39,69.69,67.78,68.12,57.24,6132400,0.0,0
2015-08-17,67.7,69.86,67.57,69.72,58.58,4713700,0.0,0
