Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,50.0,50.33,50.0,50.08,39.99,16562300,0.0,0
2015-04-28,50.34,50.64,50.07,50.55,40.37,16342000,0.0,0
2015-04-29,50.45,50.61,50.14,50.47,40.3,13683200,0.0,0
2015-04-30,50.47,50.65,50.23,50.44,40.28,15604900,0.0,0
2015-05-01,50.75,50.77,50.05,50.41,40.25,13872800,0.0,0
2015-05-04,50.42,50.86,50.29,50.52,40.34,12594800,0.0,0
2015-05-05,50.69,50.69,50.06,50.09,40.0,12646200,0.0,0
2015-05-06,50.07,50.17,49.36,49.64,39.64,15513300,0.0,0
2015-05-07,49.6,49.85,49.32,49.73,39.71,10832400,0.0,0
2015-05-08,50.19,50.37,49.95,50.14,40.04,13264100,0.0,0
2015-05-11,50.14,50.28,49.79,49.8,39.77,9900500,0.0,0
2015-05-12,49.4,49.81,48.97,49.62,39.62,20448900,0.0,0
2015-05-13,49.64,49.98,49.5,49.73,39.71,16200400,0.0,0
2015-05-14,49.9,50.15,49.82,49.97,39.9,12094600,0.0,0
2015-05-15,50.01,50.09,49.65,49.79,39.76,14083300,0.0,0
2015-05-18,49.78,49.8,49.55,49.6,39.61,15040800,0.0,0
2015-05-19,49.53,49.58,49.32,49.55,39.57,15675100,0.0,0
2015-05-20,49.57,49.96,49.56,49.69,39.68,13583600,0.0,0
2015-05-21,49.68,50.1,49.67,49.9,39.85,15667600,0.0,0
2015-05-22,49.76,49.89,49.58,49.61,39.62,12324400,0.0,0
2015-05-26,49.58,49.75,49.21,49.42,39.46,17460100,0.0,0
2015-05-27,49.45,49.68,49.27,49.57,39.58,14517400,0.0,0
2015-05-28,49.47,49.65,49.38,49.54,39.56,8432800,0.0,0
2015-05-29,49.5,49.64,49.37,49.44,39.48,14778400,0.0,0
2015-06-01,49.44,49.54,49.14,49.22,39.3,11968000,0.0,0
2015-06-02,49.22,49.31,48.98,49.14,39.24,11094100,0.0,0
2015-06-03,49.15,49.44,48.87,49.08,39.19,17697800,0.0,0
2015-06-04,47.88,48.54,47.88,48.1,38.41,38418900,0.0,0
2015-06-05,47.96,47.97,47.11,47.23,37.71,23574500,0.0,0
2015-06-08,47.25,47.78,47.05,47.44,37.88,16598600,0.0,0
2015-06-09,47.47,47.62,47.17,47.34,37.8,12295100,0.0,0
2015-06-10,47.56,47.68,47.36,47.47,37.91,13007300,0.0,0
2015-06-11,47.61,47.88,47.52,47.76,38.14,10029700,0.0,0
2015-06-12,47.75,47.75,47.21,47.25,37.73,10619100,0.0,0
2015-06-15,47.14,47.22,46.93,47.0,37.53,10875800,0.0,0
2015-06-16,46.99,47.49,46.91,47.42,37.87,10862000,0.0,0
2015-06-17,47.5,47.51,46.9,47.27,37.75,18216400,0.0,0
2015-06-18,47.42,47.92,47.39,47.77,38.15,14527300,0.0,0
2015-06-19,47.65,47.71,47.37,47.46,37.9,26861700,0.0,0
2015-06-22,47.63,47.78,47.41,47.53,37.95,9191900,0.0,0
2015-06-23,47.86,48.11,47.71,47.77,38.15,14411400,0.0,0
2015-06-24,47.6,47.79,47.29,47.29,37.76,17742300,0.0,0
2015-06-25,47.63,47.92,47.43,47.44,37.88,14445400,0.0,0
2015-06-26,47.59,48.49,47.38,47.62,38.03,18492800,0.0,0
2015-06-29,47.28,47.72,46.75,46.77,37.35,15032400,0.0,0
2015-06-30,47.14,47.25,46.6,46.61,37.22,15044100,0.0,0
2015-07-01,46.64,47.11,46.57,47.0,37.53,12545900,0.0,0
2015-07-02,47.23,47.38,47.11,47.2,37.69,9872400,0.0,0
2015-07-06,47.06,47.14,46.8,47.04,37.56,12051700,0.0,0
2015-07-07,47.22,47.45,46.83,47.25,37.73,18025800,0.0,0
2015-07-08,46.58,46.83,46.3,46.58,37.63,17859600,0.55,0
2015-07-09,47.01,47.16,46.23,46.26,37.38,16304500,0.0,0
2015-07-10,46.84,47.33,46.72,47.0,37.97,14727100,0.0,0
2015-07-13,47.38,47.42,46.95,47.2,38.13,10184400,0.0,0
2015-07-14,47.19,47.44,47.05,47.41,38.3,9973600,0.0,0
2015-07-15,47.48,47.5,47.04,47.33,38.24,9624000,0.0,0
2015-07-16,47.48,47.86,47.45,47.83,38.64,11011400,0.0,0
2015-07-17,47.78,47.95,47.5,47.59,38.45,10160400,0.0,0
2015-07-20,47.63,48.26,47.42,48.1,38.86,17246700,0.0,0
2015-07-21,46.98,47.35,46.57,46.97,37.95,31961600,0.0,0
2015-07-22,46.79,46.84,46.11,46.45,37.53,21026600,0.0,0
