Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,97.12,97.63,95.94,96.24,93.58,751100,0.0,0
2015-04-28,96.27,97.09,95.36,96.86,94.18,583800,0.0,0
2015-04-29,96.59,96.67,95.28,96.0,93.35,455500,0.0,0
2015-04-30,95.76,95.88,93.8,94.05,91.45,715400,0.0,0
2015-05-01,95.9,101.49,95.65,99.82,97.06,1624000,0.0,0
2015-05-04,100.27,101.55,99.6,101.25,98.45,966300,0.0,0
2015-05-05,101.05,101.97,98.82,99.16,96.42,533500,0.0,0
2015-05-06,99.44,99.88,98.18,99.09,96.35,463800,0.0,0
2015-05-07,98.87,99.8,98.43,99.26,96.52,292700,0.0,0
2015-05-08,100.34,100.76,99.48,99.62,96.87,356300,0.0,0
2015-05-11,99.31,99.95,98.99,99.1,96.36,341000,0.0,0
2015-05-12,98.85,99.49,97.94,99.22,96.48,412700,0.0,0
2015-05-13,99.88,100.35,98.73,99.18,96.5,415800,0.06,0
2015-05-14,100.11,100.88,99.74,100.53,97.81,852400,0.0,0
2015-05-15,100.5,100.73,99.56,100.64,97.92,551900,0.0,0
2015-05-18,100.25,102.59,100.25,102.14,99.38,553400,0.0,0
2015-05-19,102.25,102.7,101.32,102.0,99.24,483300,0.0,0
2015-05-20,102.12,102.4,101.08,101.32,98.58,482000,0.0,0
2015-05-21,101.04,102.35,101.0,101.41,98.67,349600,0.0,0
2015-05-22,101.1,102.07,101.05,101.53,98.78,403900,0.0,0
2015-05-26,100.96,101.37,99.66,100.47,97.75,459800,0.0,0
2015-05-27,100.77,101.48,100.41,101.41,98.67,407000,0.0,0
2015-05-28,101.26,101.71,99.91,100.82,98.09,423600,0.0,0
2015-05-29,100.56,100.65,99.33,100.3,97.59,669200,0.0,0
2015-06-01,100.5,100.5,99.3,99.86,97.16,436100,0.0,0
2015-06-02,99.52,100.43,99.08,99.75,97.05,310400,0.0,0
2015-06-03,100.01,100.6,99.74,99.87,97.17,334000,0.0,0
2015-06-04,98.87,99.61,98.03,98.82,96.15,375400,0.0,0
2015-06-05,98.54,99.86,98.27,99.77,97.07,234500,0.0,0
2015-06-08,99.67,99.77,99.07,99.19,96.51,208700,0.0,0
2015-06-09,99.09,99.62,98.44,98.89,96.21,245600,0.0,0
2015-06-10,99.5,100.7,99.16,100.43,97.71,385100,0.0,0
2015-06-11,100.53,101.53,100.53,101.19,98.45,385800,0.0,0
2015-06-12,100.81,100.83,99.5,99.59,96.9,317700,0.0,0
2015-06-15,98.71,98.99,97.85,98.59,95.92,401800,0.0,0
2015-06-16,98.4,99.09,97.75,98.38,95.72,554600,0.0,0
2015-06-17,98.67,99.49,98.51,99.04,96.36,608900,0.0,0
2015-06-18,99.38,99.75,98.81,99.38,96.69,407800,0.0,0
2015-06-19,99.54,99.74,98.68,98.73,96.06,490500,0.0,0
2015-06-22,99.54,99.73,98.32,98.66,95.99,518500,0.0,0
2015-06-23,98.91,99.75,98.79,99.36,96.67,417100,0.0,0
2015-06-24,99.26,99.38,97.66,97.83,95.18,354400,0.0,0
2015-06-25,97.95,98.13,95.6,95.76,93.17,512600,0.0,0
2015-06-26,95.94,96.01,95.43,95.52,92.94,453900,0.0,0
2015-06-29,94.81,95.16,93.49,93.55,91.02,536100,0.0,0
2015-06-30,95.05,95.06,94.01,94.24,91.69,797400,0.0,0
2015-07-01,95.22,95.54,93.77,94.11,91.56,557900,0.0,0
2015-07-02,94.45,94.57,93.73,94.42,91.87,397000,0.0,0
2015-07-06,93.62,95.01,93.16,93.94,91.4,325900,0.0,0
2015-07-07,93.86,94.35,92.55,94.27,91.72,322500,0.0,0
2015-07-08,93.34,93.82,92.12,92.76,90.25,426100,0.0,0
2015-07-09,93.95,94.19,93.17,93.2,90.68,349400,0.0,0
2015-07-10,94.24,94.75,93.51,94.18,91.63,339500,0.0,0
2015-07-13,94.87,96.26,94.29,95.48,92.9,413100,0.0,0
2015-07-14,95.44,96.18,95.06,95.81,93.22,294300,0.0,0
2015-07-15,95.68,95.98,94.62,94.79,92.23,347800,0.0,0
