Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,99.56,99.93,98.24,98.9,82.31,1476000,0.0,0
2015-04-28,98.46,98.61,96.8,97.9,81.48,2479100,0.0,0
2015-04-29,94.43,96.95,93.84,95.83,79.75,4589600,0.0,0
2015-04-30,95.62,97.96,95.62,97.74,81.34,3637200,0.0,0
2015-05-01,98.11,99.91,97.84,99.33,82.67,2464000,0.0,0
2015-05-04,99.38,99.93,98.49,99.51,82.82,1953300,0.0,0
2015-05-05,98.87,99.24,96.43,96.79,80.55,2161800,0.0,0
2015-05-06,96.92,97.37,94.05,94.87,78.95,2469300,0.0,0
2015-05-07,94.45,95.7,94.05,94.84,78.93,1539100,0.0,0
2015-05-08,95.9,96.84,95.76,96.53,80.34,1165000,0.0,0
2015-05-11,96.74,97.91,95.85,96.05,79.94,1184100,0.0,0
2015-05-12,95.48,96.37,94.89,95.96,79.86,1537000,0.0,0
2015-05-13,96.4,97.21,95.8,95.96,79.86,1406800,0.0,0
2015-05-14,96.95,98.45,96.33,98.41,81.9,1297200,0.0,0
2015-05-15,98.62,98.65,97.32,97.67,81.28,2179000,0.0,0
2015-05-18,97.21,98.4,97.17,97.87,81.45,1102000,0.0,0
2015-05-19,97.78,97.84,94.79,95.59,79.55,2700400,0.0,0
2015-05-20,95.78,96.11,94.71,94.83,78.92,1380800,0.0,0
2015-05-21,95.1,95.67,94.38,95.25,79.27,978000,0.0,0
2015-05-22,95.06,95.79,95.0,95.23,79.25,886200,0.0,0
2015-05-26,95.24,96.0,92.51,93.2,77.56,1977500,0.0,0
2015-05-27,93.7,94.66,93.14,94.37,78.54,1344700,0.0,0
2015-05-28,97.57,99.76,97.48,99.23,82.58,3934200,0.0,0
2015-05-29,98.87,98.94,96.63,97.36,81.03,2975800,0.0,0
2015-06-01,97.6,97.85,96.39,97.13,80.84,1431500,0.0,0
2015-06-02,96.99,97.3,96.52,96.95,80.69,1027000,0.0,0
2015-06-03,97.69,98.19,96.85,98.14,81.68,1424400,0.0,0
2015-06-04,97.3,97.94,94.61,95.4,79.4,1847200,0.0,0
2015-06-05,95.4,95.58,94.27,94.87,78.95,1050600,0.0,0
2015-06-08,94.65,95.29,92.38,92.6,77.07,1755600,0.0,0
2015-06-09,92.55,92.85,91.41,92.04,76.6,1567300,0.0,0
2015-06-10,93.02,94.09,92.11,93.6,77.9,1825900,0.0,0
2015-06-11,93.55,94.86,93.55,94.46,78.61,1295200,0.0,0
2015-06-12,93.53,93.89,92.13,93.01,77.41,1508000,0.0,0
2015-06-15,92.23,92.38,91.33,91.75,76.36,1297000,0.0,0
2015-06-16,91.48,92.25,90.99,91.05,75.78,1412300,0.0,0
2015-06-17,91.47,93.38,91.26,92.02,76.58,1774600,0.0,0
2015-06-18,92.11,92.82,91.1,92.42,76.92,1864000,0.0,0
2015-06-19,92.34,92.49,90.9,91.02,75.75,2590500,0.0,0
2015-06-22,91.71,91.91,90.68,91.6,76.23,1113100,0.0,0
2015-06-23,91.09,91.33,88.53,88.62,73.75,2944300,0.0,0
2015-06-24,88.54,88.81,87.44,87.73,73.01,1932400,0.0,0
2015-06-25,88.15,88.15,85.55,85.95,71.53,2628800,0.0,0
2015-06-26,84.95,85.84,83.87,84.45,70.28,2916000,0.0,0
2015-06-29,83.31,83.48,81.44,81.96,68.21,3374500,0.0,0
2015-06-30,81.8,82.38,78.33,78.42,65.66,4307600,0.5,0
2015-07-01,79.15,79.45,78.27,79.44,66.95,3700700,0.5,0
2015-07-02,80.0,81.95,79.77,80.87,68.15,3300700,0.0,0
2015-07-06,79.82,80.0,78.35,79.82,67.27,3386900,0.0,0
2015-07-07,79.84,80.13,77.26,79.82,67.27,3355300,0.0,0
2015-07-08,79.31,79.73,78.19,78.31,65.99,2328600,0.0,0
2015-07-09,79.73,79.74,77.34,77.35,65.18,2106600,0.0,0
2015-07-10,78.43,78.68,76.55,77.1,64.97,1960600,0.0,0
2015-07-13,76.4,78.0,75.92,77.71,65.49,3047100,0.0,0
2015-07-14,77.95,78.73,77.34,78.36,66.04,3203000,0.0,0
2015-07-15,79.04,79.39,77.8,78.69,66.31,3341300,0.0,0
2015-07-16,78.96,79.6,78.25,78.89,66.48,2698700,0.0,0
2015-07-17,78.34,79.17,77.93,78.93,66.52,2242700,0.0,0
2015-07-20,78.87,78.97,77.65,78.38,66.05,1640800,0.0,0
2015-07-21,77.75,79.33,77.75,78.69,66.31,1695700,0.0,0
2015-07-22,78.69,78.76,77.11,78.52,66.17,2400100,0.0,0
2015-07-23,77.08,78.89,76.52,77.9,65.65,3644600,0.0,0
2015-07-24,78.32,78.38,76.83,77.26,65.11,1686200,0.0,0
2015-07-27,76.77,77.14,76.0,76.49,64.46,1956400,0.0,0
2015-07-28,76.82,78.25,76.07,77.74,65.51,3055800,0.0,0
2015-07-29,77.18,79.2,77.01,78.75,66.36,4279300,0.0,0
2015-07-30,85.44,88.46,85.02,86.44,72.84,7635100,0.0,0
2015-07-31,86.4,86.42,85.14,86.06,72.52,3931000,0.0,0
2015-08-03,86.2,86.8,85.01,85.85,72.35,2397100,0.0,0
2015-08-04,84.96,86.08,83.74,84.39,71.12,2759000,0.0,0
2015-08-05,84.2,85.67,83.86,84.69,71.37,2438900,0.0,0
2015-08-06,85.11,85.52,83.27,84.19,70.95,2005400,0.0,0
2015-08-07,84.49,84.81,83.32,83.51,70.38,1743500,0.0,0
2015-08-10,84.34,85.1,83.46,84.96,71.6,1630800,0.0,0
2015-08-11,84.1,84.86,82.31,83.19,70.11,2503600,0.0,0
2015-08-12,82.44,83.43,80.58,83.16,70.08,2922800,0.0,0
2015-08-13,82.61,83.23,81.55,81.57,68.74,1854800,0.0,0
2015-08-14,81.58,82.63,81.41,82.5,69.52,1230000,0.0,0
2015-08-17,82.02,83.86,81.42,83.6,70.45,1619000,0.0,0
2015-08-18,82.77,83.81,81.67,83.31,70.21,1695100,0.0,0
2015-08-19,82.02,83.18,81.65,81.71,68.86,2469000,0.0,0
2015-08-20,80.53,81.07,79.3,79.79,67.24,1982700,0.0,0
