Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,51.15,51.2,49.92,50.21,41.69,1466900,0.0,0
2015-04-28,49.89,50.49,49.69,50.34,41.8,1129600,0.0,0
2015-04-29,49.96,50.07,49.38,49.9,41.44,1101600,0.0,0
2015-04-30,49.77,49.83,48.59,49.12,40.79,2045500,0.0,0
2015-05-01,49.04,49.66,48.93,49.6,41.19,1700800,0.0,0
2015-05-04,49.56,50.31,49.47,49.85,41.39,1491400,0.0,0
2015-05-05,49.54,50.25,47.84,47.97,39.83,2771600,0.0,0
2015-05-06,47.91,48.37,47.08,47.65,39.57,1848300,0.0,0
2015-05-07,47.75,48.28,47.74,47.8,39.69,1233800,0.0,0
2015-05-08,48.63,48.83,47.96,48.09,39.93,1367200,0.0,0
2015-05-11,48.0,48.66,47.82,47.89,39.77,1044100,0.0,0
2015-05-12,47.21,47.54,46.84,47.31,39.64,1455300,0.4225,0
2015-05-13,47.49,47.85,46.64,46.84,39.24,1019300,0.0,0
2015-05-14,47.21,47.57,47.07,47.55,39.84,804300,0.0,0
2015-05-15,47.59,48.15,47.57,48.0,40.21,984600,0.0,0
2015-05-18,47.84,48.36,47.82,48.26,40.43,1126100,0.0,0
2015-05-19,47.98,48.47,47.8,48.23,40.41,862100,0.0,0
2015-05-20,48.19,49.13,48.11,48.73,40.82,1488600,0.0,0
2015-05-21,48.7,48.87,48.36,48.7,40.8,952400,0.0,0
2015-05-22,48.59,48.59,48.06,48.34,40.5,894700,0.0,0
2015-05-26,48.29,48.43,47.84,48.24,40.41,1497900,0.0,0
2015-05-27,47.9,48.54,47.9,48.3,40.46,1579100,0.0,0
2015-05-28,48.2,48.46,48.03,48.33,40.49,1484200,0.0,0
2015-05-29,48.42,48.56,48.04,48.28,40.45,2377900,0.0,0
2015-06-01,48.34,48.7,48.06,48.35,40.51,1481500,0.0,0
2015-06-02,48.03,48.03,47.04,47.45,39.75,1625500,0.0,0
2015-06-03,47.32,47.33,46.47,46.72,39.14,1321600,0.0,0
2015-06-04,46.55,46.84,46.09,46.28,38.77,2502300,0.0,0
2015-06-05,45.67,45.82,45.26,45.51,38.13,2268700,0.0,0
2015-06-08,45.45,45.53,45.1,45.21,37.88,1885900,0.0,0
2015-06-09,45.19,45.58,45.15,45.2,37.87,1036800,0.0,0
2015-06-10,45.43,45.73,45.11,45.28,37.93,1397600,0.0,0
2015-06-11,45.6,45.95,45.45,45.87,38.43,1265800,0.0,0
2015-06-12,45.65,45.92,45.51,45.57,38.18,1311300,0.0,0
2015-06-15,45.86,46.06,45.42,45.53,38.14,1914700,0.0,0
2015-06-16,45.51,46.08,45.36,46.05,38.58,1376000,0.0,0
2015-06-17,46.06,46.61,45.86,46.35,38.83,1759100,0.0,0
2015-06-18,46.9,47.31,46.7,47.0,39.38,2082100,0.0,0
2015-06-19,47.06,47.28,46.54,46.58,39.02,2608400,0.0,0
2015-06-22,46.02,46.75,46.02,46.28,38.77,1422900,0.0,0
2015-06-23,46.06,46.2,45.52,45.89,38.45,1643300,0.0,0
2015-06-24,45.85,46.05,45.65,45.78,38.53,2174800,0.206658,0
2015-06-25,45.88,45.88,45.71,45.79,38.54,2579800,0.0,0
