Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,76.02,76.58,75.45,75.72,59.11,1513600,0.0,0
2015-04-28,75.46,75.97,75.01,75.62,59.03,1181800,0.0,0
2015-04-29,74.89,75.61,73.63,73.96,57.74,2017300,0.0,0
2015-04-30,73.68,73.94,71.53,72.02,56.22,3481400,0.0,0
2015-05-01,72.25,73.0,72.09,72.26,56.41,1969400,0.0,0
2015-05-04,72.59,73.0,72.0,72.13,56.31,1503000,0.0,0
2015-05-05,72.02,72.25,70.99,71.23,55.61,1895100,0.0,0
2015-05-06,71.15,71.38,70.49,70.79,55.26,2268700,0.0,0
2015-05-07,70.95,71.97,70.81,71.47,55.79,2692500,0.0,0
2015-05-08,71.47,73.16,71.46,72.16,56.99,1923600,0.825,0
2015-05-11,71.95,72.24,70.59,70.74,55.87,2053800,0.0,0
2015-05-12,70.21,71.33,69.77,70.93,56.02,1854600,0.0,0
2015-05-13,71.1,71.65,69.9,70.09,55.36,2686700,0.0,0
2015-05-14,70.35,71.18,70.19,71.15,56.19,1825300,0.0,0
2015-05-15,71.4,72.65,71.32,72.41,57.19,2785500,0.0,0
2015-05-18,72.0,72.23,71.39,71.83,56.73,1935500,0.0,0
2015-05-19,71.54,72.24,71.35,71.57,56.53,1646400,0.0,0
2015-05-20,71.91,72.08,71.37,71.57,56.53,1659200,0.0,0
2015-05-21,71.66,71.67,70.91,71.24,56.26,2095700,0.0,0
2015-05-22,70.99,71.47,70.25,70.86,55.96,1438500,0.0,0
2015-05-26,71.0,71.04,70.2,70.58,55.74,2205900,0.0,0
2015-05-27,70.84,71.33,70.44,71.12,56.17,1348600,0.0,0
2015-05-28,71.19,71.19,70.33,70.83,55.94,1566800,0.0,0
2015-05-29,70.9,71.03,70.0,70.26,55.49,3784800,0.0,0
2015-06-01,70.42,71.47,70.26,71.14,56.19,1932600,0.0,0
2015-06-02,70.89,70.92,70.21,70.53,55.7,2206700,0.0,0
2015-06-03,70.31,70.45,69.22,69.29,54.72,2643800,0.0,0
2015-06-04,69.09,70.19,68.65,69.62,54.98,4032100,0.0,0
2015-06-05,68.63,68.89,67.77,67.81,53.56,2935500,0.0,0
2015-06-08,67.87,68.89,67.61,68.38,54.01,2087500,0.0,0
2015-06-09,68.31,68.54,67.69,67.81,53.56,1444200,0.0,0
2015-06-10,67.77,68.87,67.62,68.31,53.95,1566000,0.0,0
2015-06-11,68.72,68.87,68.3,68.43,54.05,2004100,0.0,0
