Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,196.67,200.18,196.67,197.83,171.95,1975100,0.0,0
2015-04-28,182.54,187.5,179.12,183.7,159.67,4734600,0.0,0
2015-04-29,182.94,183.24,177.24,179.03,155.61,1636800,0.0,0
2015-04-30,179.69,180.59,174.75,175.6,152.63,1691300,0.0,0
2015-05-01,175.87,180.38,175.39,179.31,155.86,1244800,0.0,0
2015-05-04,179.4,181.18,178.77,180.15,156.59,1036900,0.0,0
2015-05-05,180.27,181.58,179.55,179.6,156.11,930000,0.0,0
2015-05-06,179.82,180.75,177.88,178.84,155.45,840500,0.0,0
2015-05-07,179.54,182.82,179.16,182.52,158.65,955900,0.0,0
2015-05-08,184.92,188.48,184.02,185.65,161.37,1214200,0.0,0
2015-05-11,185.8,188.94,185.02,186.98,162.52,1557000,0.0,0
2015-05-12,186.9,187.81,185.09,186.45,162.06,939600,0.0,0
2015-05-13,185.9,188.28,185.17,187.66,163.91,1045900,0.9,0
2015-05-14,189.01,190.24,188.09,189.3,165.34,933600,0.0,0
2015-05-15,189.0,189.39,185.02,187.83,164.05,1225800,0.0,0
2015-05-18,187.64,189.35,186.99,188.71,164.82,659500,0.0,0
2015-05-19,189.75,190.93,187.92,190.03,165.98,1000300,0.0,0
2015-05-20,189.85,190.04,187.86,189.1,165.16,772600,0.0,0
2015-05-21,187.77,192.52,187.61,192.05,167.74,1014500,0.0,0
2015-05-22,192.06,193.02,191.84,192.01,167.7,893900,0.0,0
2015-05-26,191.5,192.95,187.83,188.31,164.47,656200,0.0,0
2015-05-27,188.33,188.84,185.2,187.56,163.82,962700,0.0,0
2015-05-28,187.51,188.39,186.34,187.52,163.78,577700,0.0,0
2015-05-29,187.24,188.35,184.03,184.25,160.93,875800,0.0,0
2015-06-01,184.64,188.26,183.27,186.96,163.29,902500,0.0,0
2015-06-02,186.13,188.98,185.56,188.23,164.4,770800,0.0,0
2015-06-03,188.31,189.46,186.79,189.25,165.29,717100,0.0,0
2015-06-04,187.86,189.08,187.32,187.99,164.19,707700,0.0,0
2015-06-05,187.49,188.35,185.8,187.77,164.0,485700,0.0,0
2015-06-08,187.86,188.91,185.24,185.4,161.93,639800,0.0,0
2015-06-09,185.64,185.64,182.72,182.99,159.83,1138800,0.0,0
2015-06-10,184.14,186.43,183.44,185.98,162.44,828600,0.0,0
2015-06-11,186.85,189.5,186.22,186.73,163.09,674700,0.0,0
2015-06-12,185.48,187.07,184.77,185.99,162.45,481800,0.0,0
2015-06-15,184.8,185.31,183.0,184.01,160.72,628200,0.0,0
2015-06-16,183.45,185.29,182.67,183.89,160.61,644100,0.0,0
2015-06-17,183.99,185.89,183.34,185.55,162.06,465200,0.0,0
2015-06-18,185.96,188.4,185.88,187.25,163.55,542900,0.0,0
2015-06-19,188.18,189.58,187.24,187.57,163.83,1032300,0.0,0
2015-06-22,187.95,188.01,184.04,184.93,161.52,799900,0.0,0
2015-06-23,185.25,187.18,184.57,185.26,161.81,497900,0.0,0
2015-06-24,185.13,186.73,182.58,182.72,159.59,900300,0.0,0
2015-06-25,183.66,183.66,178.19,178.27,155.7,1298600,0.0,0
2015-06-26,178.89,179.98,176.92,177.81,155.3,1033900,0.0,0
2015-06-29,176.87,178.42,173.52,173.77,151.77,746500,0.0,0
2015-06-30,175.16,175.6,172.85,173.05,151.14,845300,0.0,0
2015-07-01,174.87,175.0,169.4,171.0,149.35,1611800,0.0,0
2015-07-02,170.99,170.99,168.19,169.73,148.24,1282600,0.0,0
2015-07-06,169.41,171.24,167.79,168.74,147.38,1329600,0.0,0
2015-07-07,169.15,171.43,166.64,171.23,149.55,1420000,0.0,0
2015-07-08,169.75,172.69,169.33,170.74,149.13,1263300,0.0,0
2015-07-09,172.77,172.77,170.09,170.52,148.93,730700,0.0,0
2015-07-10,172.28,174.81,171.28,174.42,152.34,901600,0.0,0
2015-07-13,175.53,176.41,174.4,175.36,153.16,651700,0.0,0
2015-07-14,175.36,176.77,174.99,175.68,153.44,566600,0.0,0
2015-07-15,174.82,175.23,172.15,173.5,151.54,1056000,0.0,0
2015-07-16,174.56,174.92,169.92,170.0,148.48,942800,0.0,0
2015-07-17,170.19,171.89,167.99,168.72,147.36,956300,0.0,0
2015-07-20,168.47,168.89,159.21,163.14,142.49,3575300,0.0,0
2015-07-21,163.14,166.61,162.48,166.21,145.17,1631700,0.0,0
2015-07-22,173.5,180.75,172.98,178.36,155.78,3137100,0.0,0
2015-07-23,176.96,180.5,176.3,179.43,156.72,1940700,0.0,0
2015-07-24,179.9,180.16,175.83,176.1,153.81,1299900,0.0,0
2015-07-27,174.64,174.95,170.89,171.84,150.09,1391100,0.0,0
2015-07-28,173.41,176.91,173.09,176.72,154.35,964300,0.0,0
2015-07-29,177.01,179.67,176.02,178.75,156.12,619100,0.0,0
2015-07-30,178.27,179.9,176.56,178.12,155.57,557700,0.0,0
2015-07-31,178.75,179.28,177.29,177.73,155.23,477500,0.0,0
2015-08-03,177.67,178.31,174.87,175.97,153.69,568100,0.0,0
2015-08-04,175.98,176.26,174.35,174.88,152.74,741700,0.0,0
2015-08-05,175.77,176.37,172.91,173.84,151.83,917900,0.0,0
2015-08-06,174.53,175.24,169.73,170.52,148.93,898000,0.0,0
2015-08-07,170.85,171.93,169.6,170.41,148.84,660000,0.0,0
2015-08-10,172.05,176.09,171.0,174.86,152.73,652100,0.0,0
2015-08-11,173.49,174.0,170.58,171.47,149.76,674900,0.0,0
2015-08-12,170.04,172.93,168.67,172.79,150.92,843800,0.0,0
2015-08-13,172.8,176.15,172.8,174.57,152.47,910600,0.0,0
2015-08-14,174.52,177.66,174.24,177.22,154.79,713700,0.0,0
2015-08-17,176.02,179.28,175.3,178.49,155.9,603300,0.0,0
2015-08-18,178.49,183.34,177.56,182.95,159.79,1414300,0.0,0
2015-08-19,182.66,186.82,180.53,184.58,161.21,1397300,0.0,0
2015-08-20,182.73,185.72,181.81,183.1,159.92,1063600,0.0,0
2015-08-21,181.6,182.5,176.51,177.6,155.12,1503000,0.0,0
2015-08-24,168.0,173.55,163.3,167.69,146.46,1920600,0.0,0
2015-08-25,173.15,173.85,166.45,166.46,145.39,1195500,0.0,0
2015-08-26,169.03,169.64,162.93,168.09,147.61,1254100,0.9,0
2015-08-27,169.85,175.29,168.35,170.65,149.86,1470700,0.0,0
