Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,131.23,131.36,129.48,129.96,119.28,263000,0.0,0.0
2015-04-28,129.77,130.97,129.51,130.65,119.91,301100,0.0,0.0
2015-04-29,130.54,130.75,127.95,130.07,119.37,411200,0.0,0.0
2015-04-30,129.99,130.3,128.16,128.82,118.23,302000,0.0,0.0
2015-05-01,129.11,129.8,127.97,128.95,118.35,296500,0.0,0.0
2015-05-04,129.14,129.27,126.6,126.89,116.46,474300,0.0,0.0
2015-05-05,126.38,127.47,125.27,126.23,115.85,373200,0.0,0.0
2015-05-06,125.17,126.04,122.04,125.72,115.39,289300,0.0,0.0
2015-05-07,125.51,127.07,124.5,126.91,116.48,288400,0.0,0.0
2015-05-08,127.84,128.08,126.54,126.86,116.43,176300,0.0,0.0
2015-05-11,126.89,127.44,125.85,125.96,115.61,244900,0.0,0.0
2015-05-12,125.38,125.77,124.85,125.22,114.92,244800,0.0,0.0
2015-05-13,125.59,125.7,124.82,124.87,114.61,242600,0.0,0.0
2015-05-14,125.27,126.23,125.01,126.17,115.8,214100,0.0,0.0
2015-05-15,126.46,126.57,125.14,125.56,115.24,207100,0.0,0.0
2015-05-18,125.59,128.11,125.32,128.11,117.57,214700,0.0,0.0
2015-05-19,128.24,130.2,126.83,128.56,117.99,276500,0.0,0.0
2015-05-20,128.77,129.06,127.95,128.87,118.28,191500,0.0,0.0
2015-05-21,128.64,128.85,127.84,128.05,117.53,215600,0.0,0.0
2015-05-22,128.03,128.53,127.79,128.42,117.87,103500,0.0,0.0
2015-05-26,128.05,128.26,126.68,127.13,116.68,147300,0.0,0.0
2015-05-27,127.55,127.79,126.65,127.23,116.77,252900,0.0,0.0
2015-05-28,127.07,127.52,126.44,126.99,116.55,153700,0.0,0.0
2015-05-29,127.26,127.6,125.32,125.72,115.39,282700,0.0,0.0
2015-06-01,126.15,126.52,125.11,126.12,115.75,173000,0.0,0.0
2015-06-02,125.85,126.46,125.09,126.09,115.73,155600,0.0,0.0
2015-06-03,126.54,126.75,125.8,126.23,115.85,159100,0.0,0.0
2015-06-04,125.64,126.07,124.93,125.01,114.73,115800,0.0,0.0
2015-06-05,125.09,125.72,124.58,125.38,115.07,80300,0.0,0.0
2015-06-08,125.48,125.88,124.72,125.35,115.05,134000,0.0,0.0
2015-06-09,125.22,125.4,124.74,125.03,114.75,143200,0.0,0.0
2015-06-10,125.62,126.52,125.06,125.99,115.63,175800,0.0,0.0
2015-06-11,126.09,127.84,126.09,127.44,116.97,144300,0.0,0.0
2015-06-12,126.97,127.5,125.96,126.17,115.8,181600,0.0,0.0
2015-06-15,125.3,126.15,124.85,125.77,115.44,149000,0.0,0.0
2015-06-16,125.62,126.54,125.14,126.15,115.78,181300,0.0,0.0
2015-06-17,126.52,127.18,125.83,126.44,116.04,162800,0.0,0.0
2015-06-18,126.81,127.55,126.01,127.23,116.77,89200,0.0,0.0
