Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,52.82,52.86,51.7,51.77,38.1,4384900,0.0,0
2015-04-28,51.76,52.16,51.6,51.92,38.21,4069000,0.0,0
2015-04-29,51.83,52.63,51.64,52.55,38.67,5123600,0.0,0
2015-04-30,52.48,52.74,50.8,51.19,37.67,6192700,0.0,0
2015-05-01,51.18,51.35,50.78,51.13,37.63,4392800,0.0,0
2015-05-04,51.3,51.63,50.66,50.89,37.45,4877200,0.0,0
2015-05-05,51.21,51.21,49.46,49.5,36.43,8646900,0.0,0
2015-05-06,50.01,50.01,49.13,49.44,36.38,6134600,0.0,0
2015-05-07,49.36,49.98,48.41,49.7,36.57,6632100,0.0,0
2015-05-08,50.15,51.04,49.52,50.94,37.49,4527300,0.0,0
2015-05-11,50.79,50.94,49.35,49.64,36.53,6479300,0.0,0
2015-05-12,49.61,50.31,49.55,50.1,36.87,4422200,0.0,0
2015-05-13,50.1,54.44,50.1,53.21,39.16,36493500,0.0,0
2015-05-14,52.47,53.31,52.47,53.23,39.17,15642800,0.0,0
2015-05-15,53.21,54.49,52.68,53.8,39.59,15511600,0.0,0
2015-05-18,54.14,54.16,53.31,53.69,39.51,9484300,0.0,0
2015-05-19,53.57,53.72,52.87,53.08,39.06,9421700,0.0,0
2015-05-20,53.03,53.22,52.61,53.18,39.14,7768100,0.0,0
2015-05-21,53.56,53.67,52.8,53.11,39.08,5561600,0.0,0
2015-05-22,52.84,53.28,52.71,52.99,39.0,5056400,0.0,0
2015-05-26,52.59,52.81,52.1,52.27,38.47,5753900,0.0,0
2015-05-27,52.31,52.38,51.71,51.88,38.18,6477900,0.0,0
2015-05-28,51.78,51.83,50.88,51.28,37.74,7945500,0.0,0
2015-05-29,51.35,51.39,50.88,51.1,37.61,5847800,0.0,0
2015-06-01,51.03,51.72,50.82,51.32,37.77,7471800,0.0,0
2015-06-02,51.32,51.44,50.73,51.24,37.71,4427900,0.0,0
2015-06-03,50.99,51.11,49.6,49.91,36.73,10138900,0.0,0
2015-06-04,49.5,49.77,48.48,48.52,35.71,10708200,0.0,0
2015-06-05,48.31,49.28,48.06,48.77,35.89,8302200,0.0,0
2015-06-08,48.42,49.02,48.23,48.44,35.65,7286500,0.0,0
2015-06-09,48.87,48.93,48.14,48.17,35.45,7051400,0.0,0
2015-06-10,48.24,48.42,47.58,47.59,35.46,6469700,0.59,0
2015-06-11,47.84,48.06,47.32,47.54,35.42,8190500,0.0,0
2015-06-12,47.33,47.38,46.85,46.99,35.01,6704700,0.0,0
2015-06-15,46.5,47.73,46.28,47.55,35.43,6077400,0.0,0
2015-06-16,47.58,48.05,47.19,47.93,35.71,9386800,0.0,0
2015-06-17,48.26,48.68,47.81,48.55,36.17,9786900,0.0,0
2015-06-18,48.56,49.21,48.38,48.97,36.48,9940500,0.0,0
2015-06-19,48.77,49.05,48.06,48.34,36.02,8163600,0.0,0
2015-06-22,48.34,61.38,48.34,60.86,45.34,101131000,0.0,0
2015-06-23,60.17,60.51,58.63,58.94,43.91,34777700,0.0,0
2015-06-24,58.48,58.85,57.1,57.37,42.74,27072400,0.0,0
2015-06-25,57.0,57.69,55.03,55.25,41.16,32031000,0.0,0
2015-06-26,55.28,57.85,55.24,57.12,42.56,26016100,0.0,0
2015-06-29,56.55,56.87,56.18,56.38,42.01,8502500,0.0,0
2015-06-30,56.83,57.88,56.83,57.39,42.76,9778700,0.0,0
2015-07-01,57.16,58.29,57.09,57.51,42.85,8993700,0.0,0
2015-07-02,57.79,57.87,57.28,57.6,42.91,5519500,0.0,0
2015-07-06,57.18,58.01,56.64,57.13,42.56,5696400,0.0,0
2015-07-07,57.02,57.08,55.63,56.89,42.39,10035600,0.0,0
2015-07-08,57.05,57.37,55.52,56.01,41.73,5937300,0.0,0
2015-07-09,56.9,57.46,56.43,56.45,42.06,6973100,0.0,0
2015-07-10,56.73,58.04,56.73,57.89,43.13,5573300,0.0,0
2015-07-13,57.91,58.5,57.66,58.23,43.38,5110900,0.0,0
2015-07-14,58.22,58.77,57.59,58.03,43.23,8264900,0.0,0
2015-07-15,57.51,58.13,57.22,57.49,42.83,4903000,0.0,0
2015-07-16,57.63,58.16,57.4,57.96,43.18,6215500,0.0,0
2015-07-17,58.08,58.49,57.45,57.67,42.97,9044800,0.0,0
2015-07-20,57.38,57.52,55.78,55.94,41.68,8322600,0.0,0
2015-07-21,55.67,56.0,54.36,54.7,40.75,10924000,0.0,0
2015-07-22,54.29,54.81,53.23,53.54,39.89,6150200,0.0,0
2015-07-23,53.52,54.0,52.83,52.94,39.44,5747200,0.0,0
2015-07-24,52.93,53.5,52.43,52.64,39.22,5346300,0.0,0
2015-07-27,52.3,52.47,51.39,51.89,38.66,8251000,0.0,0
2015-07-28,52.03,53.71,51.34,53.11,39.57,6248800,0.0,0
2015-07-29,52.84,54.14,52.67,54.01,40.24,5606200,0.0,0
2015-07-30,53.92,53.92,52.89,52.98,39.47,3934900,0.0,0
2015-07-31,52.95,53.61,52.34,52.48,39.1,6839000,0.0,0
2015-08-03,52.52,52.74,51.32,51.65,38.48,6339100,0.0,0
2015-08-04,51.97,52.25,50.69,51.26,38.19,5661900,0.0,0
2015-08-05,52.28,52.65,48.65,49.16,36.63,12589700,0.0,0
2015-08-06,48.72,49.81,46.85,48.53,36.16,9119500,0.0,0
2015-08-07,48.35,49.67,48.33,48.8,36.36,5060000,0.0,0
2015-08-10,48.93,50.09,48.93,49.89,37.17,4340400,0.0,0
2015-08-11,48.95,50.03,48.52,49.98,37.24,4698800,0.0,0
2015-08-12,50.04,51.2,49.09,51.11,38.08,5340000,0.0,0
2015-08-13,50.98,51.56,50.54,51.32,38.24,5337000,0.0,0
2015-08-14,51.76,52.62,51.6,52.23,38.91,6144400,0.0,0
2015-08-17,52.67,55.42,52.55,54.9,40.9,12598000,0.0,0
2015-08-18,54.24,55.0,53.65,53.86,40.13,5548500,0.0,0
2015-08-19,53.85,54.37,52.36,53.01,39.49,6665500,0.0,0
2015-08-20,52.88,53.49,50.65,50.7,37.77,6294100,0.0,0
2015-08-21,50.22,51.12,49.65,49.65,36.99,10073600,0.0,0
2015-08-24,45.9,48.89,43.33,46.74,34.82,14258600,0.0,0
2015-08-25,48.33,48.51,44.64,44.67,33.28,10094500,0.0,0
2015-08-26,45.83,46.15,44.5,45.67,34.03,9124500,0.0,0
2015-08-27,46.62,47.81,46.38,47.68,35.52,12760900,0.0,0
2015-08-28,47.5,49.5,47.19,48.92,36.45,7964900,0.0,0
2015-08-31,48.29,49.11,47.54,48.2,35.91,6625400,0.0,0
2015-09-01,46.87,47.78,45.66,46.01,34.28,8615900,0.0,0
2015-09-02,46.64,47.23,45.23,47.21,35.17,8015100,0.0,0
2015-09-03,47.47,48.47,47.05,47.35,35.28,7266800,0.0,0
2015-09-04,46.65,47.33,46.16,46.42,34.58,5117800,0.0,0
2015-09-08,47.2,47.28,46.34,47.07,35.07,4604700,0.0,0
2015-09-09,47.48,47.79,45.91,46.01,34.28,6767300,0.0,0
2015-09-10,45.41,45.87,43.19,44.27,32.98,14694200,0.0,0
2015-09-11,43.66,43.77,41.61,42.97,32.01,13822000,0.0,0
2015-09-14,42.92,42.97,41.62,42.27,31.49,8120600,0.0,0
2015-09-15,42.5,43.76,42.44,43.57,32.46,6790300,0.0,0
2015-09-16,44.03,46.44,43.33,45.86,34.17,15726100,0.0,0
2015-09-17,46.42,47.05,45.32,45.71,34.06,9227600,0.0,0
2015-09-18,45.96,46.94,44.98,46.14,34.38,16578000,0.0,0
2015-09-21,46.14,46.85,45.78,46.37,34.55,8946700,0.0,0
2015-09-22,45.01,45.83,44.32,44.52,33.63,7616200,0.64,0
2015-09-23,44.78,45.15,42.28,42.47,32.08,9137100,0.0,0
2015-09-24,42.68,42.88,39.62,41.82,31.59,13031400,0.0,0
2015-09-25,42.27,42.88,41.03,41.6,31.43,6449400,0.0,0
2015-09-28,39.57,40.0,36.28,36.56,27.62,31172900,0.0,0
2015-09-29,36.82,37.17,34.64,34.93,26.39,19871800,0.0,0
2015-09-30,35.74,37.18,35.01,36.85,27.84,17620600,0.0,0
2015-10-01,37.24,39.1,36.88,38.98,29.45,13848600,0.0,0
2015-10-02,38.2,41.12,37.77,41.02,30.99,9374300,0.0,0
2015-10-05,41.41,42.28,40.95,41.56,31.4,9150900,0.0,0
2015-10-06,41.65,42.9,41.4,42.12,31.82,10089300,0.0,0
2015-10-07,42.6,43.63,42.2,43.56,32.91,12978700,0.0,0
2015-10-08,43.18,44.51,43.09,43.8,33.09,10213500,0.0,0
2015-10-09,44.14,44.21,43.1,43.83,33.11,8062300,0.0,0
2015-10-12,43.92,44.14,42.31,42.54,32.14,6248800,0.0,0
2015-10-13,42.21,43.03,41.34,41.4,31.28,6764600,0.0,0
2015-10-14,41.49,41.98,40.73,40.97,30.95,10312400,0.0,0
2015-10-15,41.08,41.8,40.5,41.65,31.47,8209600,0.0,0
2015-10-16,41.97,42.61,41.52,42.28,31.94,5130700,0.0,0
2015-10-19,41.63,42.48,40.93,41.93,31.68,4977200,0.0,0
2015-10-20,41.47,42.17,41.3,41.46,31.32,5247600,0.0,0
2015-10-21,41.46,41.66,40.1,40.48,30.58,5873000,0.0,0
2015-10-22,40.41,40.64,39.47,39.81,30.08,9198900,0.0,0
2015-10-23,39.64,40.16,39.05,39.2,29.61,6829000,0.0,0
2015-10-26,39.23,39.23,37.41,37.57,28.38,8646100,0.0,0
2015-10-27,37.03,37.53,36.6,37.47,28.31,7152200,0.0,0
2015-10-28,37.56,39.18,37.46,38.3,28.93,9034700,0.0,0
2015-10-29,38.03,38.79,37.65,38.3,28.93,6413700,0.0,0
2015-10-30,38.51,39.98,38.17,39.44,29.8,8266600,0.0,0
2015-11-02,39.1,40.31,39.05,39.57,29.89,6542500,0.0,0
2015-11-03,39.77,40.76,39.55,40.28,30.43,4931000,0.0,0
