Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,20.65,20.65,20.31,20.37,17.05,5527400,0.0,0
2015-04-28,20.38,20.47,20.25,20.47,17.13,5021000,0.0,0
2015-04-29,20.36,20.54,20.16,20.39,17.07,6174600,0.0,0
2015-04-30,20.31,20.71,20.2,20.28,16.98,10046100,0.0,0
2015-05-01,21.01,21.97,21.01,21.25,17.79,14682200,0.0,0
2015-05-04,21.34,21.48,21.16,21.18,17.73,4800500,0.0,0
2015-05-05,21.09,21.1,20.87,20.95,17.54,5062600,0.0,0
2015-05-06,22.04,22.84,21.41,21.85,18.29,24838300,0.0,0
2015-05-07,21.51,21.79,21.2,21.7,18.16,7349700,0.0,0
2015-05-08,21.94,22.05,21.7,21.93,18.36,4483700,0.0,0
2015-05-11,21.9,22.04,21.72,21.76,18.21,6343300,0.0,0
2015-05-12,21.64,21.78,21.45,21.75,18.21,6957300,0.0,0
2015-05-13,21.84,22.07,21.78,21.87,18.31,5404100,0.0,0
2015-05-14,21.98,21.98,21.81,21.96,18.38,3400300,0.0,0
2015-05-15,21.99,22.04,21.6,21.71,18.17,5660000,0.0,0
2015-05-18,21.7,22.11,21.67,21.99,18.41,5626700,0.0,0
2015-05-19,22.02,22.58,21.95,22.42,18.77,9674800,0.0,0
2015-05-20,22.14,22.57,22.12,22.48,18.82,6703500,0.0,0
2015-05-21,22.43,22.59,22.4,22.5,18.83,5046000,0.0,0
2015-05-22,22.45,22.69,22.35,22.56,18.88,4288100,0.0,0
2015-05-26,22.45,22.52,22.17,22.24,18.62,3741400,0.0,0
2015-05-27,22.21,22.37,22.13,22.19,18.57,5961100,0.0,0
2015-05-28,22.13,22.22,21.75,21.94,18.37,6684900,0.0,0
2015-05-29,22.19,22.21,21.85,21.95,18.37,5118400,0.0,0
2015-06-01,22.01,22.05,21.76,21.95,18.37,4303900,0.0,0
2015-06-02,21.98,22.14,21.92,22.12,18.52,3746800,0.0,0
2015-06-03,22.16,22.34,22.1,22.23,18.61,3546000,0.0,0
2015-06-04,22.05,22.21,21.85,21.89,18.32,2653200,0.0,0
2015-06-05,21.89,21.94,21.69,21.76,18.21,3612500,0.0,0
2015-06-08,21.76,21.83,21.49,21.52,18.01,3961700,0.0,0
2015-06-09,21.57,21.72,21.44,21.57,18.06,4435200,0.0,0
2015-06-10,21.56,21.94,21.52,21.8,18.25,3817800,0.0,0
2015-06-11,21.83,21.96,21.76,21.86,18.3,3946500,0.0,0
2015-06-12,21.56,21.6,21.41,21.47,18.1,4650800,0.155,0
2015-06-15,21.29,21.3,21.05,21.19,17.86,5997400,0.0,0
2015-06-16,21.2,21.32,21.1,21.29,17.95,3260100,0.0,0
2015-06-17,21.37,21.42,21.12,21.14,17.82,3656400,0.0,0
2015-06-18,21.19,21.29,21.07,21.28,17.94,6164900,0.0,0
2015-06-19,21.25,21.32,21.11,21.3,17.96,6186000,0.0,0
2015-06-22,21.46,21.47,21.3,21.47,18.1,2658900,0.0,0
2015-06-23,21.47,21.59,21.42,21.43,18.07,3448200,0.0,0
2015-06-24,21.38,21.44,21.09,21.14,17.82,3214300,0.0,0
2015-06-25,21.11,21.15,20.87,20.87,17.59,5734600,0.0,0
2015-06-26,20.97,21.0,20.54,20.61,17.38,6497100,0.0,0
2015-06-29,20.44,20.7,20.34,20.36,17.16,6094200,0.0,0
2015-06-30,20.54,20.61,20.27,20.33,17.14,5592900,0.0,0
2015-07-01,20.49,20.52,20.34,20.39,17.19,4445400,0.0,0
2015-07-02,19.0,19.6,18.93,18.99,16.01,19018000,0.0,0
2015-07-06,18.9,19.0,18.68,18.95,15.98,9714400,0.0,0
2015-07-07,19.09,19.3,18.75,19.1,16.1,7552500,0.0,0
2015-07-08,18.88,19.02,18.84,18.85,15.89,6724800,0.0,0
2015-07-09,19.17,19.28,18.91,18.91,15.94,4801600,0.0,0
2015-07-10,19.05,19.14,18.94,19.03,16.04,3980500,0.0,0
2015-07-13,19.18,19.18,18.99,19.09,16.09,3517200,0.0,0
2015-07-14,19.09,19.23,19.07,19.17,16.16,4818300,0.0,0
2015-07-15,19.16,19.19,18.86,18.96,15.98,4211600,0.0,0
2015-07-16,18.89,19.36,18.89,19.27,16.25,6953100,0.0,0
2015-07-17,19.27,19.36,19.18,19.2,16.19,4493900,0.0,0
2015-07-20,19.17,19.34,19.14,19.2,16.19,3228400,0.0,0
2015-07-21,19.19,19.27,19.04,19.1,16.1,3490100,0.0,0
2015-07-22,19.13,19.32,19.08,19.11,16.11,3210300,0.0,0
2015-07-23,19.11,19.15,18.86,18.9,15.93,3296400,0.0,0
2015-07-24,18.91,19.02,18.61,18.65,15.72,2833100,0.0,0
2015-07-27,18.59,18.62,18.33,18.36,15.48,3416600,0.0,0
2015-07-28,18.47,18.7,18.16,18.64,15.71,11025900,0.0,0
2015-07-29,18.65,19.05,18.62,19.04,16.05,5638700,0.0,0
2015-07-30,18.95,19.17,18.73,19.02,16.03,7293000,0.0,0
2015-07-31,20.15,20.48,19.81,20.24,17.06,15718300,0.0,0
2015-08-03,20.26,20.27,19.9,20.22,17.05,7428900,0.0,0
2015-08-04,20.34,20.48,20.03,20.17,17.0,6274100,0.0,0
2015-08-05,20.37,20.57,20.29,20.33,17.14,5635800,0.0,0
2015-08-06,20.34,20.55,20.29,20.37,17.17,9713100,0.0,0
2015-08-07,20.32,20.44,20.25,20.4,17.2,6542200,0.0,0
2015-08-10,20.51,20.62,20.48,20.55,17.32,4537200,0.0,0
2015-08-11,20.4,20.53,20.3,20.4,17.2,4423800,0.0,0
2015-08-12,20.24,20.5,20.11,20.42,17.21,5583600,0.0,0
2015-08-13,20.41,20.5,20.34,20.38,17.18,2604900,0.0,0
2015-08-14,20.31,20.48,20.25,20.35,17.16,3293200,0.0,0
2015-08-17,20.31,20.44,20.21,20.42,17.21,2334000,0.0,0
2015-08-18,20.45,20.6,20.32,20.38,17.18,3161200,0.0,0
2015-08-19,20.24,20.27,19.85,19.95,16.82,4910200,0.0,0
2015-08-20,19.77,19.89,19.47,19.49,16.43,5913200,0.0,0
2015-08-21,19.3,19.38,18.72,18.74,15.8,8735100,0.0,0
2015-08-24,17.67,18.35,16.91,17.79,15.0,20435400,0.0,0
2015-08-25,18.23,18.45,17.79,17.81,15.01,10439600,0.0,0
2015-08-26,18.24,18.31,17.75,18.3,15.43,7366400,0.0,0
2015-08-27,18.51,18.73,18.15,18.59,15.67,6572100,0.0,0
2015-08-28,18.5,18.67,18.46,18.56,15.65,4285300,0.0,0
2015-08-31,18.5,18.7,18.41,18.44,15.55,4390500,0.0,0
2015-09-01,18.01,18.15,17.6,17.72,14.94,7169900,0.0,0
2015-09-02,17.93,18.05,17.72,18.05,15.22,4512800,0.0,0
2015-09-03,18.15,18.52,18.14,18.47,15.57,6126000,0.0,0
2015-09-04,18.2,18.37,18.15,18.25,15.39,5616700,0.0,0
2015-09-08,18.51,18.63,18.28,18.61,15.69,4094300,0.0,0
2015-09-09,18.7,18.86,18.18,18.23,15.37,5100600,0.0,0
2015-09-10,18.2,18.53,18.12,18.41,15.52,3883000,0.0,0
2015-09-11,18.4,18.4,18.16,18.31,15.44,4692100,0.0,0
2015-09-14,18.31,18.34,18.02,18.12,15.41,4855000,0.155,0
2015-09-15,18.17,18.73,18.15,18.66,15.87,6091400,0.0,0
2015-09-16,18.66,19.03,18.59,18.94,16.1,5134100,0.0,0
2015-09-17,18.93,19.19,18.77,18.88,16.05,3864200,0.0,0
2015-09-18,18.63,18.74,18.47,18.58,15.8,8443900,0.0,0
2015-09-21,18.72,18.82,18.61,18.77,15.96,4168200,0.0,0
2015-09-22,18.51,18.6,18.35,18.5,15.73,3372600,0.0,0
2015-09-23,18.5,18.58,18.35,18.46,15.7,2413600,0.0,0
2015-09-24,18.32,18.36,18.02,18.25,15.52,3415500,0.0,0
2015-09-25,18.45,18.48,18.1,18.21,15.48,4287500,0.0,0
2015-09-28,18.16,18.2,17.62,17.85,15.18,5550300,0.0,0
2015-09-29,17.88,18.22,17.78,18.1,15.39,7781500,0.0,0
2015-09-30,18.31,18.51,18.01,18.36,15.61,4902700,0.0,0
2015-10-01,18.39,18.45,18.02,18.21,15.48,4298100,0.0,0
2015-10-02,17.76,18.55,17.76,18.55,15.77,4389700,0.0,0
2015-10-05,18.73,18.91,18.53,18.74,15.93,6777400,0.0,0
2015-10-06,18.73,18.87,18.58,18.61,15.82,5089900,0.0,0
2015-10-07,18.74,18.96,18.65,18.8,15.98,4969600,0.0,0
2015-10-08,18.78,19.4,18.7,19.2,16.32,4671000,0.0,0
2015-10-09,19.19,19.57,19.09,19.13,16.27,4741000,0.0,0
