Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,32.37,32.45,32.08,32.16,25.97,3639600,0.0,0
2015-04-28,32.07,32.33,31.94,32.18,25.99,2875000,0.0,0
2015-04-29,31.97,32.12,31.64,31.73,25.63,2669000,0.0,0
2015-04-30,31.6,31.67,31.25,31.51,25.45,4560300,0.0,0
2015-05-01,31.39,32.15,31.16,32.01,25.85,8361400,0.0,0
2015-05-04,31.95,32.07,31.45,31.59,25.51,5075000,0.0,0
2015-05-05,31.52,31.61,31.07,31.12,25.13,3103800,0.0,0
2015-05-06,31.13,31.32,31.06,31.17,25.17,4116100,0.0,0
2015-05-07,31.24,32.13,31.11,32.04,25.88,4486400,0.0,0
2015-05-08,32.4,32.81,32.4,32.53,26.27,4471000,0.0,0
2015-05-11,32.4,32.53,32.13,32.38,26.15,4593500,0.0,0
2015-05-12,32.24,32.33,31.83,31.95,25.8,3089500,0.0,0
2015-05-13,32.14,32.36,31.99,32.03,25.87,3405000,0.0,0
2015-05-14,32.2,32.67,32.11,32.53,26.27,3338900,0.0,0
2015-05-15,32.62,32.64,32.26,32.34,26.12,2645600,0.0,0
2015-05-18,32.32,32.37,32.0,32.07,25.9,2797300,0.0,0
2015-05-19,32.0,32.73,31.97,32.66,26.38,4361300,0.0,0
2015-05-20,32.74,32.91,32.59,32.67,26.38,3048800,0.0,0
2015-05-21,32.59,32.71,32.44,32.58,26.31,2693800,0.0,0
2015-05-22,32.48,32.87,32.36,32.73,26.43,3912600,0.0,0
2015-05-26,32.6,33.03,32.41,32.96,26.62,5942400,0.0,0
2015-05-27,33.02,33.06,32.74,33.0,26.65,4648600,0.0,0
2015-05-28,33.01,33.06,32.65,32.96,26.62,3565200,0.0,0
2015-05-29,32.94,32.98,32.5,32.56,26.3,3434500,0.0,0
2015-06-01,32.59,32.8,32.38,32.5,26.25,3383700,0.0,0
2015-06-02,32.52,32.62,32.27,32.42,26.18,3605300,0.0,0
2015-06-03,32.17,32.17,31.85,31.85,25.95,3623700,0.29,0
2015-06-04,31.79,31.92,31.64,31.69,25.82,12328500,0.0,0
2015-06-05,31.48,31.89,31.43,31.46,25.64,3567500,0.0,0
2015-06-08,31.48,31.83,31.44,31.51,25.68,2341000,0.0,0
2015-06-09,31.5,31.63,31.21,31.24,25.46,2477800,0.0,0
2015-06-10,31.38,32.01,31.38,31.8,25.91,3188900,0.0,0
2015-06-11,31.92,32.25,31.87,32.17,26.22,3342300,0.0,0
2015-06-12,32.13,32.36,32.01,32.06,26.13,1987400,0.0,0
2015-06-15,31.95,32.24,31.89,32.04,26.11,3111400,0.0,0
2015-06-16,32.1,33.1,32.1,32.96,26.86,6784000,0.0,0
2015-06-17,32.97,33.05,32.52,32.67,26.62,6050500,0.0,0
2015-06-18,32.82,33.05,32.69,32.71,26.66,5711300,0.0,0
2015-06-19,32.7,32.73,32.45,32.57,26.54,4804600,0.0,0
2015-06-22,32.68,32.79,32.44,32.57,26.54,2491500,0.0,0
2015-06-23,32.53,32.57,32.2,32.31,26.33,2124600,0.0,0
2015-06-24,32.31,32.54,32.18,32.25,26.28,2636800,0.0,0
2015-06-25,32.3,32.41,31.84,31.86,25.96,2614900,0.0,0
2015-06-26,31.86,32.29,31.76,32.07,26.13,3134100,0.0,0
2015-06-29,31.97,32.11,31.5,31.53,25.69,2221700,0.0,0
2015-06-30,31.68,31.83,31.46,31.5,25.67,3079800,0.0,0
2015-07-01,31.53,32.03,31.35,32.0,26.08,2618900,0.0,0
2015-07-02,32.15,32.34,31.78,31.84,25.95,2279300,0.0,0
2015-07-06,31.6,31.89,31.6,31.73,25.86,2423700,0.0,0
2015-07-07,31.81,32.16,31.62,32.06,26.13,2992200,0.0,0
2015-07-08,31.89,31.98,31.44,31.56,25.72,2281200,0.0,0
2015-07-09,31.76,31.86,31.25,31.26,25.47,2457000,0.0,0
2015-07-10,31.46,31.6,31.24,31.29,25.5,2355000,0.0,0
2015-07-13,31.45,31.69,31.29,31.65,25.79,3541400,0.0,0
2015-07-14,31.62,31.67,31.24,31.26,25.47,3056100,0.0,0
2015-07-15,31.22,31.39,31.03,31.21,25.43,2484600,0.0,0
2015-07-16,30.77,31.26,30.74,30.96,25.23,4294300,0.0,0
2015-07-17,30.96,30.96,30.33,30.48,24.84,4894400,0.0,0
2015-07-20,30.44,30.66,30.35,30.54,24.89,2290300,0.0,0
2015-07-21,30.5,30.62,30.12,30.26,24.66,2957300,0.0,0
2015-07-22,30.25,30.54,30.12,30.18,24.59,2011500,0.0,0
2015-07-23,30.14,30.16,29.87,30.03,24.47,3029400,0.0,0
2015-07-24,29.98,30.05,29.76,29.77,24.26,1680200,0.0,0
2015-07-27,29.71,30.05,29.63,29.99,24.44,5260400,0.0,0
2015-07-28,30.1,30.18,29.91,30.05,24.49,4155400,0.0,0
2015-07-29,30.03,30.46,29.95,30.3,24.69,2814500,0.0,0
2015-07-30,30.14,30.52,30.04,30.46,24.82,3261300,0.0,0
2015-07-31,30.63,31.37,30.63,30.69,25.01,3197200,0.0,0
2015-08-03,30.67,30.86,30.48,30.82,25.12,2666600,0.0,0
2015-08-04,30.82,31.09,30.8,31.07,25.32,3483500,0.0,0
2015-08-05,31.09,31.3,30.79,30.79,25.09,3032600,0.0,0
2015-08-06,30.78,30.88,30.46,30.66,24.98,2754200,0.0,0
2015-08-07,30.61,31.09,30.49,31.06,25.31,2949200,0.0,0
2015-08-10,31.22,31.34,30.93,31.06,25.31,3509700,0.0,0
2015-08-11,30.97,31.03,30.76,30.81,25.11,3317100,0.0,0
2015-08-12,30.65,30.97,30.35,30.95,25.22,3431500,0.0,0
2015-08-13,30.83,31.16,30.69,30.99,25.25,5021300,0.0,0
2015-08-14,31.01,31.21,30.7,31.19,25.42,3993900,0.0,0
2015-08-17,31.14,31.22,30.91,31.08,25.33,2881000,0.0,0
2015-08-18,31.04,31.21,30.86,31.15,25.38,2474500,0.0,0
2015-08-19,31.02,31.19,30.84,30.91,25.19,2576700,0.0,0
2015-08-20,30.74,30.83,30.53,30.58,24.92,3013700,0.0,0
2015-08-21,30.44,30.53,29.96,29.97,24.42,4436300,0.0,0
2015-08-24,29.26,29.42,28.03,28.17,22.96,9553000,0.0,0
2015-08-25,28.66,29.05,26.88,26.9,21.92,7857000,0.0,0
2015-08-26,27.49,27.57,26.84,27.48,22.39,10312500,0.0,0
2015-08-27,27.7,28.23,27.41,28.0,22.82,4386000,0.0,0
2015-08-28,28.05,28.41,27.75,28.24,23.01,3658500,0.0,0
2015-08-31,28.18,28.26,27.87,27.94,22.77,3873700,0.0,0
2015-09-01,27.49,27.89,27.31,27.59,22.48,5185800,0.0,0
2015-09-02,27.93,27.95,27.54,27.82,22.67,3333900,0.0,0
2015-09-03,27.91,28.09,27.8,27.9,22.74,3450200,0.0,0
2015-09-04,27.59,27.66,27.2,27.37,22.3,3076900,0.0,0
2015-09-08,27.77,27.77,27.35,27.65,22.53,3443500,0.0,0
2015-09-09,27.66,27.75,26.88,26.91,22.18,3760000,0.31,0
2015-09-10,26.96,27.49,26.91,27.29,22.49,4777500,0.0,0
2015-09-11,27.2,27.37,26.88,27.32,22.52,4272900,0.0,0
2015-09-14,27.37,27.39,27.06,27.18,22.4,3021700,0.0,0
2015-09-15,27.44,27.63,27.01,27.37,22.56,3355000,0.0,0
2015-09-16,27.37,28.57,27.37,28.45,23.45,7176900,0.0,0
2015-09-17,28.43,29.15,28.38,28.62,23.59,5041300,0.0,0
2015-09-18,28.3,28.66,28.14,28.26,23.29,5816300,0.0,0
2015-09-21,28.31,28.42,28.0,28.25,23.28,3907200,0.0,0
2015-09-22,28.04,28.09,27.61,27.7,22.83,2683700,0.0,0
2015-09-23,27.7,27.74,27.31,27.59,22.74,2631400,0.0,0
2015-09-24,27.42,27.45,27.04,27.25,22.46,2832300,0.0,0
2015-09-25,27.39,27.5,27.06,27.2,22.42,3157400,0.0,0
2015-09-28,27.11,27.19,26.76,26.87,22.14,3079600,0.0,0
2015-09-29,26.85,27.22,26.82,27.06,22.3,3053000,0.0,0
2015-09-30,27.29,27.41,27.11,27.34,22.53,2837500,0.0,0
2015-10-01,27.62,27.62,26.75,27.0,22.25,3270800,0.0,0
2015-10-02,26.84,27.46,26.73,27.45,22.62,2846400,0.0,0
2015-10-05,27.53,27.98,27.5,27.97,23.05,3286600,0.0,0
2015-10-06,27.96,28.01,27.77,27.83,22.94,2650400,0.0,0
2015-10-07,27.92,28.24,27.92,28.15,23.2,3132300,0.0,0
2015-10-08,28.13,28.6,28.08,28.55,23.53,2719800,0.0,0
2015-10-09,28.74,28.88,28.45,28.85,23.78,3782900,0.0,0
2015-10-12,28.77,29.04,28.62,28.75,23.69,2786400,0.0,0
2015-10-13,28.55,29.12,28.54,28.88,23.8,3022500,0.0,0
2015-10-14,28.88,29.13,28.73,28.77,23.71,2251300,0.0,0
2015-10-15,28.88,29.0,28.53,28.94,23.85,3144100,0.0,0
2015-10-16,29.08,29.47,29.04,29.42,24.25,4781800,0.0,0
2015-10-19,29.34,29.49,29.09,29.25,24.11,2233400,0.0,0
2015-10-20,29.2,29.34,28.99,29.14,24.02,2336100,0.0,0
2015-10-21,29.2,29.32,28.98,29.22,24.08,2304000,0.0,0
2015-10-22,29.44,30.07,29.33,30.01,24.73,3499800,0.0,0
2015-10-23,30.09,30.31,29.77,30.03,24.75,3597300,0.0,0
2015-10-26,30.06,30.08,29.18,29.28,24.13,3290800,0.0,0
2015-10-27,29.12,29.26,28.8,29.03,23.92,3459500,0.0,0
2015-10-28,28.77,29.32,28.74,29.28,24.39,4450000,0.31,0
2015-10-29,29.11,29.32,28.83,29.17,24.3,4078300,0.0,0
2015-10-30,29.17,29.66,29.07,29.33,24.43,3846300,0.0,0
2015-11-02,29.79,30.77,29.44,30.75,25.62,6585500,0.0,0
2015-11-03,30.61,31.49,30.5,31.06,25.87,6502100,0.0,0
2015-11-04,31.13,31.17,30.8,30.92,25.76,4064100,0.0,0
2015-11-05,30.92,31.24,30.76,31.08,25.89,3259600,0.0,0
2015-11-06,30.73,30.91,30.33,30.4,25.32,4238500,0.0,0
2015-11-09,28.76,29.87,28.72,29.5,24.57,17175600,0.0,0
