Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,130.55,131.01,128.55,128.83,114.81,1355700,0.0,0
2015-04-28,128.54,132.0,127.62,130.48,116.28,3966500,0.0,0
2015-04-29,116.2,117.05,108.27,108.77,96.93,15694200,0.0,0
2015-04-30,108.59,111.76,108.32,111.07,98.98,5447400,0.0,0
2015-05-01,111.64,113.31,110.0,112.71,100.45,2457100,0.0,0
2015-05-04,113.28,118.93,113.15,117.18,104.43,4627000,0.0,0
2015-05-05,116.82,117.9,115.33,116.44,103.77,2304500,0.0,0
2015-05-06,116.27,116.82,113.17,113.69,101.32,2542300,0.0,0
2015-05-07,113.41,115.8,113.19,113.95,102.0,1598600,0.5,0
2015-05-08,115.02,118.0,114.8,117.84,105.48,2746500,0.0,0
2015-05-11,117.75,117.79,114.0,114.08,102.12,2324400,0.0,0
2015-05-12,113.63,113.98,112.08,112.18,100.42,1575100,0.0,0
2015-05-13,112.39,112.84,110.76,110.97,99.33,1417700,0.0,0
2015-05-14,111.52,111.57,108.55,108.79,97.38,2043400,0.0,0
2015-05-15,107.98,109.23,106.02,106.79,95.59,2770200,0.0,0
2015-05-18,106.29,107.22,105.21,106.86,95.65,2180500,0.0,0
2015-05-19,106.8,107.05,105.44,106.34,95.19,2090400,0.0,0
2015-05-20,106.81,109.2,106.34,107.69,96.4,2225300,0.0,0
2015-05-21,107.51,109.69,107.51,108.1,96.76,1804100,0.0,0
2015-05-22,108.36,108.81,106.47,106.54,95.37,1413800,0.0,0
2015-05-26,106.05,106.29,103.75,104.12,93.2,2635100,0.0,0
2015-05-27,104.57,104.59,102.92,103.56,92.7,1905300,0.0,0
2015-05-28,102.94,103.76,102.4,102.99,92.19,2378500,0.0,0
2015-05-29,102.75,102.99,100.45,100.69,90.13,3005200,0.0,0
2015-06-01,101.03,101.03,97.89,98.29,87.98,3829800,0.0,0
2015-06-02,98.3,101.35,98.05,100.06,89.57,2309200,0.0,0
2015-06-03,100.67,102.8,100.27,102.05,91.35,2582200,0.0,0
2015-06-04,105.63,109.95,105.5,109.44,97.96,5914100,0.0,0
2015-06-05,109.36,109.62,107.37,109.14,97.69,2433000,0.0,0
2015-06-08,105.97,106.26,102.35,102.4,91.66,4158300,0.0,0
2015-06-09,102.2,103.25,101.48,102.28,91.55,2060100,0.0,0
2015-06-10,102.54,103.93,101.53,103.22,92.39,1997700,0.0,0
2015-06-11,103.48,104.58,102.31,104.45,93.5,1374000,0.0,0
2015-06-12,103.81,104.24,102.3,102.79,92.01,1490600,0.0,0
2015-06-15,101.83,103.7,101.79,102.79,92.01,1287000,0.0,0
2015-06-16,102.15,103.84,101.63,102.82,92.04,1823800,0.0,0
2015-06-17,103.39,104.58,102.45,104.26,93.33,1302100,0.0,0
2015-06-18,104.44,106.86,104.44,105.26,94.22,1513300,0.0,0
2015-06-19,105.39,105.47,102.82,103.11,92.3,2849400,0.0,0
2015-06-22,103.5,103.87,100.53,100.95,90.36,1688200,0.0,0
2015-06-23,100.34,100.74,97.76,100.26,89.75,3518200,0.0,0
2015-06-24,99.91,100.24,97.97,98.21,87.91,2292500,0.0,0
2015-06-25,98.73,99.0,97.81,97.99,87.71,1540100,0.0,0
2015-06-26,97.78,97.93,96.29,96.5,86.38,2347500,0.0,0
2015-06-29,93.78,95.99,93.59,93.93,84.08,3082700,0.0,0
2015-06-30,95.9,100.24,95.36,98.67,88.32,4440000,0.0,0
2015-07-01,102.89,107.27,102.45,103.07,92.26,4545000,0.0,0
2015-07-02,104.14,105.0,102.43,103.54,92.68,3017700,0.0,0
2015-07-06,102.23,104.97,102.09,103.88,92.99,2235400,0.0,0
2015-07-07,104.35,112.0,103.22,111.35,99.67,4679300,0.0,0
2015-07-08,108.62,109.5,103.81,104.14,93.22,3677900,0.0,0
2015-07-09,106.26,109.05,104.81,105.2,94.17,2685100,0.0,0
2015-07-10,106.78,106.98,103.52,103.9,93.0,2411700,0.0,0
2015-07-13,108.81,110.31,107.28,107.89,96.58,3514000,0.0,0
2015-07-14,107.6,108.74,106.57,107.26,96.01,1850500,0.0,0
2015-07-15,107.13,107.13,102.45,103.42,92.57,2095100,0.0,0
2015-07-16,104.42,104.88,102.76,103.8,92.91,1161900,0.0,0
2015-07-17,103.8,103.88,101.53,101.71,91.04,1522800,0.0,0
2015-07-20,101.16,102.0,99.85,100.02,89.53,1711100,0.0,0
2015-07-21,100.09,102.09,99.85,101.42,90.78,1287400,0.0,0
2015-07-22,100.92,101.88,99.7,101.25,90.63,1727300,0.0,0
2015-07-23,104.2,105.65,103.01,104.3,93.36,2655700,0.0,0
2015-07-24,104.84,104.84,101.45,102.43,91.69,1641000,0.0,0
2015-07-27,100.03,101.26,98.1,99.23,88.82,2229300,0.0,0
2015-07-28,98.89,99.99,97.38,98.01,87.73,2623600,0.0,0
2015-07-29,98.17,99.8,95.87,96.03,85.96,4079600,0.0,0
2015-07-30,99.24,104.7,99.01,104.12,93.2,5069300,0.0,0
2015-07-31,103.92,105.43,101.81,103.23,92.4,2847300,0.0,0
2015-08-03,103.1,103.72,100.0,100.8,90.23,2355400,0.0,0
2015-08-04,101.1,102.3,99.33,100.3,89.78,1819000,0.0,0
2015-08-05,101.01,103.71,100.8,101.27,90.65,1776900,0.0,0
2015-08-06,100.72,102.61,99.99,100.7,90.14,1818500,0.0,0
2015-08-07,100.43,103.78,100.42,103.14,92.78,1967900,0.5,0
2015-08-10,104.87,104.99,102.7,104.0,93.56,2365300,0.0,0
2015-08-11,102.0,102.14,98.61,99.53,89.54,2669000,0.0,0
