Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,34.97,35.01,34.3,34.41,29.35,2234900,0.0,0
2015-04-28,34.3,34.76,34.18,34.71,29.6,1983000,0.0,0
2015-04-29,34.42,34.57,34.02,34.52,29.44,3585600,0.0,0
2015-04-30,34.34,34.34,33.51,33.91,28.92,4739900,0.0,0
2015-05-01,33.89,34.08,33.56,33.96,28.96,3403800,0.0,0
2015-05-04,33.96,34.66,33.95,34.36,29.3,3386200,0.0,0
2015-05-05,34.25,34.37,33.57,33.65,28.7,3824900,0.0,0
2015-05-06,33.61,33.81,33.12,33.51,28.58,2701800,0.0,0
2015-05-07,33.63,33.85,33.41,33.48,28.55,3473100,0.0,0
2015-05-08,33.86,34.0,33.41,33.62,28.67,2629300,0.0,0
2015-05-11,33.55,33.98,33.36,33.42,28.5,2801600,0.0,0
2015-05-12,33.26,33.33,32.95,33.21,28.32,3132400,0.0,0
2015-05-13,33.28,33.45,32.71,32.85,28.02,3395800,0.0,0
2015-05-14,32.95,33.51,32.95,33.48,28.55,4315800,0.0,0
2015-05-15,33.53,33.84,33.46,33.75,28.78,4337900,0.0,0
2015-05-18,33.65,34.25,33.61,34.16,29.13,3798900,0.0,0
2015-05-19,34.09,34.53,33.99,34.37,29.31,4438700,0.0,0
2015-05-20,34.42,34.85,34.29,34.62,29.53,3416100,0.0,0
2015-05-21,34.63,34.67,34.33,34.51,29.43,2101000,0.0,0
2015-05-22,34.49,34.55,34.24,34.46,29.39,1729700,0.0,0
2015-05-26,34.3,34.31,33.8,33.99,28.99,4066300,0.0,0
2015-05-27,33.96,34.15,33.93,34.1,29.08,2451800,0.0,0
2015-05-28,34.11,34.27,33.96,34.13,29.11,2491900,0.0,0
2015-05-29,34.18,34.25,33.95,34.05,29.04,2535800,0.0,0
2015-06-01,34.14,34.3,33.96,34.07,29.06,2274400,0.0,0
2015-06-02,33.88,33.92,33.13,33.4,28.49,4439500,0.0,0
2015-06-03,33.3,33.43,32.58,32.84,28.01,5414300,0.0,0
2015-06-04,32.7,33.04,32.61,32.77,27.95,3200400,0.0,0
2015-06-05,32.45,32.49,32.04,32.35,27.59,4662000,0.0,0
2015-06-08,32.39,32.49,32.21,32.33,27.57,2412700,0.0,0
2015-06-09,32.31,32.44,32.28,32.36,27.6,2957700,0.0,0
2015-06-10,32.55,32.71,32.31,32.36,27.6,3624400,0.0,0
2015-06-11,32.6,32.85,32.49,32.81,27.98,3348900,0.0,0
2015-06-12,32.63,32.83,32.45,32.7,27.89,4900200,0.0,0
2015-06-15,32.69,32.7,32.41,32.5,27.72,2619200,0.0,0
2015-06-16,32.2,32.5,32.01,32.38,27.89,2370400,0.32,0
2015-06-17,32.37,32.62,32.18,32.57,28.05,2880100,0.0,0
2015-06-18,32.6,33.12,32.49,33.05,28.47,2501500,0.0,0
2015-06-19,33.04,33.13,32.75,32.77,28.23,2887300,0.0,0
2015-06-22,32.62,32.86,32.55,32.7,28.17,1671300,0.0,0
2015-06-23,32.66,32.66,32.14,32.23,27.76,3014300,0.0,0
2015-06-24,32.24,32.34,31.96,31.99,27.55,3481800,0.0,0
2015-06-25,32.09,32.09,31.87,31.92,27.49,3032700,0.0,0
2015-06-26,31.91,32.28,31.76,32.24,27.77,2654800,0.0,0
2015-06-29,32.24,32.62,32.14,32.17,27.71,3643700,0.0,0
2015-06-30,32.26,32.38,32.02,32.18,27.72,4141900,0.0,0
2015-07-01,32.23,32.53,32.12,32.5,27.99,3625600,0.0,0
2015-07-02,32.83,33.0,32.61,32.82,28.27,2794700,0.0,0
2015-07-06,32.79,32.99,32.64,32.94,28.37,2641700,0.0,0
2015-07-07,33.13,33.96,33.06,33.89,29.19,3592200,0.0,0
2015-07-08,33.72,34.01,33.61,33.71,29.04,2893300,0.0,0
2015-07-09,33.75,33.88,33.17,33.33,28.71,2072600,0.0,0
2015-07-10,33.4,33.78,33.27,33.55,28.9,2825100,0.0,0
2015-07-13,33.68,33.84,33.36,33.54,28.89,2386600,0.0,0
2015-07-14,33.58,33.73,33.37,33.54,28.89,1421700,0.0,0
2015-07-15,33.55,33.67,33.32,33.62,28.96,1663600,0.0,0
2015-07-16,33.72,34.18,33.66,34.12,29.39,2154100,0.0,0
2015-07-17,33.99,34.01,33.69,33.7,29.03,2356000,0.0,0
2015-07-20,33.65,33.7,33.21,33.48,28.84,2645100,0.0,0
2015-07-21,33.41,33.49,33.02,33.15,28.55,2352500,0.0,0
2015-07-22,33.16,33.49,33.1,33.4,28.77,2511900,0.0,0
2015-07-23,33.33,33.34,32.73,32.91,28.35,2959400,0.0,0
2015-07-24,32.91,33.02,32.79,32.86,28.3,2329100,0.0,0
2015-07-27,32.89,33.47,32.82,33.34,28.72,3091800,0.0,0
2015-07-28,33.32,33.61,33.19,33.59,28.93,2364400,0.0,0
2015-07-29,33.54,33.76,33.29,33.73,29.05,2424700,0.0,0
2015-07-30,33.7,34.38,33.13,34.21,29.47,4738100,0.0,0
2015-07-31,34.43,35.15,34.3,34.67,29.86,5335800,0.0,0
2015-08-03,34.69,34.87,34.4,34.53,29.74,2849400,0.0,0
2015-08-04,34.51,34.52,34.07,34.15,29.42,1962700,0.0,0
2015-08-05,34.33,34.45,34.09,34.42,29.65,3176000,0.0,0
2015-08-06,34.37,34.85,34.24,34.83,30.0,3942200,0.0,0
2015-08-07,34.73,35.4,34.59,35.25,30.36,2568300,0.0,0
2015-08-10,35.23,35.27,34.87,34.94,30.1,2813700,0.0,0
2015-08-11,35.01,35.45,34.84,35.37,30.47,3270900,0.0,0
2015-08-12,35.31,35.9,35.22,35.72,30.77,3889000,0.0,0
2015-08-13,35.63,35.69,35.19,35.56,30.63,2410700,0.0,0
2015-08-14,35.5,35.85,35.26,35.8,30.84,1568900,0.0,0
2015-08-17,35.82,36.11,35.72,35.99,31.0,2788600,0.0,0
