Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,43.03,43.66,42.87,43.25,38.85,2776000,0.0,0
2015-04-28,43.22,43.58,42.7,43.33,38.92,2336400,0.0,0
2015-04-29,43.01,43.63,42.83,43.34,38.93,1999400,0.0,0
2015-04-30,43.2,43.81,42.99,43.36,38.95,2629200,0.0,0
2015-05-01,43.74,44.11,43.66,43.98,39.51,3441600,0.0,0
2015-05-04,44.03,44.41,43.97,44.26,39.76,2003300,0.0,0
2015-05-05,43.83,43.97,43.47,43.55,39.12,2132100,0.0,0
2015-05-06,43.52,43.98,42.82,43.17,38.78,1920100,0.0,0
2015-05-07,43.22,43.9,43.07,43.43,39.01,2220500,0.0,0
2015-05-08,43.82,44.3,43.64,44.2,39.71,2965600,0.0,0
2015-05-11,44.0,44.08,43.69,43.88,39.7,1345900,0.31,0
2015-05-12,43.64,43.94,43.2,43.62,39.46,1790100,0.0,0
2015-05-13,43.6,44.15,43.43,43.73,39.56,1526900,0.0,0
2015-05-14,44.06,46.83,44.04,44.99,40.7,6319500,0.0,0
2015-05-15,45.04,45.74,44.98,45.7,41.34,5298900,0.0,0
2015-05-18,45.78,46.69,45.7,46.61,42.17,4269800,0.0,0
2015-05-19,47.27,47.3,46.58,46.68,42.23,3241500,0.0,0
2015-05-20,46.63,47.45,46.59,46.97,42.49,2530100,0.0,0
2015-05-21,46.88,47.25,46.53,46.83,42.37,4066400,0.0,0
2015-05-22,46.69,47.13,46.64,46.94,42.46,1887400,0.0,0
2015-05-26,46.84,46.84,46.27,46.55,42.11,2690100,0.0,0
2015-05-27,46.51,47.95,46.5,47.67,43.12,4155800,0.0,0
2015-05-28,47.68,48.73,47.51,47.8,43.24,4016300,0.0,0
2015-05-29,48.02,48.44,47.32,47.42,42.9,5359700,0.0,0
2015-06-01,48.08,48.53,47.92,48.33,43.72,6440100,0.0,0
2015-06-02,48.06,48.28,47.57,47.78,43.22,3710200,0.0,0
