Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,87.41,87.6,86.76,87.01,71.24,10534600,0.0,0
2015-04-28,87.22,87.86,87.04,87.8,71.89,9633800,0.0,0
2015-04-29,87.5,88.07,86.96,87.87,71.95,12534100,0.0,0
2015-04-30,88.67,88.67,87.22,87.37,71.54,13947700,0.0,0
2015-05-01,87.85,88.95,87.7,88.85,72.75,12257100,0.0,0
2015-05-04,89.42,89.88,88.95,89.11,72.96,10343700,0.0,0
2015-05-05,89.97,90.09,88.52,88.61,72.55,11895000,0.0,0
2015-05-06,89.65,89.96,87.79,88.19,72.21,11273500,0.0,0
2015-05-07,88.0,88.1,86.92,87.6,71.72,9992500,0.0,0
2015-05-08,88.47,89.07,87.82,88.99,72.86,11390300,0.0,0
2015-05-11,88.53,88.57,86.65,86.78,71.64,11997800,0.73,0
2015-05-12,86.89,87.46,86.42,87.02,71.84,9788900,0.0,0
2015-05-13,87.28,87.73,86.4,86.56,71.46,8629400,0.0,0
2015-05-14,86.93,87.34,86.75,86.97,71.8,8791300,0.0,0
2015-05-15,86.8,87.62,86.6,87.35,72.11,8422200,0.0,0
2015-05-18,87.31,87.46,86.78,86.85,71.7,6395400,0.0,0
2015-05-19,86.47,87.21,86.21,86.99,71.81,9777100,0.0,0
2015-05-20,87.39,87.4,86.91,87.13,71.93,7276600,0.0,0
2015-05-21,87.28,87.44,86.96,87.21,72.0,8357400,0.0,0
2015-05-22,86.99,87.1,86.5,86.52,71.43,7598400,0.0,0
2015-05-26,86.04,86.37,85.03,85.35,70.46,11289000,0.0,0
2015-05-27,85.3,85.89,84.77,85.11,70.26,10778300,0.0,0
2015-05-28,85.11,85.57,84.82,85.11,70.26,8038900,0.0,0
2015-05-29,85.1,85.58,84.88,85.2,70.34,14631300,0.0,0
2015-06-01,85.25,85.47,84.8,85.13,70.28,9077500,0.0,0
2015-06-02,85.12,85.59,84.91,85.14,70.29,9328300,0.0,0
2015-06-03,85.23,85.84,84.86,84.95,70.13,8179500,0.0,0
2015-06-04,84.7,84.89,83.78,84.22,69.53,12607300,0.0,0
2015-06-05,84.13,85.0,83.98,84.28,69.58,11388500,0.0,0
2015-06-08,84.18,85.21,83.93,84.85,70.05,12244700,0.0,0
2015-06-09,85.29,85.43,84.49,84.58,69.82,8105500,0.0,0
2015-06-10,85.84,85.97,85.0,85.21,70.34,10147000,0.0,0
2015-06-11,85.3,85.7,84.89,85.09,70.25,7759300,0.0,0
2015-06-12,84.58,84.68,83.86,84.02,69.36,8347300,0.0,0
2015-06-15,83.53,83.98,83.19,83.72,69.11,9563900,0.0,0
2015-06-16,83.81,84.75,83.4,84.68,69.91,9100100,0.0,0
2015-06-17,85.03,85.13,84.41,84.73,69.95,9090200,0.0,0
2015-06-18,84.8,85.96,84.72,85.48,70.57,10247800,0.0,0
2015-06-19,84.92,85.48,84.92,85.21,70.34,16129600,0.0,0
2015-06-22,85.39,85.6,84.97,85.17,70.31,9465100,0.0,0
2015-06-23,85.22,85.28,84.59,85.07,70.23,10223900,0.0,0
2015-06-24,84.89,85.34,84.66,84.68,69.91,11800100,0.0,0
2015-06-25,84.85,84.85,83.93,83.93,69.29,10259400,0.0,0
2015-06-26,83.83,84.1,83.49,83.86,69.23,19023300,0.0,0
2015-06-29,83.05,83.45,82.8,82.82,68.37,11739200,0.0,0
2015-06-30,83.74,84.9,82.8,83.2,68.69,14981100,0.0,0
2015-07-01,83.28,83.53,82.11,82.37,68.0,13529100,0.0,0
2015-07-02,82.79,83.28,82.55,83.14,68.64,9188000,0.0,0
2015-07-06,82.42,83.06,82.12,82.53,68.13,11694400,0.0,0
2015-07-07,82.19,83.23,81.49,82.87,68.41,15641500,0.0,0
2015-07-08,82.25,82.98,81.91,81.97,67.67,10057000,0.0,0
2015-07-09,82.87,83.15,81.58,81.6,67.36,11980500,0.0,0
2015-07-10,82.09,82.49,81.72,82.22,67.88,8628700,0.0,0
2015-07-13,82.11,82.61,82.07,82.42,68.04,8026700,0.0,0
2015-07-14,82.38,83.32,82.26,83.11,68.61,9310200,0.0,0
2015-07-15,82.61,83.42,82.4,82.76,68.32,9289200,0.0,0
2015-07-16,83.18,83.48,82.8,82.91,68.45,8267600,0.0,0
2015-07-17,82.51,82.84,81.79,82.61,68.2,12156000,0.0,0
2015-07-20,82.15,82.41,81.6,81.76,67.5,12957100,0.0,0
2015-07-21,81.93,82.43,81.43,81.66,67.41,8677100,0.0,0
2015-07-22,82.35,82.47,81.58,81.79,67.52,13181500,0.0,0
2015-07-23,81.73,81.97,80.97,81.14,66.98,10496100,0.0,0
2015-07-24,81.16,81.16,79.72,79.94,65.99,14888500,0.0,0
2015-07-27,79.23,80.13,78.97,79.26,65.43,14996100,0.0,0
2015-07-28,79.7,82.67,79.57,82.48,68.09,19777300,0.0,0
2015-07-29,82.18,83.2,81.91,83.14,68.64,13913800,0.0,0
2015-07-30,83.18,83.32,82.42,83.01,68.53,11139900,0.0,0
2015-07-31,81.67,81.67,78.93,79.21,65.39,26232700,0.0,0
2015-08-03,78.7,78.93,77.63,78.06,64.44,15767700,0.0,0
2015-08-04,77.88,78.61,76.93,77.17,63.71,18874400,0.0,0
2015-08-05,77.87,78.23,76.9,77.17,63.71,16544400,0.0,0
2015-08-06,76.94,78.26,76.91,78.09,64.47,13005200,0.0,0
2015-08-07,77.55,77.97,76.62,76.83,63.43,12187600,0.0,0
2015-08-10,77.09,78.75,77.09,78.75,65.01,14876000,0.0,0
2015-08-11,77.01,78.07,76.33,77.49,64.57,14486400,0.73,0
2015-08-12,77.44,78.87,76.96,78.79,65.65,16492400,0.0,0
2015-08-13,78.32,79.29,78.27,78.65,65.54,13154100,0.0,0
2015-08-14,78.64,79.28,78.25,78.36,65.3,9129300,0.0,0
2015-08-17,77.93,79.18,77.45,78.77,65.64,9365400,0.0,0
2015-08-18,78.53,78.67,77.58,77.9,64.91,9815300,0.0,0
2015-08-19,77.51,77.58,75.93,76.23,63.52,17010100,0.0,0
2015-08-20,76.0,76.18,74.57,74.57,62.14,17811200,0.0,0
2015-08-21,74.1,74.89,72.07,72.13,60.1,25488800,0.0,0
2015-08-24,67.99,71.38,66.55,68.72,57.26,35531200,0.0,0
2015-08-25,71.31,71.44,68.2,68.71,57.25,30409700,0.0,0
2015-08-26,70.63,72.75,69.15,72.5,60.41,34436000,0.0,0
