Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,31.3,31.3,30.17,30.62,27.06,10155200,0.0,0.0
2015-04-28,30.46,30.96,29.99,30.91,27.31,5972800,0.0,0.0
2015-04-29,30.67,31.04,30.33,30.38,26.85,6932400,0.0,0.0
2015-04-30,30.46,30.46,29.72,30.3,26.78,7807500,0.0,0.0
2015-05-01,30.43,30.67,30.3,30.36,26.83,5928900,0.0,0.0
2015-05-04,30.43,31.17,30.36,31.01,27.41,4039200,0.0,0.0
2015-05-05,30.99,31.25,30.25,30.43,26.89,4853200,0.0,0.0
2015-05-06,30.72,30.88,29.78,29.99,26.5,4686500,0.0,0.0
2015-05-07,30.14,30.38,29.75,29.83,26.36,5389000,0.0,0.0
2015-05-08,30.25,30.25,29.83,29.96,26.48,4686600,0.0,0.0
2015-05-11,29.93,30.09,29.46,29.62,26.17,7393300,0.0,0.0
2015-05-12,29.51,29.67,29.3,29.41,25.99,6375900,0.0,0.0
2015-05-13,29.46,29.78,29.43,29.62,26.17,3510400,0.0,0.0
2015-05-14,29.64,29.96,29.62,29.78,26.31,2891800,0.0,0.0
2015-05-15,29.86,30.04,29.67,29.96,26.48,2540100,0.0,0.0
2015-05-18,29.83,30.43,29.83,30.25,26.73,2448000,0.0,0.0
2015-05-19,30.25,30.41,29.67,29.83,26.36,4680800,0.0,0.0
2015-05-20,29.96,30.41,29.86,30.2,26.69,2669700,0.0,0.0
2015-05-21,30.09,30.51,30.07,30.33,26.8,2563300,0.0,0.0
2015-05-22,30.25,30.33,30.07,30.14,26.64,2609700,0.0,0.0
2015-05-26,30.01,30.12,29.51,29.54,26.1,2599200,0.0,0.0
2015-05-27,29.72,30.17,29.64,30.12,26.62,3762300,0.0,0.0
2015-05-28,30.01,30.46,29.96,30.3,26.78,2425000,0.0,0.0
2015-05-29,30.25,30.3,29.86,30.09,26.59,3684700,0.0,0.0
2015-06-01,30.14,30.41,29.93,30.2,26.69,2592200,0.0,0.0
2015-06-02,30.22,30.43,30.09,30.25,26.73,2507200,0.0,0.0
2015-06-03,30.3,30.62,30.25,30.38,26.85,2443300,0.0,0.0
2015-06-04,30.25,30.41,29.67,29.8,26.34,3097200,0.0,0.0
2015-06-05,29.78,29.88,29.38,29.67,26.22,2310300,0.0,0.0
2015-06-08,29.64,29.78,29.09,29.12,25.73,3072400,0.0,0.0
2015-06-09,29.2,29.28,28.8,29.06,25.68,3186700,0.0,0.0
2015-06-10,29.22,29.86,29.14,29.67,26.22,2665700,0.0,0.0
2015-06-11,29.86,30.25,29.8,29.96,26.48,2708600,0.0,0.0
2015-06-12,29.8,29.93,29.35,29.43,26.01,2461900,0.0,0.0
2015-06-15,29.12,29.38,28.96,29.12,25.73,2105500,0.0,0.0
2015-06-16,29.12,29.25,28.96,29.09,25.71,3461400,0.0,0.0
2015-06-17,29.17,29.46,29.12,29.28,25.87,2371500,0.0,0.0
2015-06-18,29.35,29.62,29.25,29.35,25.94,2487300,0.0,0.0
2015-06-19,29.3,29.51,29.06,29.22,25.82,5290100,0.0,0.0
2015-06-22,29.38,29.49,29.22,29.33,25.92,2736900,0.0,0.0
2015-06-23,29.46,29.7,29.33,29.64,26.2,2414100,0.0,0.0
2015-06-24,29.59,29.62,28.96,28.96,25.59,3133100,0.0,0.0
2015-06-25,29.04,29.22,28.96,29.01,25.64,3914600,0.0,0.0
2015-06-26,28.88,29.04,28.77,28.93,25.63,3309200,0.07,0.0
2015-06-29,28.67,28.88,28.35,28.41,25.16,3592800,0.0,0.0
2015-06-30,28.56,28.72,28.04,28.04,24.84,3837600,0.0,0.0
