Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,35.73,36.31,35.7,36.3,33.97,798400,0.0,0
2015-04-28,36.13,36.38,35.92,36.37,34.03,913100,0.0,0
2015-04-29,36.16,36.77,36.15,36.63,34.28,1706100,0.0,0
2015-04-30,36.65,37.48,36.13,37.02,34.64,1920800,0.0,0
2015-05-01,37.29,37.32,36.23,37.14,34.75,1650300,0.0,0
2015-05-04,37.16,37.25,36.73,36.9,34.53,920200,0.0,0
2015-05-05,36.99,37.48,36.57,36.64,34.29,946900,0.0,0
2015-05-06,36.77,36.9,36.27,36.53,34.18,774600,0.0,0
2015-05-07,36.52,36.71,36.24,36.69,34.33,636400,0.0,0
2015-05-08,37.11,37.16,36.85,36.9,34.53,1238200,0.0,0
2015-05-11,36.85,37.12,36.74,36.81,34.44,976000,0.0,0
2015-05-12,36.55,36.73,36.26,36.49,34.15,821600,0.0,0
2015-05-13,36.66,36.97,36.65,36.79,34.43,942200,0.0,0
2015-05-14,36.96,37.1,36.78,37.09,34.71,834800,0.0,0
2015-05-15,37.08,37.15,36.68,36.83,34.46,918000,0.0,0
2015-05-18,36.83,37.05,36.75,37.01,34.63,618200,0.0,0
2015-05-19,37.05,37.14,36.67,36.78,34.42,630600,0.0,0
2015-05-20,36.78,36.95,36.64,36.81,34.44,533100,0.0,0
2015-05-21,36.75,37.2,36.72,37.14,34.75,1343000,0.0,0
2015-05-22,37.12,37.15,36.8,36.99,34.61,576400,0.0,0
2015-05-26,36.78,36.85,36.27,36.34,34.13,482000,0.1408,0
2015-05-27,36.41,36.57,36.19,36.5,34.28,589600,0.0,0
2015-05-28,36.36,36.81,36.16,36.7,34.47,1088700,0.0,0
2015-05-29,36.7,36.87,36.42,36.57,34.35,1275800,0.0,0
2015-06-01,36.73,36.76,36.31,36.6,34.38,762000,0.0,0
2015-06-02,36.52,37.07,36.43,36.69,34.46,1009200,0.0,0
2015-06-03,36.69,37.04,36.57,36.96,34.72,455100,0.0,0
2015-06-04,36.75,36.75,36.32,36.42,34.21,612400,0.0,0
2015-06-05,36.21,36.41,36.08,36.38,34.17,725200,0.0,0
2015-06-08,36.36,36.51,36.07,36.14,33.95,453100,0.0,0
