Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,62.62,62.85,62.11,62.26,56.14,5419700,0.0,0.0
2015-04-28,62.03,62.72,61.75,62.43,56.29,4204100,0.0,0.0
2015-04-29,62.03,62.38,61.86,62.01,55.91,3999900,0.0,0.0
2015-04-30,61.87,62.41,61.55,61.8,55.72,3588300,0.0,0.0
2015-05-01,62.19,66.13,62.16,66.07,59.57,23842700,0.0,0.0
2015-05-04,66.1,67.67,65.41,65.43,59.0,14124900,0.0,0.0
2015-05-05,64.92,65.13,64.58,64.69,58.34,6820600,0.0,0.0
2015-05-06,64.88,65.0,63.89,64.13,57.83,4096700,0.0,0.0
2015-05-07,64.28,65.08,63.94,64.8,58.43,4677500,0.0,0.0
2015-05-08,65.42,65.97,64.61,64.62,58.26,6767600,0.0,0.0
2015-05-11,64.67,65.08,64.44,64.51,58.17,6062800,0.0,0.0
2015-05-12,64.14,65.33,64.04,64.98,58.6,4013300,0.0,0.0
2015-05-13,64.8,65.33,64.48,64.63,58.28,2345500,0.0,0.0
2015-05-14,64.97,65.23,64.53,64.72,58.36,2787700,0.0,0.0
2015-05-15,65.95,67.65,65.49,67.55,60.91,8643600,0.0,0.0
2015-05-18,67.43,68.21,66.82,67.28,60.67,5122700,0.0,0.0
2015-05-19,67.48,68.26,67.11,67.8,61.14,6642400,0.0,0.0
2015-05-20,68.26,68.94,67.69,68.21,61.51,4932400,0.0,0.0
2015-05-21,67.96,68.02,66.96,67.17,60.57,4710300,0.0,0.0
2015-05-22,67.12,67.16,65.59,65.81,59.34,7836600,0.0,0.0
2015-05-26,65.77,66.29,65.2,65.81,59.34,4183000,0.0,0.0
2015-05-27,66.52,66.76,65.88,66.13,59.63,4778900,0.0,0.0
2015-05-28,66.1,66.28,65.52,66.0,59.51,3937000,0.0,0.0
2015-05-29,65.83,65.99,64.55,64.78,58.41,5159400,0.0,0.0
2015-06-01,64.6,65.3,64.37,64.9,58.52,3448200,0.0,0.0
2015-06-02,64.86,65.26,64.54,64.61,58.26,3006300,0.0,0.0
2015-06-03,65.11,66.33,64.7,65.82,59.35,6914300,0.0,0.0
2015-06-04,65.24,65.49,64.85,65.08,58.68,3295800,0.0,0.0
2015-06-05,64.97,65.53,64.82,65.27,58.85,2233600,0.0,0.0
2015-06-08,65.1,65.72,65.02,65.06,58.67,3706100,0.0,0.0
