Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,97.3,97.63,94.48,94.81,94.81,291500,0,0
2015-04-28,94.55,95.64,93.31,95.27,95.27,303400,0,0
2015-04-29,95.12,95.2,93.13,94.16,94.16,369700,0,0
2015-04-30,93.46,94.14,91.32,92.08,92.08,404600,0,0
2015-05-01,91.66,93.11,91.26,92.5,92.5,359100,0,0
2015-05-04,92.7,93.15,91.7,92.03,92.03,289700,0,0
2015-05-05,91.62,91.93,89.92,90.49,90.49,369200,0,0
2015-05-06,90.7,90.7,89.19,89.68,89.68,309500,0,0
2015-05-07,89.68,91.47,89.39,91.27,91.27,353400,0,0
2015-05-08,92.45,93.27,91.65,92.78,92.78,372100,0,0
2015-05-11,93.02,93.76,92.15,93.06,93.06,477100,0,0
2015-05-12,92.17,93.79,92.0,93.66,93.66,556800,0,0
2015-05-13,98.41,107.08,98.12,106.75,106.75,2153500,0,0
2015-05-14,106.65,109.77,105.27,108.2,108.2,1066200,0,0
2015-05-15,108.06,109.75,108.06,109.49,109.49,651100,0,0
2015-05-18,109.6,111.45,109.35,109.74,109.74,639200,0,0
2015-05-19,109.8,110.81,109.31,109.67,109.67,443100,0,0
2015-05-20,109.75,110.82,108.87,108.98,108.98,594500,0,0
2015-05-21,109.02,109.85,107.33,109.34,109.34,487700,0,0
2015-05-22,109.33,110.31,108.68,109.65,109.65,264100,0,0
2015-05-26,109.38,109.38,107.4,107.99,107.99,318500,0,0
2015-05-27,108.0,108.0,106.61,107.23,107.23,708500,0,0
2015-05-28,107.23,109.68,107.08,109.4,109.4,344600,0,0
2015-05-29,110.28,111.11,109.64,109.64,109.64,458900,0,0
2015-06-01,110.29,111.18,109.28,110.34,110.34,354200,0,0
2015-06-02,109.78,114.82,108.79,114.09,114.09,856400,0,0
2015-06-03,114.85,115.21,114.0,114.07,114.07,515700,0,0
2015-06-04,113.95,114.51,112.8,113.47,113.47,274300,0,0
2015-06-05,113.51,114.35,112.37,114.29,114.29,336700,0,0
2015-06-08,114.31,114.76,112.39,112.95,112.95,305600,0,0
2015-06-09,113.02,113.1,110.23,112.48,112.48,334500,0,0
2015-06-10,112.8,115.91,112.8,115.68,115.68,554800,0,0
2015-06-11,116.07,116.92,114.71,115.57,115.57,374700,0,0
2015-06-12,114.25,115.56,114.04,114.65,114.65,195300,0,0
2015-06-15,114.09,114.36,112.21,114.26,114.26,215200,0,0
2015-06-16,115.0,116.02,113.31,113.68,113.68,274300,0,0
2015-06-17,113.84,114.91,112.57,112.97,112.97,260600,0,0
