Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,47.98,47.99,46.74,46.83,45.24,2684100,0.0,0
2015-04-28,46.72,46.82,45.64,45.73,44.18,4492400,0.0,0
2015-04-29,45.5,45.94,45.1,45.22,43.69,3997600,0.0,0
2015-04-30,45.08,45.45,44.31,44.42,42.91,4330200,0.0,0
2015-05-01,44.73,44.91,44.39,44.61,43.1,5835100,0.0,0
2015-05-04,44.75,45.56,44.71,45.4,43.86,4782900,0.0,0
2015-05-05,47.13,47.44,45.13,45.68,44.13,7681200,0.0,0
2015-05-06,45.93,45.94,45.19,45.29,43.75,4441400,0.0,0
2015-05-07,45.33,45.75,45.03,45.56,44.02,2427000,0.0,0
2015-05-08,45.99,46.09,45.57,45.9,44.34,2548200,0.0,0
2015-05-11,45.91,46.35,45.67,46.09,44.53,3405100,0.0,0
2015-05-12,45.72,45.86,45.34,45.58,44.03,2230400,0.0,0
2015-05-13,45.62,46.0,45.42,45.62,44.07,2159800,0.0,0
2015-05-14,45.87,46.32,45.48,46.28,44.71,1959600,0.0,0
2015-05-15,46.52,46.91,46.43,46.49,44.91,2831500,0.0,0
2015-05-18,46.45,46.77,46.32,46.73,45.15,2890600,0.0,0
2015-05-19,46.88,47.69,46.74,47.45,45.84,3845700,0.0,0
2015-05-20,47.47,47.81,46.99,47.28,45.68,2206600,0.0,0
2015-05-21,47.33,47.89,47.05,47.8,46.18,3599300,0.0,0
2015-05-22,47.71,47.84,47.5,47.63,46.02,1832300,0.0,0
2015-05-26,47.52,48.05,47.51,47.95,46.32,3999500,0.0,0
2015-05-27,47.98,49.48,47.67,49.45,47.77,5447800,0.0,0
2015-05-28,49.29,49.55,48.4,49.11,47.45,4934000,0.0,0
2015-05-29,49.44,49.96,49.13,49.77,48.08,5617100,0.0,0
2015-06-01,49.92,50.37,49.37,49.78,48.09,4496100,0.0,0
2015-06-02,49.72,49.97,48.9,49.58,47.9,2680500,0.0,0
2015-06-03,49.88,49.9,49.34,49.55,47.87,1976000,0.0,0
2015-06-04,49.05,49.59,48.85,48.9,47.24,2080700,0.0,0
2015-06-05,48.7,49.17,48.41,49.01,47.35,2412000,0.0,0
2015-06-08,48.75,49.22,48.74,48.8,47.15,1906400,0.0,0
2015-06-09,48.67,49.37,48.52,49.24,47.57,2675500,0.0,0
2015-06-10,49.41,49.9,49.0,49.69,48.01,2012100,0.0,0
2015-06-11,49.8,50.04,49.6,49.87,48.18,2055700,0.0,0
2015-06-12,49.63,49.86,49.01,49.08,47.42,2033300,0.0,0
2015-06-15,48.84,49.35,48.71,49.27,47.6,3015000,0.0,0
2015-06-16,49.3,49.73,48.9,49.71,48.02,1817900,0.0,0
2015-06-17,49.75,50.37,49.71,50.17,48.47,2804400,0.0,0
2015-06-18,50.29,50.6,50.16,50.5,48.79,3696100,0.0,0
2015-06-19,50.36,50.62,50.2,50.24,48.54,2906800,0.0,0
2015-06-22,50.6,50.7,50.07,50.22,48.52,2040400,0.0,0
2015-06-23,50.41,50.85,50.24,50.47,48.76,2104100,0.0,0
2015-06-24,50.25,50.3,49.71,49.71,48.02,2561900,0.0,0
2015-06-25,49.84,55.38,49.57,55.38,53.5,3228100,0.0,0
2015-06-26,53.93,54.0,48.26,48.62,46.97,20823300,0.0,0
2015-06-29,48.51,48.69,47.04,47.07,45.47,5149400,0.0,0
2015-06-30,47.67,48.61,47.21,48.22,46.59,4268800,0.0,0
2015-07-01,48.75,49.04,47.83,48.43,46.79,5532100,0.0,0
2015-07-02,48.6,48.66,47.89,48.31,46.67,2070900,0.0,0
2015-07-06,48.04,48.4,47.77,48.4,46.76,3088100,0.0,0
2015-07-07,48.54,48.78,47.1,47.88,46.26,5656200,0.0,0
2015-07-08,47.35,47.43,46.46,46.48,44.9,3452800,0.0,0
2015-07-09,47.11,47.37,46.56,46.57,44.99,3417400,0.0,0
2015-07-10,47.0,47.19,46.82,46.96,45.37,2917500,0.0,0
2015-07-13,47.1,47.44,46.84,47.04,45.45,3050000,0.0,0
2015-07-14,47.04,47.56,46.28,47.46,45.85,5636300,0.0,0
2015-07-15,47.5,47.63,47.01,47.11,45.51,2099400,0.0,0
2015-07-16,47.39,48.22,47.39,48.0,46.37,3423500,0.0,0
2015-07-17,48.0,48.3,47.72,47.8,46.18,2324000,0.0,0
2015-07-20,48.1,49.03,48.02,48.98,47.32,3364200,0.0,0
2015-07-21,49.7,49.75,48.93,49.12,47.45,4412700,0.0,0
2015-07-22,49.05,50.06,49.02,50.02,48.32,2937300,0.0,0
2015-07-23,49.96,50.39,49.51,49.85,48.16,2457900,0.0,0
2015-07-24,49.9,50.3,49.33,49.49,47.81,2081000,0.0,0
2015-07-27,49.39,49.57,48.77,49.48,47.8,1683500,0.0,0
2015-07-28,49.52,49.57,48.17,48.85,47.19,4846300,0.0,0
2015-07-29,49.1,49.16,47.87,48.4,46.76,3629900,0.0,0
2015-07-30,47.96,48.72,47.96,48.55,46.9,1576800,0.0,0
2015-07-31,48.82,49.45,48.74,48.98,47.32,2539800,0.0,0
2015-08-03,49.16,49.49,47.99,48.48,46.84,3559500,0.0,0
2015-08-04,49.11,50.0,48.28,48.85,47.19,4867300,0.0,0
2015-08-05,48.95,49.12,48.52,48.61,46.96,4118200,0.0,0
2015-08-06,49.56,50.25,47.97,48.28,46.64,3223400,0.0,0
2015-08-07,48.12,48.47,47.44,48.31,46.67,3466000,0.0,0
2015-08-10,48.5,49.09,48.28,48.39,46.75,3064500,0.0,0
2015-08-11,48.07,48.54,47.84,48.21,46.66,1946700,0.083,0
2015-08-12,47.9,48.08,46.88,47.86,46.32,3520300,0.0,0
2015-08-13,47.82,48.38,47.6,47.66,46.12,2574800,0.0,0
2015-08-14,47.65,47.65,46.94,47.47,45.94,2594500,0.0,0
2015-08-17,47.3,48.71,47.26,48.69,47.12,1849600,0.0,0
2015-08-18,48.59,48.78,47.69,47.73,46.19,2847800,0.0,0
2015-08-19,47.45,48.18,47.22,47.91,46.37,2153500,0.0,0
2015-08-20,47.36,47.68,46.28,46.38,44.88,2515600,0.0,0
2015-08-21,45.85,46.32,45.01,45.02,43.57,3775200,0.0,0
2015-08-24,42.51,44.97,37.73,43.53,42.13,5725500,0.0,0
2015-08-25,44.59,44.84,42.56,42.56,41.19,3814300,0.0,0
2015-08-26,43.55,44.33,41.99,44.25,42.82,5873300,0.0,0
2015-08-27,44.71,46.15,44.11,45.86,44.38,4602100,0.0,0
2015-08-28,46.01,46.13,45.06,45.78,44.3,2711400,0.0,0
2015-08-31,45.74,45.91,44.77,44.87,43.42,2580000,0.0,0
2015-09-01,43.95,44.89,43.78,43.98,42.56,4346100,0.0,0
2015-09-02,44.52,45.16,43.9,45.12,43.67,2699700,0.0,0
2015-09-03,45.32,45.62,44.32,44.53,43.09,2932500,0.0,0
2015-09-04,43.97,44.73,43.53,44.01,42.59,4195500,0.0,0
2015-09-08,44.72,44.94,43.82,44.89,43.44,4134900,0.0,0
2015-09-09,45.18,45.26,43.85,43.95,42.53,2964700,0.0,0
2015-09-10,43.93,44.93,43.8,44.34,42.91,2871200,0.0,0
2015-09-11,44.6,45.13,44.12,45.0,43.55,2476200,0.0,0
2015-09-14,44.87,45.0,44.19,44.47,43.04,2182200,0.0,0
2015-09-15,44.7,45.13,44.48,45.06,43.61,1999900,0.0,0
2015-09-16,44.79,44.85,43.7,44.51,43.07,4242600,0.0,0
2015-09-17,44.75,46.63,44.75,46.01,44.53,5470500,0.0,0
2015-09-18,45.31,45.7,44.9,45.12,43.67,8078600,0.0,0
2015-09-21,45.28,45.57,44.11,44.5,43.07,2502700,0.0,0
2015-09-22,44.01,44.52,43.74,44.23,42.8,2368400,0.0,0
2015-09-23,44.2,44.66,43.99,44.32,42.89,1802500,0.0,0
2015-09-24,44.13,44.2,43.01,43.59,42.18,3202000,0.0,0
2015-09-25,44.11,44.14,41.88,42.51,41.14,3498000,0.0,0
2015-09-28,42.27,42.3,39.38,39.96,38.67,8954900,0.0,0
2015-09-29,40.3,40.77,38.98,39.65,38.37,7328400,0.0,0
2015-09-30,40.63,41.22,40.35,41.18,39.85,4954100,0.0,0
2015-10-01,41.07,41.34,40.37,41.29,39.96,4131800,0.0,0
2015-10-02,40.63,43.04,40.49,43.02,41.63,4036800,0.0,0
2015-10-05,43.15,43.39,42.35,42.85,41.47,5467700,0.0,0
2015-10-06,42.78,43.1,41.19,41.39,40.06,4622200,0.0,0
2015-10-07,41.59,42.71,41.23,42.67,41.29,4157200,0.0,0
2015-10-08,42.56,43.4,41.98,43.22,41.83,4434600,0.0,0
2015-10-09,43.11,43.31,42.77,42.8,41.42,2863000,0.0,0
2015-10-12,42.88,43.07,42.43,42.71,41.33,2848100,0.0,0
2015-10-13,42.54,43.12,42.19,42.32,40.96,3285500,0.0,0
2015-10-14,42.34,42.96,42.13,42.38,41.01,2940800,0.0,0
2015-10-15,41.69,43.12,41.58,43.0,41.61,2481500,0.0,0
2015-10-16,43.21,44.14,43.19,43.93,42.51,4120400,0.0,0
2015-10-19,43.81,44.01,43.23,43.78,42.37,1924800,0.0,0
2015-10-20,43.66,43.78,42.83,43.09,41.7,2890400,0.0,0
2015-10-21,43.38,43.56,39.53,41.66,40.32,9647400,0.0,0
2015-10-22,41.69,41.9,39.98,40.8,39.48,8908000,0.0,0
2015-10-23,41.16,43.18,41.05,42.54,41.17,7391500,0.0,0
2015-10-26,42.44,42.96,41.99,42.35,40.98,2929300,0.0,0
2015-10-27,42.51,43.36,42.29,42.74,41.36,4570300,0.0,0
2015-10-28,42.69,43.79,42.31,43.34,41.94,3219100,0.0,0
2015-10-29,43.31,43.91,43.24,43.55,42.15,3019000,0.0,0
2015-10-30,43.38,43.69,42.89,43.01,41.62,3774400,0.0,0
2015-11-02,43.54,44.52,43.17,44.24,42.81,4298800,0.0,0
2015-11-03,46.47,46.9,45.4,46.63,45.21,8007200,0.083,0
2015-11-04,46.65,47.14,46.23,46.55,45.13,7718100,0.0,0
2015-11-05,46.56,46.78,44.92,45.46,44.08,5177500,0.0,0
2015-11-06,45.4,46.28,44.83,45.97,44.57,3496200,0.0,0
2015-11-09,45.78,46.04,44.96,45.8,44.41,3707900,0.0,0
2015-11-10,45.85,46.04,45.26,45.88,44.48,2963200,0.0,0
2015-11-11,45.92,45.92,45.06,45.08,43.71,2118900,0.0,0
2015-11-12,45.01,45.19,44.46,44.53,43.18,2858600,0.0,0
2015-11-13,44.37,45.08,44.2,44.85,43.49,3283700,0.0,0
2015-11-16,45.0,45.42,44.73,45.3,43.92,3532300,0.0,0
2015-11-17,45.03,46.11,44.73,45.77,44.38,3638700,0.0,0
2015-11-18,45.81,47.2,45.36,47.18,45.74,3378000,0.0,0
2015-11-19,47.05,47.21,46.57,46.9,45.47,2928500,0.0,0
2015-11-20,47.0,47.57,46.86,47.32,45.88,3679400,0.0,0
2015-11-23,47.23,47.43,46.61,46.96,45.53,3265300,0.0,0
2015-11-24,46.56,46.99,46.3,46.93,45.5,1713500,0.0,0
2015-11-25,46.8,47.23,46.66,46.97,45.54,2196800,0.0,0
2015-11-27,47.14,47.23,46.91,47.08,45.65,1155100,0.0,0
2015-11-30,47.08,47.25,46.46,46.7,45.28,3481900,0.0,0
2015-12-01,46.81,47.13,46.21,47.01,45.58,2956900,0.0,0
2015-12-02,47.07,47.18,46.07,46.37,44.96,2335100,0.0,0
2015-12-03,46.48,46.54,44.94,45.2,43.82,2465300,0.0,0
2015-12-04,45.36,46.5,45.17,46.46,45.05,2237600,0.0,0
2015-12-07,46.47,46.83,45.35,45.91,44.51,2108700,0.0,0
2015-12-08,45.45,46.2,45.4,45.94,44.54,1335200,0.0,0
2015-12-09,45.61,46.18,44.97,45.21,43.83,1768000,0.0,0
2015-12-10,45.16,46.49,45.15,46.1,44.7,2472300,0.0,0
2015-12-11,45.39,46.0,45.33,45.83,44.44,4233700,0.0,0
2015-12-14,45.85,46.64,45.55,46.59,45.17,3895900,0.0,0
2015-12-15,47.05,47.65,46.87,46.97,45.54,4154100,0.0,0
2015-12-16,47.42,47.55,46.16,47.09,45.66,3441900,0.0,0
2015-12-17,47.27,47.57,46.49,46.73,45.31,2642300,0.0,0
2015-12-18,46.6,47.62,46.49,46.6,45.18,5439700,0.0,0
2015-12-21,46.83,47.37,46.56,47.34,45.9,2467100,0.0,0
2015-12-22,47.5,48.46,47.39,47.72,46.27,2404600,0.0,0
2015-12-23,47.84,48.1,47.61,47.98,46.52,2368400,0.0,0
2015-12-24,47.86,48.45,47.63,48.13,46.67,965300,0.0,0
2015-12-28,47.96,48.2,47.59,47.9,46.44,928300,0.0,0
2015-12-29,48.37,48.62,47.96,48.33,46.86,1483800,0.0,0
2015-12-30,48.33,48.65,48.01,48.26,46.79,1453700,0.0,0
2015-12-31,47.93,48.4,47.81,47.92,46.46,1768500,0.0,0
2016-01-04,46.94,47.72,46.75,47.27,45.83,2871700,0.0,0
2016-01-05,47.51,48.1,47.28,48.01,46.55,3116700,0.0,0
2016-01-06,47.27,48.35,47.26,48.02,46.56,4670500,0.0,0
2016-01-07,46.99,48.0,46.29,46.56,45.14,4324400,0.0,0
2016-01-08,46.94,47.57,45.65,45.88,44.48,4946100,0.0,0
2016-01-11,46.1,46.34,43.83,44.58,43.22,4306900,0.0,0
2016-01-12,43.87,45.05,43.25,44.97,43.6,7774900,0.0,0
2016-01-13,45.25,45.33,43.03,43.25,41.93,4197600,0.0,0
2016-01-14,43.34,44.4,42.66,44.13,42.79,4794900,0.0,0
2016-01-15,43.0,43.85,42.77,43.38,42.06,4529100,0.0,0
2016-01-19,44.11,44.72,42.73,43.19,41.97,4595000,0.095,0
2016-01-20,42.57,44.28,42.41,43.79,42.55,5212900,0.0,0
2016-01-21,43.79,43.92,42.98,43.08,41.86,3777400,0.0,0
2016-01-22,43.59,43.82,43.1,43.4,42.17,3397500,0.0,0
2016-01-25,43.25,43.77,43.06,43.2,41.98,2364200,0.0,0
2016-01-26,43.3,44.06,43.15,43.87,42.63,3797500,0.0,0
2016-01-27,43.67,44.36,42.8,43.15,41.93,3242500,0.0,0
2016-01-28,43.4,43.58,42.71,42.84,41.63,5660400,0.0,0
2016-01-29,43.2,43.36,42.61,43.05,41.83,7032600,0.0,0
2016-02-01,43.0,43.39,42.51,42.96,41.74,4702400,0.0,0
2016-02-02,42.43,42.53,41.37,41.72,40.54,3441500,0.0,0
2016-02-03,41.84,42.0,40.45,41.31,40.14,5145100,0.0,0
2016-02-04,41.15,41.95,40.93,41.54,40.36,3949800,0.0,0
2016-02-05,41.32,41.51,40.61,40.91,39.75,4058100,0.0,0
2016-02-08,40.4,40.71,39.59,40.19,39.05,4314300,0.0,0
2016-02-09,39.58,40.96,39.39,39.86,38.73,6277600,0.0,0
2016-02-10,40.17,40.48,39.25,39.33,38.22,6629200,0.0,0
2016-02-11,38.98,39.53,38.26,39.36,38.25,8058200,0.0,0
2016-02-12,39.81,40.48,39.21,40.43,39.29,6734700,0.0,0
2016-02-16,41.66,41.87,39.73,40.43,39.29,5614300,0.0,0
2016-02-17,40.78,42.0,40.47,41.8,40.62,7226900,0.0,0
2016-02-18,41.56,42.37,41.53,42.02,40.83,5350400,0.0,0
2016-02-19,42.07,42.23,41.4,41.83,40.65,3844500,0.0,0
2016-02-22,42.12,42.83,41.79,42.77,41.56,3476600,0.0,0
2016-02-23,42.58,43.2,42.29,42.37,41.17,2499000,0.0,0
