Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-28,23.28,23.3,22.36,22.5,17.49,12908034,0.0,0
2015-04-29,22.64,22.74,22.08,22.25,17.29,9754905,0.0,0
2015-04-30,22.28,22.72,22.08,22.61,17.58,10216807,0.0,0
2015-05-04,22.71,22.96,22.44,22.74,17.67,5943527,0.0,0
2015-05-05,22.78,23.11,22.18,22.27,17.31,12803776,0.0,0
2015-05-06,22.16,22.81,22.16,22.54,17.52,11026449,0.0,0
2015-05-07,22.69,23.47,22.43,23.18,18.02,16746503,0.0,0
2015-05-08,23.36,23.47,23.0,23.44,18.22,8722879,0.0,0
2015-05-11,22.53,22.54,22.27,22.33,18.09,8681888,0.95,0
2015-05-12,22.17,22.27,21.92,22.17,17.96,9187494,0.0,0
2015-05-13,22.44,22.75,22.31,22.47,18.2,10061787,0.0,0
2015-05-14,22.64,22.88,22.18,22.76,18.44,5944928,0.0,0
2015-05-15,22.92,23.14,22.61,22.78,18.46,8281636,0.0,0
2015-05-18,22.92,23.02,22.37,22.83,18.49,6833094,0.0,0
2015-05-19,23.0,23.73,22.91,23.66,19.17,11621024,0.0,0
2015-05-20,23.69,23.93,23.58,23.85,19.32,7453316,0.0,0
2015-05-21,23.78,23.93,23.69,23.93,19.39,4890569,0.0,0
2015-05-22,23.95,24.0,23.72,23.93,19.39,4967769,0.0,0
2015-05-25,23.95,23.95,23.65,23.81,19.29,1217754,0.0,0
2015-05-26,23.78,24.05,23.58,23.78,19.27,6158740,0.0,0
2015-05-27,23.9,24.26,23.65,24.17,19.58,8379385,0.0,0
2015-05-28,24.12,24.14,23.5,23.75,19.24,9224249,0.0,0
2015-05-29,23.63,23.72,22.83,22.92,18.56,23390319,0.0,0
2015-06-01,23.0,23.04,22.58,22.93,18.58,8076550,0.0,0
2015-06-02,23.01,23.04,22.61,22.94,18.58,9088845,0.0,0
2015-06-03,22.98,23.2,22.75,22.98,18.62,9247756,0.0,0
2015-06-04,22.82,23.0,22.32,22.75,18.43,10336218,0.0,0
2015-06-05,22.56,22.64,22.23,22.41,18.15,9240143,0.0,0
2015-06-08,22.34,22.47,22.12,22.12,17.92,5342683,0.0,0
2015-06-09,22.06,22.2,21.75,22.16,17.95,7991200,0.0,0
2015-06-10,22.0,22.68,21.83,22.53,18.25,9831664,0.0,0
2015-06-11,22.5,23.02,22.45,22.77,18.45,8662565,0.0,0
2015-06-12,22.7,22.75,22.17,22.51,18.24,8863378,0.0,0
2015-06-15,22.24,22.36,21.92,22.08,17.89,8739130,0.0,0
2015-06-16,21.9,22.62,21.81,22.52,18.24,10212960,0.0,0
2015-06-17,22.52,22.68,22.14,22.36,18.12,9815428,0.0,0
2015-06-18,22.25,22.61,22.05,22.53,18.26,8658000,0.0,0
2015-06-19,22.52,22.85,22.39,22.42,18.16,10526915,0.0,0
2015-06-22,22.93,23.39,22.8,23.3,18.88,12669863,0.0,0
2015-06-23,23.62,23.66,23.32,23.38,18.94,8872285,0.0,0
2015-06-24,23.45,23.54,23.13,23.45,19.0,11553815,0.0,0
2015-06-25,23.24,23.64,23.2,23.53,19.06,12462453,0.0,0
2015-06-26,23.35,23.98,23.24,23.85,19.33,10050578,0.0,0
2015-06-29,22.52,23.13,22.12,22.6,18.31,16525617,0.0,0
2015-06-30,22.5,23.01,22.25,22.63,18.33,14533820,0.0,0
