Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-28,30.5,30.69,29.8,29.96,25.4,3435100,0.0,0
2015-04-29,29.89,30.25,29.17,29.17,24.73,4655706,0.0,0
2015-04-30,29.25,29.83,28.83,29.56,25.05,5416465,0.0,0
2015-05-04,29.77,30.02,29.16,29.84,25.3,3024823,0.0,0
2015-05-05,29.81,30.28,29.08,29.09,24.66,5069044,0.0,0
2015-05-06,29.12,29.36,28.73,29.17,24.73,4433231,0.0,0
2015-05-07,29.05,29.39,28.61,29.25,24.8,4224441,0.0,0
2015-05-08,29.43,29.98,29.27,29.97,25.4,3995241,0.0,0
2015-05-11,29.77,29.94,29.61,29.76,25.23,3164887,0.0,0
2015-05-12,28.85,29.03,27.82,28.47,24.13,10154936,0.0,0
2015-05-13,28.46,28.48,27.36,27.59,23.39,9129565,0.0,0
2015-05-14,27.43,28.18,27.17,28.14,23.85,5603233,0.0,0
2015-05-15,28.3,28.42,27.95,28.15,23.86,5773625,0.0,0
2015-05-18,28.15,28.46,27.95,28.33,24.02,4272699,0.0,0
2015-05-19,28.5,28.95,28.49,28.69,24.33,5182610,0.0,0
2015-05-20,28.7,28.9,28.6,28.79,24.41,3570331,0.0,0
2015-05-21,28.75,29.15,28.68,29.08,24.65,3712791,0.0,0
2015-05-22,29.12,29.19,28.83,28.87,24.47,3161439,0.0,0
2015-05-26,29.2,29.29,28.57,28.72,24.34,5509349,0.0,0
2015-05-27,28.85,29.26,28.51,29.26,24.81,6490868,0.0,0
2015-05-28,28.35,28.4,28.02,28.15,24.58,4592984,0.85,0
2015-05-29,28.18,28.25,27.38,27.44,23.96,5428771,0.0,0
2015-06-01,27.64,27.65,27.16,27.28,23.82,4504604,0.0,0
2015-06-02,27.4,27.46,26.94,26.94,23.52,5145824,0.0,0
2015-06-03,27.05,27.21,26.83,26.95,23.53,4076650,0.0,0
2015-06-04,26.9,27.0,26.41,26.8,23.39,4253838,0.0,0
2015-06-05,26.59,26.76,26.43,26.51,23.15,3640383,0.0,0
2015-06-08,26.4,26.49,26.16,26.24,22.91,3078934,0.0,0
2015-06-09,26.1,26.13,25.59,25.85,22.57,7219377,0.0,0
2015-06-10,25.79,27.0,25.76,26.82,23.41,7524627,0.0,0
2015-06-11,26.75,26.98,26.57,26.7,23.32,4556867,0.0,0
2015-06-12,26.62,26.74,26.08,26.43,23.08,3976552,0.0,0
2015-06-15,26.03,26.36,26.01,26.2,22.87,3942705,0.0,0
2015-06-16,26.07,26.27,25.72,26.24,22.91,3571035,0.0,0
2015-06-17,26.55,26.64,25.89,25.92,22.63,5439582,0.0,0
2015-06-18,25.9,26.33,25.58,26.32,22.97,4500237,0.0,0
2015-06-19,26.49,26.7,26.12,26.17,22.84,7635866,0.0,0
2015-06-22,26.7,27.05,26.59,27.0,23.57,4962719,0.0,0
2015-06-23,27.5,27.91,27.26,27.49,24.0,6459307,0.0,0
2015-06-24,27.49,27.54,27.09,27.13,23.69,5579680,0.0,0
2015-06-25,27.02,27.44,26.99,27.19,23.74,3358383,0.0,0
2015-06-26,27.0,27.33,26.89,27.2,23.75,3177273,0.0,0
2015-06-29,26.0,26.74,25.92,26.41,23.05,6985501,0.0,0
2015-06-30,26.26,26.62,26.03,26.2,22.88,7408495,0.0,0
2015-07-01,26.41,26.83,26.25,26.53,23.16,4964807,0.0,0
2015-07-02,26.51,26.65,26.28,26.31,22.97,2483070,0.0,0
2015-07-03,26.25,26.26,26.0,26.14,22.82,3243103,0.0,0
2015-07-06,25.89,27.27,25.81,26.73,23.33,8528838,0.0,0
2015-07-07,26.6,26.85,26.11,26.19,22.87,5110737,0.0,0
2015-07-08,26.34,26.75,26.2,26.67,23.29,4827609,0.0,0
2015-07-09,26.81,27.53,26.65,27.43,23.95,3885197,0.0,0
2015-07-10,28.08,28.25,27.84,28.16,24.59,5846891,0.0,0
2015-07-13,28.39,28.62,28.27,28.44,24.83,5077359,0.0,0
2015-07-14,28.45,28.52,28.23,28.32,24.72,3549927,0.0,0
2015-07-15,28.28,28.55,28.16,28.5,24.88,2441620,0.0,0
