Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-28,4.35,4.38,4.3,4.33,3.44,37365280,0.0,0
2015-04-29,4.34,4.39,4.22,4.24,3.36,53293573,0.0,0
2015-04-30,4.24,4.28,4.19,4.24,3.36,47901189,0.0,0
2015-05-04,4.23,4.26,4.18,4.24,3.36,36497646,0.0,0
2015-05-05,4.21,4.25,4.08,4.08,3.24,64618020,0.0,0
2015-05-06,4.1,4.13,4.03,4.12,3.27,56749093,0.0,0
2015-05-07,4.1,4.12,4.01,4.06,3.22,67343905,0.0,0
2015-05-08,4.11,4.24,4.1,4.23,3.35,65679776,0.0,0
2015-05-11,4.24,4.24,4.18,4.2,3.33,30108747,0.0,0
2015-05-12,4.16,4.18,4.11,4.16,3.3,46808695,0.0,0
2015-05-13,4.19,4.24,4.16,4.19,3.32,45597148,0.0,0
2015-05-14,4.2,4.27,4.14,4.26,3.38,47138554,0.0,0
2015-05-15,4.28,4.28,4.19,4.2,3.33,50025689,0.0,0
2015-05-18,4.21,4.23,4.16,4.21,3.34,31824444,0.0,0
2015-05-19,4.23,4.35,4.23,4.34,3.44,64346739,0.0,0
2015-05-20,4.33,4.4,4.32,4.4,3.49,49546011,0.0,0
2015-05-21,4.39,4.41,4.36,4.4,3.49,31304296,0.0,0
2015-05-22,4.38,4.41,4.38,4.41,3.5,28060257,0.0,0
2015-05-25,4.4,4.4,4.32,4.32,3.43,18870084,0.0,0
2015-05-26,4.33,4.4,4.32,4.35,3.45,53995594,0.0,0
2015-05-27,4.37,4.46,4.36,4.45,3.53,54663768,0.0,0
2015-05-28,4.44,4.46,4.41,4.46,3.53,37547701,0.0,0
2015-05-29,4.46,4.5,4.42,4.42,3.5,89444813,0.0,0
2015-06-01,4.44,4.46,4.39,4.41,3.5,40316014,0.0,0
2015-06-02,4.43,4.44,4.35,4.4,3.49,66409107,0.0,0
2015-06-03,4.4,4.43,4.36,4.37,3.47,69598431,0.0,0
2015-06-04,4.32,4.35,4.25,4.27,3.38,101077145,0.0,0
2015-06-05,4.25,4.3,4.2,4.21,3.34,76217654,0.0,0
2015-06-08,4.24,4.25,4.18,4.19,3.33,44342071,0.0,0
2015-06-09,4.22,4.22,4.13,4.16,3.3,52579154,0.0,0
2015-06-10,4.16,4.27,4.14,4.25,3.37,48560325,0.0,0
2015-06-11,4.27,4.32,4.22,4.27,3.39,73478274,0.0,0
2015-06-12,4.27,4.3,4.15,4.21,3.34,45303591,0.0,0
2015-06-15,4.17,4.18,4.1,4.12,3.27,38409513,0.0,0
2015-06-16,4.11,4.14,4.03,4.13,3.27,77041063,0.0,0
2015-06-17,4.14,4.17,4.09,4.12,3.27,38608724,0.0,0
2015-06-18,4.12,4.21,4.06,4.21,3.34,65775334,0.0,0
2015-06-19,4.19,4.3,4.19,4.27,3.39,111240326,0.0,0
2015-06-22,4.21,4.24,4.14,4.23,3.47,72904252,0.14,0
2015-06-23,4.26,4.28,4.21,4.22,3.46,110963560,0.0,0
2015-06-24,4.22,4.25,4.16,4.19,3.44,76655772,0.0,0
2015-06-25,4.16,4.3,4.16,4.24,3.48,121970980,0.0,0
2015-06-26,4.21,4.36,4.19,4.36,3.58,106921710,0.0,0
2015-06-29,4.15,4.22,4.12,4.12,3.38,88646558,0.0,0
2015-06-30,4.08,4.17,4.06,4.06,3.33,74262485,0.0,0
2015-07-01,4.1,4.18,4.08,4.15,3.4,59104790,0.0,0
2015-07-02,4.14,4.22,4.13,4.13,3.39,47744501,0.0,0
2015-07-03,4.12,4.2,4.07,4.12,3.38,34504124,0.0,0
2015-07-06,4.01,4.05,3.94,3.94,3.23,75507152,0.0,0
2015-07-07,3.95,4.0,3.87,3.87,3.17,56867843,0.0,0
2015-07-08,3.85,3.98,3.83,3.96,3.25,55362523,0.0,0
2015-07-09,3.98,4.13,3.95,4.12,3.38,53927634,0.0,0
2015-07-10,4.21,4.23,4.16,4.23,3.47,66388909,0.0,0
2015-07-13,4.25,4.3,4.22,4.28,3.51,56453527,0.0,0
2015-07-14,4.25,4.27,4.21,4.27,3.5,32426670,0.0,0
2015-07-15,4.27,4.34,4.25,4.34,3.56,43489695,0.0,0
2015-07-16,4.35,4.39,4.34,4.38,3.59,47353868,0.0,0
2015-07-17,4.39,4.4,4.34,4.35,3.57,33990488,0.0,0
2015-07-20,4.36,4.45,4.35,4.41,3.62,39828736,0.0,0
2015-07-21,4.43,4.43,4.35,4.35,3.57,32308522,0.0,0
2015-07-22,4.34,4.39,4.32,4.36,3.58,27085522,0.0,0
2015-07-23,4.37,4.38,4.25,4.3,3.52,58092804,0.0,0
2015-07-24,4.27,4.32,4.26,4.28,3.51,37703811,0.0,0
2015-07-27,4.27,4.3,4.2,4.2,3.45,42577327,0.0,0
2015-07-28,4.23,4.3,4.22,4.28,3.51,34362257,0.0,0
2015-07-29,4.3,4.31,4.22,4.25,3.49,34321425,0.0,0
2015-07-30,4.3,4.3,4.19,4.22,3.46,39985844,0.0,0
2015-07-31,4.24,4.29,4.21,4.29,3.52,41959654,0.0,0
2015-08-03,4.28,4.35,4.28,4.34,3.56,33836373,0.0,0
2015-08-04,4.32,4.33,4.27,4.31,3.53,26579174,0.0,0
2015-08-05,4.33,4.39,4.33,4.39,3.6,37514798,0.0,0
2015-08-06,4.37,4.39,4.36,4.36,3.58,24890395,0.0,0
2015-08-07,4.35,4.38,4.32,4.38,3.59,29053081,0.0,0
2015-08-10,4.38,4.41,4.35,4.4,3.61,24993073,0.0,0
2015-08-11,4.38,4.4,4.34,4.36,3.57,31701666,0.0,0
2015-08-12,4.33,4.34,4.2,4.21,3.45,54340815,0.0,0
2015-08-13,4.28,4.3,4.26,4.28,3.51,38885124,0.0,0
2015-08-14,4.28,4.31,4.23,4.23,3.47,28559545,0.0,0
2015-08-17,4.26,4.29,4.22,4.29,3.52,32987345,0.0,0
2015-08-18,4.26,4.29,4.25,4.26,3.5,24142004,0.0,0
2015-08-19,4.23,4.25,4.16,4.16,3.41,41088726,0.0,0
2015-08-20,4.15,4.15,3.95,4.06,3.33,56816112,0.0,0
2015-08-21,4.0,4.11,3.97,3.97,3.26,63454581,0.0,0
2015-08-24,3.85,3.93,3.68,3.73,3.06,95704582,0.0,0
2015-08-25,3.8,3.96,3.76,3.96,3.24,82969511,0.0,0
2015-08-26,3.89,3.94,3.84,3.88,3.18,49642326,0.0,0
2015-08-27,3.96,4.08,3.94,4.07,3.34,62193029,0.0,0
2015-08-28,4.07,4.08,4.01,4.05,3.32,35980332,0.0,0
2015-08-31,4.03,4.05,3.98,4.02,3.29,27059710,0.0,0
2015-09-01,3.97,3.98,3.88,3.91,3.21,39356955,0.0,0
2015-09-02,3.91,3.95,3.89,3.91,3.2,30754671,0.0,0
2015-09-03,3.92,4.03,3.9,4.01,3.29,51347967,0.0,0
2015-09-04,3.96,3.98,3.9,3.91,3.21,51781353,0.0,0
2015-09-07,3.95,4.01,3.95,3.98,3.26,30478203,0.0,0
2015-09-08,4.0,4.09,3.99,4.04,3.32,39886191,0.0,0
2015-09-09,4.12,4.12,4.07,4.07,3.33,39886973,0.0,0
2015-09-10,4.04,4.06,3.97,3.99,3.27,43591698,0.0,0
2015-09-11,4.04,4.05,3.99,3.99,3.28,34818751,0.0,0
2015-09-14,4.01,4.02,3.97,3.99,3.27,31417292,0.0,0
2015-09-15,3.99,4.04,3.9,4.02,3.3,44616191,0.0,0
2015-09-16,4.05,4.06,4.02,4.05,3.32,37749845,0.0,0
2015-09-17,4.06,4.06,3.99,4.02,3.3,47464507,0.0,0
2015-09-18,4.02,4.03,3.88,3.88,3.18,76313839,0.0,0
2015-09-21,3.9,3.98,3.89,3.98,3.27,37916288,0.0,0
2015-09-22,3.95,3.95,3.81,3.81,3.13,76286136,0.0,0
2015-09-23,3.84,3.91,3.83,3.87,3.17,39905833,0.0,0
2015-09-24,3.87,3.89,3.78,3.78,3.1,52557419,0.0,0
2015-09-25,3.85,3.94,3.83,3.94,3.23,55981592,0.0,0
2015-09-28,3.91,3.95,3.84,3.85,3.15,39239720,0.0,0
2015-09-29,3.82,3.92,3.82,3.86,3.17,53770448,0.0,0
2015-09-30,3.93,3.99,3.92,3.99,3.27,46754450,0.0,0
2015-10-01,4.01,4.03,3.89,3.89,3.19,45342000,0.0,0
2015-10-02,3.94,3.98,3.86,3.97,3.26,55414088,0.0,0
2015-10-05,4.03,4.04,3.99,4.01,3.29,48471696,0.0,0
2015-10-06,4.01,4.08,3.97,4.08,3.35,42948787,0.0,0
2015-10-07,4.08,4.11,4.03,4.03,3.31,40006766,0.0,0
2015-10-08,4.03,4.05,3.99,4.0,3.28,41701884,0.0,0
2015-10-09,4.04,4.1,4.04,4.05,3.32,47574310,0.0,0
2015-10-12,4.06,4.07,3.99,4.01,3.29,36334305,0.0,0
2015-10-13,4.01,4.05,3.96,4.02,3.3,39255475,0.0,0
2015-10-14,4.01,4.07,3.99,4.04,3.31,43592471,0.0,0
2015-10-15,4.09,4.11,4.08,4.1,3.36,52898976,0.0,0
2015-10-16,4.13,4.13,4.07,4.12,3.38,45246230,0.0,0
2015-10-19,4.11,4.15,4.1,4.11,3.37,29411775,0.0,0
2015-10-20,4.12,4.13,4.07,4.1,3.36,37243399,0.0,0
2015-10-21,4.1,4.11,4.04,4.07,3.34,36110559,0.0,0
2015-10-22,4.05,4.19,4.04,4.18,3.43,53756899,0.0,0
2015-10-23,4.19,4.24,4.18,4.23,3.47,55613232,0.0,0
2015-10-26,4.22,4.24,4.2,4.23,3.47,26096899,0.0,0
