Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-28,19.42,19.53,19.18,19.32,14.61,5740889,0.0,0
2015-04-29,19.33,19.44,18.7,18.74,14.18,7215385,0.0,0
2015-04-30,18.35,18.36,18.1,18.2,14.15,8924436,0.5,0
2015-05-04,18.21,18.25,18.03,18.03,14.02,6395758,0.0,0
2015-05-05,18.09,18.31,17.73,17.77,13.82,10677591,0.0,0
2015-05-06,17.75,18.1,17.7,17.99,13.98,9745479,0.0,0
2015-05-07,17.97,18.08,17.75,17.94,13.95,8225916,0.0,0
2015-05-08,18.03,18.52,17.98,18.52,14.4,6861357,0.0,0
2015-05-11,18.57,18.58,18.25,18.4,14.3,4449419,0.0,0
2015-05-12,18.2,18.32,17.99,18.25,14.19,6883755,0.0,0
2015-05-13,18.38,18.39,17.72,17.8,13.83,13096058,0.0,0
2015-05-14,17.7,17.98,17.5,17.88,13.9,5922454,0.0,0
2015-05-15,17.97,18.01,17.73,17.83,13.86,6021975,0.0,0
2015-05-18,17.86,18.0,17.57,17.8,13.84,4509982,0.0,0
2015-05-19,17.94,18.33,17.92,18.27,14.21,7863518,0.0,0
2015-05-20,18.5,18.68,18.38,18.64,14.49,6648645,0.0,0
2015-05-21,18.59,18.69,18.4,18.66,14.51,4107205,0.0,0
2015-05-22,18.67,18.78,18.6,18.73,14.56,5007920,0.0,0
2015-05-25,18.71,18.73,18.35,18.5,14.38,2164119,0.0,0
2015-05-26,18.54,18.68,18.32,18.42,14.32,5486790,0.0,0
2015-05-27,18.51,18.91,18.38,18.88,14.67,5702211,0.0,0
2015-05-28,18.8,18.9,18.62,18.83,14.64,4727760,0.0,0
2015-05-29,18.83,18.85,18.38,18.38,14.28,6762469,0.0,0
2015-06-01,18.47,18.52,18.2,18.24,14.18,3864796,0.0,0
2015-06-02,18.31,18.33,17.96,18.08,14.06,5551121,0.0,0
2015-06-03,18.15,18.4,17.98,18.11,14.08,5207185,0.0,0
2015-06-04,18.0,18.05,17.68,17.83,13.86,7008178,0.0,0
2015-06-05,17.77,17.85,17.6,17.64,13.71,4684236,0.0,0
2015-06-08,17.6,17.66,17.35,17.39,13.52,5152388,0.0,0
2015-06-09,17.37,17.39,16.95,17.26,13.42,10527425,0.0,0
2015-06-10,17.19,17.64,17.15,17.53,13.63,8584905,0.0,0
2015-06-11,17.42,17.8,17.31,17.52,13.62,7249021,0.0,0
2015-06-12,17.46,17.51,16.92,17.16,13.34,8625373,0.0,0
2015-06-15,17.0,17.12,16.81,16.89,13.13,5217754,0.0,0
2015-06-16,16.78,16.98,16.65,16.91,13.15,6829054,0.0,0
2015-06-17,16.95,17.07,16.77,16.92,13.15,5783386,0.0,0
2015-06-18,16.88,17.08,16.65,17.06,13.26,6035171,0.0,0
2015-06-19,17.02,17.33,16.95,17.07,13.27,13374881,0.0,0
2015-06-22,17.5,17.72,17.29,17.66,13.72,9076534,0.0,0
2015-06-23,17.94,17.99,17.67,17.78,13.83,7773356,0.0,0
2015-06-24,17.82,17.88,17.53,17.73,13.78,5499108,0.0,0
2015-06-25,17.65,17.96,17.5,17.6,13.69,6953236,0.0,0
2015-06-26,17.35,17.58,17.23,17.49,13.6,7229843,0.0,0
2015-06-29,16.84,17.15,16.66,16.85,13.1,8411886,0.0,0
2015-06-30,16.8,17.07,16.64,16.64,12.94,10846002,0.0,0
2015-07-01,16.89,17.07,16.63,16.73,13.01,10838825,0.0,0
2015-07-02,16.82,17.14,16.79,16.97,13.19,7614765,0.0,0
2015-07-03,17.02,17.05,16.6,16.72,13.0,5974200,0.0,0
2015-07-06,16.46,16.68,16.28,16.32,12.69,8013807,0.0,0
2015-07-07,16.42,16.44,16.08,16.11,12.52,9061803,0.0,0
2015-07-08,16.14,16.42,16.09,16.3,12.67,7232544,0.0,0
2015-07-09,16.41,16.84,16.36,16.73,13.01,6324810,0.0,0
2015-07-10,17.08,17.31,16.95,17.25,13.41,6779728,0.0,0
2015-07-13,17.54,17.6,17.4,17.48,13.58,5929273,0.0,0
2015-07-14,17.38,17.58,17.33,17.58,13.66,4018868,0.0,0
2015-07-15,17.6,17.68,17.5,17.62,13.7,4916109,0.0,0
2015-07-16,17.72,17.95,17.64,17.83,13.86,6145226,0.0,0
2015-07-17,17.85,17.89,17.58,17.66,13.73,5684812,0.0,0
2015-07-20,17.74,17.93,17.66,17.7,13.76,4203923,0.0,0
2015-07-21,17.77,17.84,17.51,17.58,13.66,4493616,0.0,0
2015-07-22,17.46,17.57,17.38,17.48,13.59,5004334,0.0,0
2015-07-23,17.65,17.67,17.43,17.46,13.57,4047189,0.0,0
2015-07-24,17.42,17.56,17.32,17.37,13.5,4687900,0.0,0
2015-07-27,17.28,17.34,16.85,16.87,13.11,6740654,0.0,0
2015-07-28,17.03,17.03,16.52,16.54,12.86,8731478,0.0,0
2015-07-29,16.59,17.04,16.5,16.89,13.13,8366657,0.0,0
2015-07-30,17.32,17.87,17.12,17.56,13.65,11667491,0.0,0
2015-07-31,17.38,17.5,17.16,17.49,13.59,5177324,0.0,0
2015-08-03,17.57,17.7,17.41,17.65,13.72,6104334,0.0,0
2015-08-04,17.75,17.75,17.43,17.55,13.64,5134886,0.0,0
2015-08-05,17.57,17.83,17.57,17.82,13.85,5305332,0.0,0
2015-08-06,17.7,17.81,17.67,17.75,13.8,5242265,0.0,0
2015-08-07,17.87,18.11,17.78,17.91,13.92,7447457,0.0,0
2015-08-10,17.98,18.0,17.75,17.94,13.95,4691481,0.0,0
2015-08-11,17.9,17.92,17.66,17.67,13.74,3597705,0.0,0
2015-08-12,17.59,17.6,17.22,17.29,13.44,5852550,0.0,0
2015-08-13,17.59,17.68,17.38,17.43,13.55,4839433,0.0,0
2015-08-14,17.42,17.49,17.17,17.22,13.39,3631273,0.0,0
2015-08-17,17.33,17.4,17.09,17.36,13.49,3860621,0.0,0
2015-08-18,17.33,17.36,17.15,17.17,13.35,4370236,0.0,0
2015-08-19,17.05,17.09,16.91,16.93,13.16,4271532,0.0,0
2015-08-20,16.9,16.96,16.77,16.81,13.07,5727639,0.0,0
2015-08-21,16.59,16.68,16.21,16.21,12.6,8895274,0.0,0
2015-08-24,15.8,15.95,14.7,15.06,11.71,17740259,0.0,0
2015-08-25,15.27,15.8,15.23,15.73,12.23,10877571,0.0,0
2015-08-26,15.51,15.69,15.24,15.44,12.01,6057472,0.0,0
2015-08-27,15.86,16.11,15.73,16.02,12.45,6048420,0.0,0
2015-08-28,15.98,16.21,15.94,16.21,12.6,5334326,0.0,0
2015-08-31,16.1,16.1,15.85,15.98,12.43,3997430,0.0,0
2015-09-01,15.78,15.85,15.44,15.55,12.09,6125482,0.0,0
2015-09-02,15.63,15.74,15.43,15.56,12.09,4471874,0.0,0
2015-09-03,15.61,15.65,15.23,15.48,12.04,9858720,0.0,0
2015-09-04,15.4,15.42,14.98,15.03,11.69,7541629,0.0,0
2015-09-07,15.14,15.37,15.08,15.22,11.83,3916678,0.0,0
2015-09-08,15.32,15.65,15.32,15.42,11.99,5816407,0.0,0
2015-09-09,15.78,15.96,15.64,15.72,12.22,6723072,0.0,0
2015-09-10,15.6,15.65,15.22,15.28,11.88,8463797,0.0,0
2015-09-11,15.31,15.39,15.16,15.27,11.87,5833882,0.0,0
2015-09-14,15.29,15.39,15.1,15.13,11.76,3822588,0.0,0
2015-09-15,15.15,15.17,14.55,15.05,11.7,8006009,0.0,0
2015-09-16,15.19,15.39,15.04,15.35,11.93,4967847,0.0,0
2015-09-17,15.39,15.59,15.16,15.47,12.02,6055403,0.0,0
2015-09-18,15.43,15.47,14.81,14.97,11.64,12149800,0.0,0
2015-09-21,14.99,15.31,14.98,15.09,11.73,6018580,0.0,0
2015-09-22,15.09,15.09,14.55,14.61,11.36,6707955,0.0,0
2015-09-23,14.63,14.78,14.53,14.53,11.3,4789938,0.0,0
2015-09-24,14.53,14.6,14.15,14.27,11.1,7288076,0.0,0
2015-09-25,14.51,14.72,14.41,14.58,11.33,5430508,0.0,0
2015-09-28,14.4,14.55,14.09,14.15,11.0,6742041,0.0,0
2015-09-29,14.0,14.41,14.0,14.17,11.02,6183111,0.0,0
2015-09-30,14.45,14.52,14.35,14.44,11.22,8075323,0.0,0
2015-10-01,14.51,14.57,13.88,13.95,10.84,10123542,0.0,0
2015-10-02,14.1,14.27,13.8,14.03,10.91,9080314,0.0,0
2015-10-05,14.27,14.52,14.21,14.5,11.27,7303168,0.0,0
2015-10-06,14.55,14.77,14.41,14.72,11.44,5376104,0.0,0
2015-10-07,14.78,15.19,14.74,14.94,11.62,6794767,0.0,0
2015-10-08,14.91,15.06,14.71,15.06,11.7,4804337,0.0,0
2015-10-09,15.25,15.38,15.14,15.18,11.8,6155843,0.0,0
2015-10-12,15.31,15.4,15.12,15.24,11.85,5747053,0.0,0
2015-10-13,14.75,14.81,14.44,14.69,11.8,6723437,0.5,0
2015-10-14,14.65,15.27,14.55,15.03,12.08,9643068,0.0,0
2015-10-15,15.25,15.27,14.69,14.94,12.01,8104628,0.0,0
2015-10-16,15.03,15.31,14.98,15.15,12.17,5631857,0.0,0
2015-10-19,15.18,15.31,14.99,15.11,12.14,3468896,0.0,0
2015-10-20,15.14,15.38,15.05,15.26,12.26,5355111,0.0,0
2015-10-21,15.35,15.67,15.19,15.47,12.43,6914741,0.0,0
2015-10-22,15.38,16.02,15.34,15.81,12.71,8106438,0.0,0
2015-10-23,15.96,16.3,15.85,16.24,13.05,8934811,0.0,0
2015-10-26,16.21,16.24,16.03,16.1,12.94,4604827,0.0,0
2015-10-27,16.08,16.18,15.81,15.81,12.71,5826377,0.0,0
2015-10-28,15.82,16.18,15.81,16.09,12.93,4731947,0.0,0
2015-10-29,16.17,16.19,15.73,15.87,12.75,4689266,0.0,0
2015-10-30,15.87,15.98,15.8,15.95,12.82,3940844,0.0,0
2015-11-02,15.91,16.28,15.9,16.23,13.04,6021127,0.0,0
2015-11-03,16.18,16.18,15.99,16.15,12.98,5719632,0.0,0
2015-11-04,16.16,16.48,16.11,16.15,12.98,5441941,0.0,0
2015-11-05,16.31,16.56,16.16,16.24,13.05,8857410,0.0,0
2015-11-06,16.28,16.43,16.15,16.19,13.02,4772269,0.0,0
2015-11-09,16.14,16.2,15.86,15.9,12.78,4900884,0.0,0
2015-11-10,15.95,16.02,15.73,15.88,12.76,4631157,0.0,0
2015-11-11,15.91,16.16,15.84,15.88,12.76,4048777,0.0,0
2015-11-12,15.82,16.47,15.72,16.11,12.95,10543979,0.0,0
2015-11-13,16.1,16.41,15.94,16.05,12.9,6818983,0.0,0
2015-11-16,15.94,16.18,15.86,16.07,12.91,3555065,0.0,0
2015-11-17,16.15,16.49,15.89,16.47,13.24,7180403,0.0,0
2015-11-18,16.35,16.52,16.3,16.44,13.22,4364354,0.0,0
2015-11-19,16.5,16.73,16.45,16.58,13.33,3959168,0.0,0
2015-11-20,16.65,16.78,16.41,16.62,13.36,6447972,0.0,0
2015-11-23,16.64,16.65,16.32,16.41,13.18,3738850,0.0,0
2015-11-24,16.31,16.4,16.08,16.19,13.02,4539459,0.0,0
2015-11-25,16.21,16.49,16.17,16.17,13.0,6379070,0.0,0
2015-11-26,16.16,16.42,16.08,16.42,13.19,5262605,0.0,0
2015-11-27,16.39,16.45,16.25,16.29,13.09,2563918,0.0,0
2015-11-30,16.25,16.55,16.13,16.49,13.25,4844458,0.0,0
2015-12-01,16.52,16.65,16.33,16.55,13.3,5610343,0.0,0
2015-12-02,16.6,16.67,16.31,16.44,13.22,4772734,0.0,0
2015-12-03,16.44,16.83,15.95,15.95,12.82,8412185,0.0,0
2015-12-04,15.95,16.14,15.85,15.97,12.84,6840492,0.0,0
2015-12-07,16.15,16.24,15.94,15.96,12.83,3744279,0.0,0
2015-12-08,15.94,15.98,15.68,15.73,12.64,5762391,0.0,0
2015-12-09,15.74,15.92,15.52,15.76,12.67,5667535,0.0,0
2015-12-10,15.81,16.17,15.76,16.02,12.88,8323944,0.0,0
2015-12-11,16.02,16.17,15.7,15.84,12.73,7139186,0.0,0
2015-12-14,15.9,16.11,15.5,15.51,12.47,6194376,0.0,0
2015-12-15,15.61,15.94,15.58,15.89,12.77,5374346,0.0,0
2015-12-16,15.78,16.17,15.73,16.02,12.88,6012739,0.0,0
2015-12-17,16.33,16.62,16.21,16.28,13.08,8051902,0.0,0
2015-12-18,16.12,16.38,15.96,15.99,12.85,12229581,0.0,0
2015-12-21,15.97,16.24,15.82,15.96,12.83,6307611,0.0,0
2015-12-22,16.05,16.09,15.76,15.93,12.8,3765919,0.0,0
2015-12-23,16.09,16.57,16.09,16.5,13.27,6144945,0.0,0
2015-12-24,16.5,16.64,16.45,16.48,13.24,747784,0.0,0
2015-12-28,16.5,16.59,16.27,16.3,13.1,2063864,0.0,0
2015-12-29,16.35,16.53,16.35,16.53,13.29,2837382,0.0,0
2015-12-30,16.5,16.62,16.39,16.43,13.2,2857854,0.0,0
2016-01-04,16.17,16.19,15.6,15.72,12.63,6897146,0.0,0
2016-01-05,15.89,15.9,15.51,15.75,12.66,4904778,0.0,0
2016-01-06,15.78,15.8,15.39,15.65,12.57,4498787,0.0,0
2016-01-07,15.26,15.51,15.1,15.44,12.41,5724162,0.0,0
2016-01-08,15.44,15.52,15.01,15.05,12.1,6713058,0.0,0
2016-01-11,15.0,15.28,14.95,15.06,12.1,5459983,0.0,0
2016-01-12,15.12,15.35,14.99,15.12,12.15,5167323,0.0,0
2016-01-13,15.26,15.55,15.19,15.27,12.27,4398413,0.0,0
2016-01-14,15.13,15.18,14.83,14.91,11.98,7790303,0.0,0
2016-01-15,14.88,14.93,14.16,14.3,11.49,13931545,0.0,0
2016-01-18,14.29,14.39,13.95,13.95,11.22,7145228,0.0,0
2016-01-19,14.12,14.39,14.06,14.27,11.46,6732874,0.0,0
2016-01-20,13.95,14.0,13.63,13.77,11.06,7748950,0.0,0
2016-01-21,13.77,14.06,13.61,13.99,11.25,7809278,0.0,0
2016-01-22,14.23,14.52,14.15,14.42,11.59,8086394,0.0,0
2016-01-25,14.43,14.43,14.03,14.18,11.39,8395537,0.0,0
2016-01-26,13.98,14.43,13.9,14.38,11.56,6231979,0.0,0
2016-01-27,14.38,14.6,14.28,14.6,11.73,4973748,0.0,0
2016-01-28,14.56,14.76,14.4,14.56,11.7,6192844,0.0,0
2016-01-29,14.77,14.77,14.43,14.69,11.81,6195734,0.0,0
2016-02-01,14.73,14.77,14.47,14.69,11.8,4597979,0.0,0
2016-02-02,14.65,14.69,14.15,14.32,11.51,5913269,0.0,0
2016-02-03,14.27,14.4,13.86,14.07,11.31,7394181,0.0,0
2016-02-04,14.19,14.26,13.94,14.15,11.38,5432335,0.0,0
2016-02-05,14.1,14.22,13.97,14.03,11.28,6443257,0.0,0
2016-02-08,14.06,14.13,13.82,13.9,11.18,8487532,0.0,0
2016-02-09,13.9,14.12,13.65,13.88,11.15,10684663,0.0,0
2016-02-10,13.98,14.22,13.84,13.96,11.22,7209858,0.0,0
2016-02-11,13.8,13.8,13.15,13.15,10.56,13777885,0.0,0
2016-02-12,13.27,13.45,13.19,13.35,10.73,7163997,0.0,0
2016-02-15,13.6,13.82,13.54,13.76,11.06,5205644,0.0,0
2016-02-16,13.85,14.02,13.8,13.91,11.18,7091005,0.0,0
2016-02-17,13.92,14.1,13.82,14.1,11.33,6202227,0.0,0
2016-02-18,14.13,14.24,14.02,14.05,11.29,6952376,0.0,0
2016-02-19,14.1,14.15,13.84,14.02,11.27,5906325,0.0,0
2016-02-22,14.06,14.49,14.05,14.49,11.65,5071133,0.0,0
2016-02-23,14.35,14.38,13.82,13.86,11.14,6440807,0.0,0
2016-02-24,13.84,13.89,13.38,13.48,10.84,6950678,0.0,0
2016-02-25,13.26,14.15,13.05,14.07,11.31,12827270,0.0,0
2016-02-26,14.19,14.5,14.13,14.31,11.5,7226844,0.0,0
2016-02-29,14.27,14.3,13.95,14.28,11.48,8159664,0.0,0
