Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-28,27.0,27.34,25.96,26.27,21.62,8309479,0.0,0
2015-04-29,26.53,26.58,25.9,25.91,21.32,6471455,0.0,0
2015-04-30,25.88,25.9,25.52,25.66,21.11,7310249,0.0,0
2015-05-04,25.52,25.67,25.17,25.44,20.93,4333149,0.0,0
2015-05-05,25.31,25.53,24.96,25.19,20.73,7345200,0.0,0
2015-05-06,25.09,25.19,24.81,25.08,20.64,5729123,0.0,0
2015-05-07,24.85,24.94,24.47,24.83,20.43,6470297,0.0,0
2015-05-08,25.0,25.45,24.71,25.41,20.9,5585773,0.0,0
2015-05-11,24.98,24.98,24.53,24.77,21.05,3895743,0.8,0
2015-05-12,24.55,24.55,24.23,24.42,20.75,4940940,0.0,0
2015-05-13,24.47,24.7,24.11,24.24,20.59,3982558,0.0,0
2015-05-14,24.1,24.59,24.03,24.5,20.81,3591959,0.0,0
2015-05-15,24.59,24.88,24.51,24.69,21.69,4126398,0.8,0
2015-05-18,24.67,24.76,24.23,24.6,21.61,2578207,0.0,0
2015-05-19,24.75,25.07,24.68,24.92,21.89,4168334,0.0,0
2015-05-20,24.95,25.27,24.9,25.18,22.11,3794102,0.0,0
2015-05-21,25.03,25.18,25.0,25.17,22.1,2481793,0.0,0
2015-05-22,25.11,25.3,25.08,25.2,22.14,2506410,0.0,0
2015-05-25,25.21,25.33,25.07,25.22,22.14,717005,0.0,0
2015-05-26,25.17,25.32,25.0,25.05,22.0,3145477,0.0,0
2015-05-27,25.14,25.39,25.06,25.33,22.25,4117863,0.0,0
2015-05-28,25.25,25.39,25.05,25.2,22.13,2281002,0.0,0
2015-05-29,25.22,25.41,24.78,24.81,21.78,4668196,0.0,0
2015-06-01,24.88,25.1,24.62,24.86,21.84,2970762,0.0,0
2015-06-02,24.98,25.06,24.48,24.64,21.64,3762689,0.0,0
2015-06-03,24.53,24.88,24.42,24.57,21.57,3356212,0.0,0
2015-06-04,24.5,24.76,24.07,24.56,21.57,4294413,0.0,0
2015-06-05,24.3,24.38,23.95,24.15,21.2,4060537,0.0,0
2015-06-08,24.08,24.19,23.87,24.07,21.13,2789407,0.0,0
2015-06-09,24.0,24.07,23.65,24.06,21.13,3628907,0.0,0
2015-06-10,23.88,24.61,23.82,24.49,21.5,4248477,0.0,0
2015-06-11,24.4,25.17,24.32,24.94,21.9,5660331,0.0,0
2015-06-12,24.77,24.85,24.17,24.36,21.4,4974239,0.0,0
2015-06-15,24.01,24.17,23.82,23.84,20.94,3447976,0.0,0
2015-06-16,23.7,23.78,23.43,23.7,20.81,4413466,0.0,0
2015-06-17,23.72,23.74,23.24,23.41,20.56,4591430,0.0,0
2015-06-18,23.3,23.35,22.91,23.31,20.47,6268197,0.0,0
2015-06-19,23.36,23.55,23.16,23.27,20.44,6741733,0.0,0
2015-06-22,23.89,23.98,23.48,23.78,20.88,6766850,0.0,0
2015-06-23,24.01,24.15,23.92,24.01,21.09,5192048,0.0,0
2015-06-24,23.98,24.06,23.64,23.73,20.84,3852181,0.0,0
2015-06-25,23.6,23.69,23.44,23.63,20.75,5804000,0.0,0
2015-06-26,23.5,23.64,23.3,23.52,20.66,6144542,0.0,0
2015-06-29,22.7,23.27,22.51,22.95,20.16,6605147,0.0,0
2015-06-30,22.9,23.18,22.64,22.82,20.04,8405473,0.0,0
2015-07-01,23.0,23.55,22.85,23.33,20.49,6778372,0.0,0
2015-07-02,23.39,23.44,23.19,23.2,20.38,3760930,0.0,0
2015-07-03,23.24,23.36,22.89,22.98,20.18,3042933,0.0,0
2015-07-06,22.53,23.05,22.39,22.87,20.09,4851412,0.0,0
2015-07-07,22.91,22.92,22.32,22.38,19.65,5902109,0.0,0
2015-07-08,22.43,22.84,22.36,22.6,19.85,4865587,0.0,0
2015-07-09,22.67,23.2,22.64,23.08,20.27,4539383,0.0,0
2015-07-10,23.82,23.85,23.49,23.58,20.71,4940299,0.0,0
2015-07-13,23.86,23.98,23.69,23.92,21.01,5774316,0.0,0
2015-07-14,23.88,24.07,23.86,23.98,21.06,3408032,0.0,0
2015-07-15,24.0,24.09,23.92,24.05,21.12,2311927,0.0,0
2015-07-16,24.24,24.45,24.12,24.33,21.37,4319049,0.0,0
2015-07-17,24.42,24.51,24.29,24.37,21.4,3562430,0.0,0
2015-07-20,24.4,24.67,24.39,24.42,21.45,1981552,0.0,0
2015-07-21,24.51,24.57,24.24,24.28,21.33,2009912,0.0,0
2015-07-22,24.17,24.35,24.12,24.31,21.35,2837466,0.0,0
2015-07-23,24.44,24.52,24.22,24.35,21.39,2447925,0.0,0
2015-07-24,24.24,24.49,24.15,24.18,21.24,3535796,0.0,0
2015-07-27,25.09,25.49,24.48,24.48,21.49,8406633,0.0,0
2015-07-28,25.03,25.22,24.81,25.01,21.96,5511105,0.0,0
2015-07-29,25.01,25.12,24.76,25.0,21.96,3929146,0.0,0
2015-07-30,25.11,25.41,25.1,25.32,22.24,3888571,0.0,0
2015-07-31,25.33,25.39,25.05,25.32,22.23,4525102,0.0,0
2015-08-03,25.25,25.67,25.25,25.62,22.5,2930069,0.0,0
2015-08-04,25.6,25.75,25.5,25.57,22.45,2340047,0.0,0
2015-08-05,25.65,25.7,25.4,25.55,22.44,3533004,0.0,0
2015-08-06,25.47,25.86,25.43,25.58,22.46,3094973,0.0,0
2015-08-07,25.5,25.61,25.35,25.35,22.26,2390541,0.0,0
2015-08-10,25.5,25.75,25.26,25.71,22.58,2331305,0.0,0
2015-08-11,25.6,25.65,25.23,25.35,22.27,3110966,0.0,0
2015-08-12,25.07,25.1,24.3,24.4,21.43,4739186,0.0,0
2015-08-13,24.79,24.89,24.48,24.56,21.57,2604940,0.0,0
2015-08-14,24.59,24.72,24.34,24.48,21.49,2034765,0.0,0
2015-08-17,24.67,24.78,24.15,24.44,21.47,2438000,0.0,0
2015-08-18,24.4,24.94,24.34,24.82,21.8,3147524,0.0,0
2015-08-19,24.67,24.68,24.31,24.31,21.35,2304807,0.0,0
2015-08-20,24.16,24.19,23.72,23.75,20.86,3412455,0.0,0
2015-08-21,23.41,23.69,22.95,23.0,20.2,5950144,0.0,0
2015-08-24,22.45,22.64,20.97,21.94,19.27,12616114,0.0,0
2015-08-25,22.22,22.75,22.02,22.36,19.64,9580022,0.0,0
2015-08-26,22.17,22.7,21.72,22.22,19.51,6493045,0.0,0
2015-08-27,22.66,23.24,22.66,23.04,20.23,5719579,0.0,0
2015-08-28,23.02,23.14,22.75,23.1,20.29,2698451,0.0,0
2015-08-31,22.98,23.19,22.78,22.92,20.13,3079914,0.0,0
2015-09-01,22.53,22.68,22.18,22.5,19.76,3912510,0.0,0
2015-09-02,22.76,22.97,22.6,22.71,19.94,4182872,0.0,0
2015-09-03,22.86,23.12,22.75,22.94,20.15,4826389,0.0,0
2015-09-04,22.7,22.9,22.5,22.67,19.91,4367928,0.0,0
2015-09-07,22.92,23.09,22.73,22.86,20.08,2125912,0.0,0
2015-09-08,22.99,23.28,22.92,22.92,20.12,4029123,0.0,0
2015-09-09,23.4,23.61,23.25,23.29,20.45,2735612,0.0,0
2015-09-10,23.14,23.25,22.81,22.89,20.1,3390540,0.0,0
2015-09-11,23.0,23.14,22.68,22.75,19.98,3188009,0.0,0
2015-09-14,22.75,23.03,22.57,22.57,19.82,3415864,0.0,0
2015-09-15,22.75,23.24,22.15,22.36,19.64,6449408,0.0,0
2015-09-16,22.5,22.67,22.41,22.51,19.77,3611072,0.0,0
2015-09-17,22.59,22.68,22.0,22.16,19.46,4508965,0.0,0
2015-09-18,22.0,22.06,21.41,21.72,19.07,7938875,0.0,0
2015-09-21,21.66,22.0,21.64,21.91,19.24,2636967,0.0,0
2015-09-22,21.9,21.94,21.28,21.41,18.8,4165408,0.0,0
2015-09-23,21.35,21.73,21.32,21.38,18.77,3248923,0.0,0
2015-09-24,21.31,21.38,20.66,20.87,18.33,3944338,0.0,0
